band_j	band_k	range_j	range_k	Q_band
8	8	[256,512)	[256,512)	1.861240629690419e-2
8	9	[256,512)	[512,1024)	-1.139588922549414e-2
8	10	[256,512)	[1024,2048)	-2.376625706340928e-2
8	11	[256,512)	[2048,4096)	1.573488348887596e-2
8	12	[256,512)	[4096,8192)	-7.850071625941106e-3
8	13	[256,512)	[8192,16384)	1.220806349873322e-3
9	1	[512,1024)	[2,4)	5.798408063902961e-4
9	2	[512,1024)	[4,8)	-6.141889675058076e-3
9	3	[512,1024)	[8,16)	-5.086294261900694e-3
9	4	[512,1024)	[16,32)	-2.152659980144557e-2
9	5	[512,1024)	[32,64)	-1.330013345548387e-1
9	6	[512,1024)	[64,128)	3.461449527655144e-4
9	7	[512,1024)	[128,256)	-5.503467012449489e-3
9	8	[512,1024)	[256,512)	-1.139588922549415e-2
9	9	[512,1024)	[512,1024)	1.662667861407410e-2
9	10	[512,1024)	[1024,2048)	4.176111413546901e-4
9	11	[512,1024)	[2048,4096)	4.915707888269107e-4
9	12	[512,1024)	[4096,8192)	1.273293543985821e-2
9	13	[512,1024)	[8192,16384)	1.174951043115724e-3
10	1	[1024,2048)	[2,4)	2.463463586627286e-4
10	2	[1024,2048)	[4,8)	-2.641322035570742e-3
10	3	[1024,2048)	[8,16)	-2.167630716135397e-3
10	4	[1024,2048)	[16,32)	-1.568848880644576e-3
10	5	[1024,2048)	[32,64)	-2.251007728527302e-2
10	6	[1024,2048)	[64,128)	2.932897628968886e-4
10	7	[1024,2048)	[128,256)	3.065879942373305e-2
10	8	[1024,2048)	[256,512)	-2.376625706340928e-2
10	9	[1024,2048)	[512,1024)	4.176111413546880e-4
10	10	[1024,2048)	[1024,2048)	-4.895077338389236e-3
10	11	[1024,2048)	[2048,4096)	-6.777772784612035e-3
10	12	[1024,2048)	[4096,8192)	5.732715555430897e-3
10	13	[1024,2048)	[8192,16384)	-1.562734135397956e-3
11	1	[2048,4096)	[2,4)	-3.623053545597260e-4
11	2	[2048,4096)	[4,8)	3.890494977013219e-3
11	3	[2048,4096)	[8,16)	3.196210148412175e-3
11	4	[2048,4096)	[16,32)	2.487710696277928e-3
11	5	[2048,4096)	[32,64)	-7.706492537226741e-3
11	6	[2048,4096)	[64,128)	-6.500926886109083e-2
11	7	[2048,4096)	[128,256)	9.261904012130593e-3
11	8	[2048,4096)	[256,512)	1.573488348887595e-2
11	9	[2048,4096)	[512,1024)	4.915707888269100e-4
11	10	[2048,4096)	[1024,2048)	-6.777772784612036e-3
11	11	[2048,4096)	[2048,4096)	-5.397677094024484e-3
11	12	[2048,4096)	[4096,8192)	-2.970599683921143e-3
11	13	[2048,4096)	[8192,16384)	7.046173382467561e-4
12	1	[4096,8192)	[2,4)	1.675807916124117e-4
12	2	[4096,8192)	[4,8)	-1.808102157666349e-3
12	3	[4096,8192)	[8,16)	-1.487517166632417e-3
12	4	[4096,8192)	[16,32)	-1.080743783053813e-3
12	5	[4096,8192)	[32,64)	2.367151611182929e-3
12	6	[4096,8192)	[64,128)	2.733938130855946e-2
12	7	[4096,8192)	[128,256)	-1.427815197206247e-4
12	8	[4096,8192)	[256,512)	-7.850071625941105e-3
12	9	[4096,8192)	[512,1024)	1.273293543985821e-2
12	10	[4096,8192)	[1024,2048)	5.732715555430895e-3
12	11	[4096,8192)	[2048,4096)	-2.970599683921143e-3
12	12	[4096,8192)	[4096,8192)	1.083443895703038e-3
12	13	[4096,8192)	[8192,16384)	-3.465922181441270e-4
13	1	[8192,16384)	[2,4)	-2.173302627868731e-5
13	2	[8192,16384)	[4,8)	2.359215605040419e-4
13	3	[8192,16384)	[8,16)	1.946182498515144e-4
13	4	[8192,16384)	[16,32)	1.359113737865936e-4
13	5	[8192,16384)	[32,64)	-2.716386710760637e-4
13	6	[8192,16384)	[64,128)	-5.072231291201995e-4
13	7	[8192,16384)	[128,256)	7.034425292564993e-3
13	8	[8192,16384)	[256,512)	1.220806349873322e-3
13	9	[8192,16384)	[512,1024)	1.174951043115724e-3
13	10	[8192,16384)	[1024,2048)	-1.562734135397956e-3
13	11	[8192,16384)	[2048,4096)	7.046173382467561e-4
13	12	[8192,16384)	[4096,8192)	-3.465922181441268e-4
13	13	[8192,16384)	[8192,16384)	-1.545232455582394e-6
