M	S_M	sum_abs	cancel_ratio	ln_M
498	3.431467120958072e-1	1.613816781422713e2	0.00212631	6.210600
999	1.873942608103070e-1	2.098068167972396e2	0.00089318	6.906755
1496	1.927922339331319e-1	2.420157307095092e2	0.00079661	7.310550
2002	1.751356809860203e-1	2.667179174625260e2	0.00065663	7.601902
2495	1.373467893364312e-1	2.870066244860921e2	0.00047855	7.822044
3000	1.565983563238892e-1	3.037462144210510e2	0.00051556	8.006368
3495	1.348103061185007e-1	3.178079202514789e2	0.00042419	8.159089
3999	1.295607468808750e-1	3.299554909123083e2	0.00039266	8.293800
4500	1.580739751735655e-1	3.402899774698899e2	0.00046453	8.411833
4995	1.605874882931064e-1	3.490892765841120e2	0.00046002	8.516193
5503	1.543849029398752e-1	3.564460213534296e2	0.00043312	8.613049
6003	1.569964624247759e-1	3.628674460825133e2	0.00043266	8.700015
6500	1.652480244027028e-1	3.682685860258396e2	0.00044872	8.779557
7002	1.642485288820742e-1	3.727221624330667e2	0.00044067	8.853951
7499	1.682786822404365e-1	3.763386633416233e2	0.00044715	8.922525
7999	1.596363445635431e-1	3.791599987369209e2	0.00042103	8.987072
8499	1.600174723687615e-1	3.812943332809131e2	0.00041967	9.047704
8999	1.635983240054787e-1	3.827830070050724e2	0.00042739	9.104869
9494	1.659795192647693e-1	3.836408322123539e2	0.00043264	9.158415
9995	1.668381825370419e-1	3.839217058598240e2	0.00043456	9.209840
