band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	1.086571032940079e-1
1	2	[2,4)	[4,8)	-1.579696683726178e-3
1	3	[2,4)	[8,16)	-1.244077416866002e-2
1	4	[2,4)	[16,32)	-4.500358284455455e-3
1	5	[2,4)	[32,64)	3.981509085903535e-3
1	6	[2,4)	[64,128)	-9.323063320521678e-4
1	7	[2,4)	[128,256)	-5.763090313329637e-5
1	8	[2,4)	[256,512)	-8.397168830859428e-4
1	9	[2,4)	[512,1024)	2.883673609473639e-4
2	1	[4,8)	[2,4)	-1.579696683726178e-3
2	2	[4,8)	[4,8)	-1.269599867021837e-2
2	3	[4,8)	[8,16)	2.148050734754426e-1
2	4	[4,8)	[16,32)	-7.322196172792146e-2
2	5	[4,8)	[32,64)	-3.738560471818320e-2
2	6	[4,8)	[64,128)	7.337178995536651e-3
2	7	[4,8)	[128,256)	2.830789053227545e-4
2	8	[4,8)	[256,512)	6.584776071366376e-3
2	9	[4,8)	[512,1024)	-2.267031843151364e-3
3	1	[8,16)	[2,4)	-1.244077416866003e-2
3	2	[8,16)	[4,8)	2.148050734754426e-1
3	3	[8,16)	[8,16)	1.796042967831413e-3
3	4	[8,16)	[16,32)	2.840008296124874e-2
3	5	[8,16)	[32,64)	-2.465554408999980e-2
3	6	[8,16)	[64,128)	-1.617718601012358e-2
3	7	[8,16)	[128,256)	-2.903636315983883e-4
3	8	[8,16)	[256,512)	5.182063458912082e-3
3	9	[8,16)	[512,1024)	-1.773781068589832e-3
4	1	[16,32)	[2,4)	-4.500358284455452e-3
4	2	[16,32)	[4,8)	-7.322196172792143e-2
4	3	[16,32)	[8,16)	2.840008296124876e-2
4	4	[16,32)	[16,32)	1.348657127257378e-3
4	5	[16,32)	[32,64)	-2.015044989976212e-3
4	6	[16,32)	[64,128)	1.491203551418419e-2
4	7	[16,32)	[128,256)	1.539001012043120e-2
4	8	[16,32)	[256,512)	3.041241994492495e-2
4	9	[16,32)	[512,1024)	-5.658532922197912e-3
5	1	[32,64)	[2,4)	3.981509085903525e-3
5	2	[32,64)	[4,8)	-3.738560471818320e-2
5	3	[32,64)	[8,16)	-2.465554408999981e-2
5	4	[32,64)	[16,32)	-2.015044989976210e-3
5	5	[32,64)	[32,64)	1.728847536997023e-2
5	6	[32,64)	[64,128)	-1.303255654193906e-2
5	7	[32,64)	[128,256)	1.139270851413094e-3
5	8	[32,64)	[256,512)	-9.036523785246034e-3
5	9	[32,64)	[512,1024)	-2.950843153914190e-2
6	1	[64,128)	[2,4)	-9.323063320521704e-4
6	2	[64,128)	[4,8)	7.337178995536664e-3
6	3	[64,128)	[8,16)	-1.617718601012355e-2
6	4	[64,128)	[16,32)	1.491203551418419e-2
6	5	[64,128)	[32,64)	-1.303255654193906e-2
6	6	[64,128)	[64,128)	-8.138796494559515e-3
6	7	[64,128)	[128,256)	2.960695628572734e-3
6	8	[64,128)	[256,512)	1.790781483527137e-2
6	9	[64,128)	[512,1024)	-1.182526594605847e-2
7	1	[128,256)	[2,4)	-5.763090313329593e-5
7	2	[128,256)	[4,8)	2.830789053227551e-4
7	3	[128,256)	[8,16)	-2.903636315984002e-4
7	4	[128,256)	[16,32)	1.539001012043119e-2
7	5	[128,256)	[32,64)	1.139270851413093e-3
7	6	[128,256)	[64,128)	2.960695628572736e-3
7	7	[128,256)	[128,256)	7.964957650875844e-3
7	8	[128,256)	[256,512)	1.461606284108038e-3
7	9	[128,256)	[512,1024)	-3.309399813359909e-3
8	1	[256,512)	[2,4)	-8.397168830859451e-4
8	2	[256,512)	[4,8)	6.584776071366374e-3
8	3	[256,512)	[8,16)	5.182063458912081e-3
8	4	[256,512)	[16,32)	3.041241994492495e-2
8	5	[256,512)	[32,64)	-9.036523785246036e-3
8	6	[256,512)	[64,128)	1.790781483527137e-2
8	7	[256,512)	[128,256)	1.461606284108038e-3
8	8	[256,512)	[256,512)	5.179475582324291e-3
8	9	[256,512)	[512,1024)	-3.998832605007090e-3
9	1	[512,1024)	[2,4)	2.883673609473638e-4
9	2	[512,1024)	[4,8)	-2.267031843151364e-3
9	3	[512,1024)	[8,16)	-1.773781068589832e-3
9	4	[512,1024)	[16,32)	-5.658532922197910e-3
9	5	[512,1024)	[32,64)	-2.950843153914189e-2
9	6	[512,1024)	[64,128)	-1.182526594605847e-2
9	7	[512,1024)	[128,256)	-3.309399813359909e-3
9	8	[512,1024)	[256,512)	-3.998832605007089e-3
9	9	[512,1024)	[512,1024)	-1.924454739939619e-4
