eps	C_opt	inv_eps	C_times_eps
0.0100	1.017635751950111e1	100.0000	1.017635751950111e-1
0.0500	2.122715883386020e0	20.0000	1.061357941693010e-1
0.1000	9.113172575504127e-1	10.0000	9.113172575504128e-2
0.2500	4.919994493027240e-1	4.0000	1.229998623256810e-1
0.5000	2.534006438290123e-1	2.0000	1.267003219145061e-1
1.0000	1.057243060495123e-1	1.0000	1.057243060495123e-1
