eps	sigma	t	zeta_logderiv_norm	log_2_plus_t	ratio
1.0000	1.5000	6810.00	1.373916603578732e-1	8.826441041782578e0	1.556591832511983e-2
1.0000	1.5000	7010.00	1.837914601706862e-1	8.855378246041125e0	2.075478371043629e-2
1.0000	1.5000	7210.00	2.187717502535964e-1	8.883501584323207e0	2.462674747980738e-2
1.0000	1.5000	7410.00	1.575369130904411e-1	8.910855587405250e0	1.767921290443831e-2
1.0000	1.5000	7610.00	4.842382602429726e-1	8.937481228416040e0	5.418061843904903e-2
1.0000	1.5000	7810.00	6.313305334772389e-1	8.963416291996570e0	7.043414172796522e-2
1.0000	1.5000	8010.00	5.554342924006375e-1	8.988695696785708e0	6.179253488348223e-2
1.0000	1.5000	8210.00	2.512507598063636e-1	9.013351778138825e0	2.787539707656285e-2
1.0000	1.5000	8410.00	3.347660988766352e-1	9.037414536822590e0	3.704224228208675e-2
1.0000	1.5000	8610.00	4.558936785926960e-1	9.060911858484253e0	5.031432660564031e-2
1.0000	1.5000	8810.00	3.452282320499145e-1	9.083869707922235e0	3.800453365693188e-2
1.0000	1.5000	9010.00	1.986726977819903e-1	9.106312301552135e0	2.181703100036744e-2
1.0000	1.5000	9210.00	4.797222928046870e-1	9.128262260940575e0	5.255351775522459e-2
1.0000	1.5000	9410.00	6.387148759635591e-1	9.149740749847252e0	6.980688233972333e-2
1.0000	1.5000	9610.00	5.273147577663275e-1	9.170767596856360e0	5.749952249875848e-2
1.0000	1.5000	9810.00	3.440237419193979e-1	9.191361405378380e0	3.742903001486704e-2
1.0000	1.5000	12000.00	1.697844631903358e-1	9.392828581549459e0	1.807596739536450e-2
1.0000	1.5000	15000.00	4.708636637698336e-1	9.615938804529582e0	4.896699878622704e-2
1.0000	1.5000	20000.00	2.156848443331326e-1	9.903587547536461e0	2.177845586741793e-2
