k	v_k*(Gv)_k	v_k*b_k	residual
1	-2.583662324912990e-1	-0.000000000000000e0	-2.583662324912990e-1
2	3.130180741642193e-1	4.247425010840047e-1	-1.117244269197854e-1
3	2.504416240432233e-1	5.076262484267792e-1	-2.571846243835559e-1
4	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
5	1.685927805037110e-1	5.204119982655925e-1	-3.518192177618814e-1
6	-1.431358973076883e-1	-5.091036456734819e-1	3.659677483657936e-1
7	1.235661481434305e-1	4.949579828510328e-1	-3.713918347076023e-1
8	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
9	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
10	-8.559606498366233e-2	-4.500000000000000e-1	3.644039350163377e-1
11	7.704638011559570e-2	4.357305976553523e-1	-3.586842175397565e-1
12	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
13	6.365558258197672e-2	4.089492220122292e-1	-3.452936394302524e-1
14	-5.833824366417941e-2	-3.964405548636752e-1	3.381023111994958e-1
15	-5.366989563099414e-2	-3.844907457740154e-1	3.308208501430213e-1
16	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
17	4.589494758648213e-2	3.621416840572829e-1	-3.162467364708007e-1
18	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
19	3.975369715655216e-2	3.416430311276074e-1	-3.018893339710552e-1
20	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
21	-3.477089464186091e-2	-3.227527167933718e-1	2.879818221515109e-1
22	-3.261786902113555e-2	-3.138437205166743e-1	2.812258514955387e-1
23	3.062112114939877e-2	3.052606001654991e-1	-2.746394790161003e-1
24	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
25	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
26	-2.566587557271534e-2	-2.812628134755683e-1	2.555969379028530e-1
27	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
28	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
29	2.173421764031300e-2	2.595320010142971e-1	-2.377977833739841e-1
30	2.057023790160050e-2	2.527247268854965e-1	-2.321544889838960e-1
31	1.956040846822148e-2	2.461153094350294e-1	-2.265549009668079e-1
32	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
33	-1.768116776323615e-2	-2.334477867258727e-1	2.157666189626366e-1
34	-1.681757079398100e-2	-2.273705255530233e-1	2.105529547590423e-1
35	-1.600417196742588e-2	-2.214526641727233e-1	2.054484922052974e-1
36	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
37	1.450931217742825e-2	2.100640261295700e-1	-1.955547139521418e-1
38	-1.387091848737244e-2	-2.045790384891845e-1	1.907081200018121e-1
39	-1.323618672275133e-2	-1.992249350383722e-1	1.859887483156208e-1
40	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
41	1.201980785849425e-2	1.888859235513485e-1	-1.768661156928543e-1
42	1.146908018980417e-2	1.838902273057867e-1	-1.724211471159825e-1
43	1.097451694349662e-2	1.790037775076438e-1	-1.680292605641472e-1
44	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
45	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
46	-9.621714778971471e-3	-1.649554084166214e-1	1.553336936376499e-1
47	9.189142215095947e-3	1.604627503718830e-1	-1.512736081567870e-1
48	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
49	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
50	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
51	-7.670688788306146e-3	-1.433479528931685e-1	1.356772641048623e-1
52	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
53	7.007512272491447e-3	1.352608941581035e-1	-1.282533818856121e-1
54	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
55	-6.434983189099526e-3	-1.274583160664621e-1	1.210233328773626e-1
56	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
57	-5.894422144480942e-3	-1.199211235293025e-1	1.140267013848215e-1
58	-5.635715818234363e-3	-1.162465893699360e-1	1.106108735517016e-1
59	5.374476314101886e-3	1.126320620742003e-1	-1.072575857600984e-1
60	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
61	4.900727313888733e-3	1.055754909783113e-1	-1.006747636644226e-1
62	-4.688077901261977e-3	-1.021298946823106e-1	9.744181678104862e-2
63	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
64	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
65	-4.056424037852367e-3	-9.210419365274802e-2	8.804776961489566e-2
66	3.855229045920307e-3	8.886094083165558e-2	-8.500571178573527e-2
67	3.670161817107697e-3	8.566464941601086e-2	-8.199448759890317e-2
68	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
69	-3.326177988528224e-3	-7.940769441932347e-2	7.608151643079525e-2
70	3.155409823909280e-3	7.634453742154484e-2	-7.318912759763556e-2
71	2.997750736180554e-3	7.332334922299105e-2	-7.032559848681050e-2
72	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
73	2.697989594108494e-3	6.740242514607654e-2	-6.470443555196805e-2
74	-2.558613168330109e-3	-6.450057067323471e-2	6.194195750490460e-2
75	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
76	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
77	-2.154042208962889e-3	-5.601756420059336e-2	5.386352199163047e-2
78	2.023070326803237e-3	5.326099738995518e-2	-5.123792706315194e-2
79	1.899484247445150e-3	5.053852455282005e-2	-4.863904030537491e-2
80	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
81	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
82	-1.559220612828633e-3	-4.256754851779847e-2	4.100832790496983e-2
83	1.448337031597462e-3	3.997347244073458e-2	-3.852513540913712e-2
84	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
85	-1.246039818382539e-3	-3.487535435293771e-2	3.362931453455517e-2
86	-1.146678279894981e-3	-3.236995142032990e-2	3.122327314043492e-2
87	-1.048891192042164e-3	-2.989278318849889e-2	2.884389199645673e-2
88	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
89	8.593063730619262e-4	2.502067087217795e-2	-2.416136449911602e-2
90	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
91	-6.852607463220683e-4	-2.025425654451415e-2	1.956899579819209e-2
92	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
93	-5.184426281157924e-4	-1.558907920988156e-2	1.507063658176576e-2
94	-4.374994973342109e-4	-1.329313625121290e-2	1.285563675387869e-2
95	-3.585900761458550e-4	-1.102095317288584e-2	1.066236309673999e-2
96	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
97	2.075671036821550e-4	6.545945930105640e-3	-6.338378826423485e-3
98	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
99	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
