N	S1	S2	S3	S2_plus_1	S3_plus_2gamma	S1_sqrt_N	S1_N14	S2p1_N14logN
10	9.047619047619047e-2	-7.837673456361746e-1	-6.362821397448357e-1	2.162326543638254e-1	5.181491900582300e-1	2.861108359199963e-1	1.608919466225692e-1	1.669958162255192e-1
100	3.113153352908314e-2	-8.576685140969381e-1	-5.039375092111272e-1	1.423314859030619e-1	6.504938205919385e-1	3.113153352908314e-1	9.844655300580248e-2	9.773616609855014e-2
1000	4.411869771791742e-3	-9.699308073822359e-1	-9.495454260168208e-1	3.006919261776408e-2	2.048859037862449e-1	1.395155721890919e-1	2.480976694036612e-2	2.447850125137742e-2
10000	-2.082699767482252e-3	-1.019210036152189e0	-1.331596821465324e0	-1.921003615218897e-2	-1.771654916622580e-1	2.082699767482252e-1	2.082699767482252e-2	2.085703174514411e-2
50000	5.321270816449397e-4	-9.942702805835831e-1	-1.092746457889327e0	5.729719416416867e-3	6.168487191373884e-2	1.189872327226666e-1	7.957155829925655e-3	7.918765727781741e-3
100000	-4.872276170375356e-4	-1.005584679888992e0	-1.218437350625612e0	-5.584679888991584e-3	-6.400602082254592e-2	1.540749008774873e-1	8.664268393801789e-3	8.626062323142012e-3
200000	2.506544000570224e-5	-9.997135290446498e-1	-1.151173816847566e0	2.864709553501710e-4	3.257512955500141e-3	1.120960554773859e-2	5.300695193504608e-4	4.963204214724366e-4
500000	7.132752798800598e-6	-9.999215377875269e-1	-1.153600494893648e0	7.846221247309604e-5	8.308349094179324e-4	5.043617872559229e-3	1.896704497189205e-4	1.589977546954022e-4
1000000	2.006046853878282e-4	-9.972146952246956e-1	-1.115760372807806e0	2.785304775304365e-3	3.867095699525924e-2	2.006046853878282e-1	6.343677151270352e-3	6.375375727701772e-3
