x	f_N	f_N_minus_1	abs_dev
0.00001000	3.041774740758297e0	2.041774740758297e0	2.041774740758297e0
0.00003000	3.665125850556992e0	2.665125850556992e0	2.665125850556992e0
0.00005000	-4.236555637750697e-1	-1.423655563775070e0	1.423655563775070e0
0.00007000	-1.898909708935646e0	-2.898909708935646e0	2.898909708935646e0
0.00009000	2.643785662345419e0	1.643785662345419e0	1.643785662345419e0
0.00011000	7.161918654564212e-1	-2.838081345435788e-1	2.838081345435788e-1
0.00013000	-7.117854928562525e-1	-1.711785492856253e0	1.711785492856253e0
0.00015000	-3.274304301641747e-1	-1.327430430164175e0	1.327430430164175e0
0.00017000	2.464424869242252e0	1.464424869242252e0	1.464424869242252e0
0.00019000	-1.886171945812234e0	-2.886171945812234e0	2.886171945812234e0
0.00021000	2.230861582967062e0	1.230861582967062e0	1.230861582967062e0
0.00023000	3.312097487509664e0	2.312097487509664e0	2.312097487509664e0
0.00025000	1.040039664287544e0	4.003966428754402e-2	4.003966428754402e-2
0.00027000	-5.917664957101536e-1	-1.591766495710154e0	1.591766495710154e0
0.00029000	-1.082834777663806e0	-2.082834777663806e0	2.082834777663806e0
0.00031000	-2.708581170176780e0	-3.708581170176780e0	3.708581170176780e0
0.00033000	2.859724719075644e0	1.859724719075644e0	1.859724719075644e0
0.00035000	2.075521740666373e0	1.075521740666373e0	1.075521740666373e0
0.00037000	-1.568900441160685e0	-2.568900441160685e0	2.568900441160685e0
0.00039000	-2.547211063210673e0	-3.547211063210673e0	3.547211063210673e0
0.00041000	1.600605615409119e0	6.006056154091195e-1	6.006056154091195e-1
0.00043000	1.253441123595617e0	2.534411235956171e-1	2.534411235956171e-1
0.00045000	1.001793235915970e0	1.793235915970248e-3	1.793235915970248e-3
0.00047000	5.950537847367995e-1	-4.049462152632005e-1	4.049462152632005e-1
0.00049000	9.200902089700974e-1	-7.990979102990259e-2	7.990979102990259e-2
0.00051000	7.405397772050673e-1	-2.594602227949327e-1	2.594602227949327e-1
0.00053000	4.959946423256055e-1	-5.040053576743946e-1	5.040053576743946e-1
0.00055000	5.856282337164200e-1	-4.143717662835800e-1	4.143717662835800e-1
0.00057000	1.656805080632267e0	6.568050806322672e-1	6.568050806322672e-1
0.00059000	3.700515765509810e0	2.700515765509810e0	2.700515765509810e0
0.00061000	2.157278113129397e0	1.157278113129397e0	1.157278113129397e0
0.00063000	2.301229654872510e-1	-7.698770345127490e-1	7.698770345127490e-1
0.00065000	1.172610700400055e0	1.726107004000546e-1	1.726107004000546e-1
0.00067000	-8.901446553353186e-2	-1.089014465533532e0	1.089014465533532e0
0.00069000	-2.029395690092855e0	-3.029395690092855e0	3.029395690092855e0
0.00071000	-6.137910817709422e-1	-1.613791081770942e0	1.613791081770942e0
0.00073000	-1.178967474379200e-1	-1.117896747437920e0	1.117896747437920e0
0.00075000	1.311588610532290e0	3.115886105322905e-1	3.115886105322905e-1
0.00077000	1.102126211230485e0	1.021262112304850e-1	1.021262112304850e-1
0.00079000	2.374917279424285e-1	-7.625082720575715e-1	7.625082720575715e-1
0.00081000	1.511529350430022e0	5.115293504300225e-1	5.115293504300225e-1
0.00083000	8.839669601005451e-1	-1.160330398994549e-1	1.160330398994549e-1
0.00085000	-5.025745741868973e-1	-1.502574574186897e0	1.502574574186897e0
0.00087000	1.235409485366002e0	2.354094853660023e-1	2.354094853660023e-1
0.00089000	2.046629976124862e0	1.046629976124862e0	1.046629976124862e0
0.00091000	8.828203324861448e-1	-1.171796675138552e-1	1.171796675138552e-1
0.00093000	1.902209471593557e0	9.022094715935571e-1	9.022094715935571e-1
0.00095000	1.268473799516206e0	2.684737995162063e-1	2.684737995162063e-1
0.00097000	7.151049987701341e-1	-2.848950012298659e-1	2.848950012298659e-1
0.00099000	3.403042838732007e-1	-6.596957161267993e-1	6.596957161267993e-1
0.00101000	7.776220283850992e-1	-2.223779716149008e-1	2.223779716149008e-1
0.00103000	-5.895733580802893e-1	-1.589573358080289e0	1.589573358080289e0
0.00105000	2.978135435302909e0	1.978135435302909e0	1.978135435302909e0
0.00107000	-3.615204697617921e-1	-1.361520469761792e0	1.361520469761792e0
0.00109000	1.800424037850197e0	8.004240378501968e-1	8.004240378501968e-1
0.00111000	-3.241263719939804e-1	-1.324126371993980e0	1.324126371993980e0
0.00113000	6.044536525562593e-1	-3.955463474437407e-1	3.955463474437407e-1
0.00115000	6.218342167115662e-1	-3.781657832884338e-1	3.781657832884338e-1
0.00117000	3.100214900899917e-1	-6.899785099100082e-1	6.899785099100082e-1
0.00119000	-1.903335339851759e0	-2.903335339851759e0	2.903335339851759e0
0.00121000	8.466034713705743e-1	-1.533965286294257e-1	1.533965286294257e-1
0.00123000	-2.620769107244257e-1	-1.262076910724426e0	1.262076910724426e0
0.00125000	3.707220921128941e-1	-6.292779078871059e-1	6.292779078871059e-1
0.00127000	1.961947288402670e0	9.619472884026701e-1	9.619472884026701e-1
0.00129000	-7.605275248433984e-1	-1.760527524843398e0	1.760527524843398e0
0.00131000	6.847313833572853e-1	-3.152686166427147e-1	3.152686166427147e-1
0.00133000	6.869311148644366e-1	-3.130688851355634e-1	3.130688851355634e-1
0.00135000	1.274991932096176e0	2.749919320961756e-1	2.749919320961756e-1
0.00137000	2.244222974366047e-1	-7.755777025633953e-1	7.755777025633953e-1
0.00139000	4.208188408071213e0	3.208188408071213e0	3.208188408071213e0
0.00141000	2.179014904985436e0	1.179014904985436e0	1.179014904985436e0
0.00143000	3.574249540410710e-1	-6.425750459589290e-1	6.425750459589290e-1
0.00145000	9.251180224765140e-1	-7.488197752348602e-2	7.488197752348602e-2
0.00147000	2.920369879009578e0	1.920369879009578e0	1.920369879009578e0
0.00149000	3.430735494631469e0	2.430735494631469e0	2.430735494631469e0
0.00151000	1.732731983088195e0	7.327319830881953e-1	7.327319830881953e-1
0.00153000	1.417480449261440e0	4.174804492614403e-1	4.174804492614403e-1
0.00155000	1.797683633426853e0	7.976836334268527e-1	7.976836334268527e-1
0.00157000	-7.907789772675735e-1	-1.790778977267574e0	1.790778977267574e0
0.00159000	1.493643946844500e0	4.936439468444995e-1	4.936439468444995e-1
0.00161000	2.248009166949747e-1	-7.751990833050253e-1	7.751990833050253e-1
0.00163000	-5.850721604141438e-1	-1.585072160414144e0	1.585072160414144e0
0.00165000	1.602654106271670e-1	-8.397345893728330e-1	8.397345893728330e-1
0.00167000	3.191013203034260e0	2.191013203034260e0	2.191013203034260e0
0.00169000	-8.315626454187092e-1	-1.831562645418709e0	1.831562645418709e0
0.00171000	5.321875752596719e-1	-4.678124247403281e-1	4.678124247403281e-1
0.00173000	-1.080281594883814e0	-2.080281594883814e0	2.080281594883814e0
0.00175000	-3.340069217330716e-1	-1.334006921733072e0	1.334006921733072e0
0.00177000	-1.129754947854139e0	-2.129754947854139e0	2.129754947854139e0
0.00179000	-1.803156704697917e0	-2.803156704697917e0	2.803156704697917e0
0.00181000	-8.476584021131953e-1	-1.847658402113195e0	1.847658402113195e0
0.00183000	-2.310470255131168e-2	-1.023104702551312e0	1.023104702551312e0
0.00185000	-8.276425957485631e-2	-1.082764259574856e0	1.082764259574856e0
0.00187000	1.187204647671612e0	1.872046476716120e-1	1.872046476716120e-1
0.00189000	9.602191603750910e-1	-3.978083962490897e-2	3.978083962490897e-2
0.00191000	1.748711452590062e-1	-8.251288547409937e-1	8.251288547409937e-1
0.00193000	1.278272634892250e0	2.782726348922502e-1	2.782726348922502e-1
0.00195000	1.133859106212573e0	1.338591062125734e-1	1.338591062125734e-1
0.00197000	3.900276554298765e-1	-6.099723445701235e-1	6.099723445701235e-1
0.00199000	1.998633558022759e0	9.986335580227588e-1	9.986335580227588e-1
0.00201000	1.658156331806937e0	6.581563318069372e-1	6.581563318069372e-1
0.00203000	4.215207699088592e-1	-5.784792300911408e-1	5.784792300911408e-1
0.00205000	2.170235133361333e0	1.170235133361333e0	1.170235133361333e0
0.00207000	1.852815039350615e0	8.528150393506149e-1	8.528150393506149e-1
0.00209000	3.406410266047774e0	2.406410266047774e0	2.406410266047774e0
