x	f_N	f_N_minus_1	abs_dev
0.00001000	2.476268591486653e0	1.476268591486653e0	1.476268591486653e0
0.00003000	3.734565523620679e0	2.734565523620679e0	2.734565523620679e0
0.00005000	-5.659104831048279e-1	-1.565910483104828e0	1.565910483104828e0
0.00007000	-3.666255198849530e0	-4.666255198849530e0	4.666255198849530e0
0.00009000	2.676190489179578e0	1.676190489179578e0	1.676190489179578e0
0.00011000	8.408744119397930e-1	-1.591255880602070e-1	1.591255880602070e-1
0.00013000	-1.029317561215407e0	-2.029317561215407e0	2.029317561215407e0
0.00015000	2.715168790282242e-1	-7.284831209717758e-1	7.284831209717758e-1
0.00017000	2.050610546812272e0	1.050610546812272e0	1.050610546812272e0
0.00019000	-2.052200074680162e0	-3.052200074680162e0	3.052200074680162e0
0.00021000	2.414257263623979e0	1.414257263623979e0	1.414257263623979e0
0.00023000	3.432656536343937e0	2.432656536343937e0	2.432656536343937e0
0.00025000	1.262868665100890e0	2.628686651008896e-1	2.628686651008896e-1
0.00027000	-1.026585151046057e0	-2.026585151046056e0	2.026585151046056e0
0.00029000	-6.691121478791265e-1	-1.669112147879126e0	1.669112147879126e0
0.00031000	-2.762015937268258e0	-3.762015937268258e0	3.762015937268258e0
0.00033000	3.004885642316273e0	2.004885642316273e0	2.004885642316273e0
0.00035000	1.919373014844548e0	9.193730148445485e-1	9.193730148445485e-1
0.00037000	-1.796559460864555e0	-2.796559460864555e0	2.796559460864555e0
0.00039000	-2.779999073871825e0	-3.779999073871825e0	3.779999073871825e0
0.00041000	1.430630777986327e0	4.306307779863270e-1	4.306307779863270e-1
0.00043000	1.454930327112353e0	4.549303271123535e-1	4.549303271123535e-1
0.00045000	1.210745661264324e0	2.107456612643244e-1	2.107456612643244e-1
0.00047000	7.456578995212415e-1	-2.543421004787585e-1	2.543421004787585e-1
0.00049000	9.368906979174083e-1	-6.310930208259169e-2	6.310930208259169e-2
0.00051000	8.515898234490130e-1	-1.484101765509870e-1	1.484101765509870e-1
0.00053000	2.059486453020425e-1	-7.940513546979575e-1	7.940513546979575e-1
0.00055000	5.621118122826582e-1	-4.378881877173418e-1	4.378881877173418e-1
0.00057000	1.530828376309609e0	5.308283763096087e-1	5.308283763096087e-1
0.00059000	3.848087752846975e0	2.848087752846975e0	2.848087752846975e0
0.00061000	1.935736344401190e0	9.357363444011897e-1	9.357363444011897e-1
0.00063000	1.041269045198207e-1	-8.958730954801792e-1	8.958730954801792e-1
0.00065000	1.356474597604061e0	3.564745976040609e-1	3.564745976040609e-1
0.00067000	-2.833504979906732e-1	-1.283350497990673e0	1.283350497990673e0
0.00069000	-1.979167868923477e0	-2.979167868923478e0	2.979167868923478e0
