# j	a_star(j)
# # d2 = 5.016430327692845e-02
# # N = 20000
2	2.296337461549266e+00
3	9.566931417970225e-01
4	-1.270401140536685e+00
5	8.385452981449006e-01
6	-2.120925794399484e+00
7	7.928375072384026e-01
8	-1.649100757636647e-02
9	-7.401961948614441e-02
10	-1.944559691238475e+00
11	7.510230656081130e-01
12	1.114101727381794e+00
13	7.537981103545076e-01
14	-1.879616731776037e+00
15	-7.788823929420350e-01
16	-3.910199614592797e-02
17	7.477643073081133e-01
18	1.914481297531231e-02
19	7.451752182797182e-01
20	9.910096260852554e-01
21	-6.712690831886485e-01
22	-1.884251786845263e+00
23	8.407262217478710e-01
24	-7.495954055912922e-02
25	5.404793640138732e-03
26	-1.722043211859591e+00
27	-1.869634762791082e-02
28	9.755311340444480e-01
29	7.959686746433772e-01
30	1.633314117110251e+00
31	6.399257267314570e-01
32	1.293219574823655e-01
33	-8.126593688157883e-01
34	-1.727552930764366e+00
35	-5.878002435092793e-01
36	6.144518459924120e-02
37	6.870300880489391e-01
38	-1.705805906784796e+00
39	-7.710960260002614e-01
40	8.112356071083579e-02
41	6.987937725501158e-01
42	1.468834482399015e+00
43	7.406548676276077e-01
44	1.111193623008736e+00
45	1.525196602204108e-02
46	-1.936320979025743e+00
47	7.697504949650891e-01
48	1.302020286813901e-01
49	3.870288550997179e-02
50	-5.124004011935329e-02
51	-7.417987800160433e-01
52	8.429010392144678e-01
53	7.383063420114980e-01
54	1.729150781541518e-02
55	-5.150052307970087e-01
56	4.878945363350690e-02
57	-7.114514014309079e-01
58	-1.813521191922049e+00
59	6.078373181955643e-01
60	-7.654466317572918e-01
61	8.196982854042122e-01
62	-1.658176392409958e+00
63	1.009773175181550e-01
64	-1.379146311338716e-01
65	-7.876789306964626e-01
66	1.845758945758285e+00
67	6.779523936194473e-01
68	9.019559877645623e-01
69	-8.218612744431819e-01
70	1.491825003632196e+00
71	5.764073635097480e-01
72	5.368660845425310e-02
73	6.136639631116836e-01
74	-1.729082182861109e+00
75	1.098617179927563e-02
76	9.631694185914628e-01
77	-5.220008988648863e-01
78	1.501439880649164e+00
79	6.941267366051781e-01
80	6.561175983873994e-02
81	9.330792152881351e-02
82	-1.704194462016991e+00
83	6.709584410085543e-01
84	-7.280129143455595e-01
85	-6.902971942704316e-01
86	-1.698815320672430e+00
87	-6.473217333855958e-01
88	-5.544069984886998e-02
89	7.527579479980716e-01
90	1.155175724925753e-01
91	-5.220340809156461e-01
92	1.071219273657950e+00
93	-6.506309877037305e-01
94	-1.839425579022929e+00
95	-6.237761194558977e-01
96	-5.429608094070581e-02
97	6.480610823149602e-01
98	1.865145574414981e-02
99	1.961173626371493e-01
100	-5.339457066503284e-02
101	7.464431564907593e-01
102	1.699322230782995e+00
103	4.931834503436777e-01
104	-2.817942568617285e-02
105	3.603119938898469e-01
106	-1.721742949553534e+00
107	7.000919728893514e-01
108	-1.185733486327526e-01
109	6.602819786241563e-01
110	1.324833376810599e+00
111	-5.479585477231423e-01
112	7.113995253093688e-02
113	6.126061662080291e-01
114	1.468369274586368e+00
115	-8.380424376850434e-01
116	1.053956486953072e+00
117	3.045915373622429e-01
118	-1.676825863341731e+00
119	-6.582837642798204e-01
120	1.734452845932184e-01
121	2.017167748445334e-01
122	-1.639932780457249e+00
123	-7.275458012431822e-01
124	8.793919629654791e-01
125	3.291235863147175e-02
126	7.933534958686224e-02
127	6.914572213977995e-01
128	-7.728482628950392e-02
129	-7.522318382137888e-01
130	1.519815005594892e+00
131	6.532113748101411e-01
132	-1.113747447294725e+00
133	-6.511329305072066e-01
134	-1.540063604101888e+00
135	1.318463086143821e-01
136	5.254308883829545e-02
137	6.495575883616770e-01
138	1.698472592211352e+00
139	6.724566515103009e-01
140	-6.114711933958330e-01
141	-6.906932147940508e-01
142	-1.542381294798504e+00
143	-6.688239523873034e-01
144	2.877310802720702e-03
145	-6.394486710552020e-01
146	-1.482050921365698e+00
147	-1.187052136591724e-01
148	9.516892866796782e-01
149	5.478895154081370e-01
150	8.166294506573715e-02
151	6.070569769763806e-01
152	-1.540026795086118e-02
153	5.572474940056008e-02
154	1.498271059857130e+00
155	-4.802434053393601e-01
156	-4.216076912040982e-01
157	6.637878762965503e-01
158	-1.725580197957128e+00
159	-7.517794311778569e-01
160	-1.985844886913658e-01
161	-8.590529516559833e-01
162	-1.528802436347370e-01
163	6.955279052974839e-01
164	9.871737445718739e-01
165	5.561622512343564e-01
166	-1.541939996659992e+00
167	6.672852785354756e-01
168	4.608167770696762e-02
169	1.796968027984579e-03
170	1.356292742349735e+00
171	-3.390492839560898e-02
172	1.023007301744655e+00
173	7.935485280701332e-01
174	1.520984205682142e+00
175	-1.429264087355658e-01
176	1.134269328778485e-01
177	-5.385731047675157e-01
178	-1.679543874069293e+00
179	5.276546052340457e-01
180	-2.139770386026014e-01
181	5.402705177595637e-01
182	1.264480391563943e+00
183	-7.715970810305685e-01
184	-2.026406111455279e-02
185	-5.387780587826156e-01
186	1.520311940179308e+00
187	-6.717186442925636e-01
188	8.837418867903825e-01
189	-2.104155404675241e-01
190	1.388482238996565e+00
191	6.387583030197227e-01
192	2.012900026772449e-01
193	6.941717346141343e-01
194	-1.451107981333919e+00
195	6.512493778410412e-01
196	-6.116328033987921e-02
197	6.432895525964001e-01
198	-1.319223865587086e-01
199	5.715149233676535e-01
200	1.281940881381455e-01
201	-6.480940971852807e-01
202	-1.671254157806438e+00
203	-6.699745570749774e-01
204	-8.620154780222155e-01
205	-5.761828362994875e-01
206	-1.291356573195289e+00
207	4.930046038345098e-02
208	2.310325017781936e-01
209	-6.241997247796875e-01
210	-9.033026427258037e-01
211	6.786575224592208e-01
212	9.653309150799910e-01
213	-6.630240288725170e-01
214	-1.420573686019808e+00
215	-6.186959466231362e-01
216	3.367149257065553e-01
217	-4.060915433931059e-01
218	-1.522023242663679e+00
219	-5.278132478921105e-01
220	-5.923151342812890e-01
221	-5.986763650943042e-01
222	1.424324928941548e+00
223	5.714556728366510e-01
224	-9.596568722360088e-02
225	4.411329353913208e-02
226	-1.532685668829998e+00
227	4.286322767457169e-01
228	-7.254567972216325e-01
229	6.069787751241565e-01
230	1.723635772745446e+00
231	4.558757092459810e-01
232	-2.578764742227104e-01
233	5.500943540485733e-01
234	-1.766520771664466e-01
235	-6.128333856046766e-01
236	9.706957389841612e-01
237	-6.467061754517159e-01
238	1.436062968829083e+00
239	6.176914678393796e-01
240	-3.364670830174346e-01
241	4.843457430187296e-01
242	-1.364734220397970e-01
243	-2.260703180964665e-01
244	6.458221336790804e-01
245	-1.444609815107140e-01
246	1.545267706000424e+00
247	-3.311048200039140e-01
248	1.390194799709465e-01
249	-6.001386257255444e-01
250	9.269307873093348e-02
251	6.639458278925064e-01
252	-1.436639152301049e-01
253	-7.471990913151845e-01
254	-1.637825248645356e+00
255	6.168842591014337e-01
256	1.358970016552570e-01
257	6.143319842422889e-01
258	1.644071042976259e+00
259	-4.841715152979169e-01
260	-5.883596827985075e-01
