# j	a_star(j)
# # d2 = 4.845610540691447e-02
# # N = 40000
246	1.877354401876038e+00
247	-3.967745801431693e-01
248	1.639409797216512e-01
249	-6.908957122335465e-01
250	2.938325751421726e-02
251	6.360043036092172e-01
252	-1.911531986368723e-01
253	-7.550732987085667e-01
254	-1.807390610463140e+00
255	6.411144178241617e-01
256	1.587295951103865e-02
257	6.852379666527811e-01
258	1.836994201591112e+00
259	-3.996467136887534e-01
260	-6.219959825103554e-01
261	-8.351486187948352e-02
262	-1.700994544351601e+00
263	6.513672400871181e-01
264	1.413668217822754e-03
265	-5.920032016761791e-01
266	1.433164974203644e+00
267	-7.236288297284180e-01
268	8.306954636374863e-01
269	5.337903447740318e-01
270	-2.461717107437806e-01
271	5.374635322186774e-01
272	-6.107410620207772e-02
273	4.052642448401935e-01
274	-1.653133014983819e+00
275	-3.165864731843325e-01
276	-1.043245117367350e+00
277	5.237299865060165e-01
278	-1.618927009104278e+00
279	-1.856381565579472e-01
280	-2.186194806087603e-01
281	5.872510064998108e-01
282	1.857403840991875e+00
283	5.327727568826599e-01
284	1.099017531158845e+00
285	7.467728353744415e-01
286	1.746744004351559e+00
287	-6.401827053398464e-01
288	-1.339230314033173e-01
289	-9.905197582517253e-02
290	1.509299008676544e+00
291	-7.848884395399790e-01
292	9.049746698512190e-01
293	6.336106843563915e-01
294	3.975920827659196e-01
295	-5.158539203481556e-01
296	9.672607654494432e-02
297	-6.357275513552903e-02
298	-1.534353688343071e+00
299	-5.604433756630984e-01
300	-1.201781080376651e-01
301	-6.645150388831592e-01
302	-1.467434995816371e+00
303	-6.023229603816265e-01
304	8.316796836755992e-02
305	-6.039342025081560e-01
306	8.969332461034027e-02
307	5.968936816840881e-01
308	-7.321500033744365e-01
309	-5.834034276890041e-01
310	1.619128738566688e+00
311	6.871390998486240e-01
312	7.776673723631300e-02
313	5.401613354305221e-01
314	-1.609863905021167e+00
315	2.948199214842084e-01
316	1.000301266986342e+00
317	6.726361427978678e-01
318	1.634516090212985e+00
319	-6.586212803224434e-01
320	3.991918358801418e-02
321	-5.682740181532220e-01
322	1.843241651425780e+00
323	-5.505001238793468e-01
324	-3.852392692508396e-02
325	2.095765213502726e-02
326	-1.629987893040463e+00
327	-8.107755118458189e-01
328	-7.143383622766332e-02
329	-5.719305440055080e-01
330	-9.673573573508246e-01
331	6.936358608040849e-01
332	9.599411483022485e-01
333	-1.604439296443985e-01
334	-1.475830195809020e+00
335	-6.960827578867540e-01
336	-2.496951270714198e-01
337	5.596683056064143e-01
338	3.769628242050735e-02
339	-6.803448349100562e-01
340	-6.585468861501141e-01
341	-5.948784953911332e-01
342	4.412294526539910e-02
343	-7.034222711670421e-02
344	-3.521019871903636e-02
345	4.040996694254677e-01
346	-1.726252670423153e+00
347	3.224943589075508e-01
348	-1.077232600188266e+00
349	5.846330565286458e-01
350	4.062080858198332e-02
351	5.626111427834635e-02
352	-1.296610653152482e-01
353	6.017358943829528e-01
354	1.604754373792446e+00
355	-5.397933494814560e-01
356	8.938641253685485e-01
357	5.217181793142367e-01
358	-1.452189304737872e+00
359	5.753190394534720e-01
360	6.708507810275781e-02
361	2.081402370210100e-02
362	-1.388290090192594e+00
363	-9.651613038719099e-02
