M	S_M	sum_abs	cancel_ratio	ln_M
96	5.110220871534767e-1	6.388543023146847e1	0.00799904	4.564348
196	5.969179258480799e-1	8.350389795028175e1	0.00714838	5.278115
294	5.943869475720850e-1	9.526273014789933e1	0.00623945	5.683580
396	5.611642442529657e-1	1.032390407692362e2	0.00543558	5.981414
490	5.757636129154281e-1	1.091030643616756e2	0.00527725	6.194405
591	5.603262557484266e-1	1.135729531133359e2	0.00493362	6.381816
688	5.799500094596284e-1	1.170551492066654e2	0.00495450	6.533789
788	5.719943799013097e-1	1.198211379447404e2	0.00477374	6.669498
890	5.704409711962758e-1	1.220363202615516e2	0.00467435	6.791221
987	5.691750659210707e-1	1.238166799551331e2	0.00459692	6.894670
1088	5.737243770857140e-1	1.252555172985811e2	0.00458043	6.992096
1186	5.738127796606043e-1	1.264149402173260e2	0.00453912	7.078342
1283	5.713839901018677e-1	1.273492915335430e2	0.00448675	7.156956
1379	5.705002206300295e-1	1.280955773417422e2	0.00445371	7.229114
1478	5.703516080930461e-1	1.286820545887680e2	0.00443225	7.298445
1572	5.714430879375550e-1	1.291301283380052e2	0.00442533	7.360104
1671	5.724406315803776e-1	1.294604421613504e2	0.00442174	7.421178
1775	5.719110540684612e-1	1.296825726166144e2	0.00441008	7.481556
1879	5.718077752064713e-1	1.298138316500165e2	0.00440483	7.538495
1978	5.717012791932099e-1	1.298650624124490e2	0.00440227	7.589842
