M	S_M	sum_abs	cancel_ratio	ln_M
8	4.285585983620681e-1	8.982407404864887e0	0.04771088	2.079442
18	4.313697890197735e-1	1.282153674285940e1	0.03364416	2.890372
30	4.366416884652882e-1	1.514742125862585e1	0.02882614	3.401197
38	4.422754007669218e-1	1.673602233393248e1	0.02642655	3.637586
47	4.403099674777683e-1	1.796527286688805e1	0.02450895	3.850148
59	4.211070362405203e-1	1.885099164280073e1	0.02233872	4.077537
68	4.406849676629469e-1	1.954449549451281e1	0.02254778	4.219508
78	4.421066743978177e-1	2.010733774958531e1	0.02198733	4.356709
87	4.439726765932376e-1	2.055964123587271e1	0.02159438	4.465908
96	4.249982099511367e-1	2.092939620051284e1	0.02030628	4.564348
107	4.410184656696597e-1	2.122256726229152e1	0.02078064	4.672829
115	4.537961518921213e-1	2.146779053969128e1	0.02113847	4.744932
128	4.429232905413787e-1	2.166515360517250e1	0.02044404	4.852030
138	4.428486182718233e-1	2.181591086918392e1	0.02029934	4.927254
146	4.402058490136443e-1	2.193676278027506e1	0.02006704	4.983607
158	4.423082053309431e-1	2.202748315797669e1	0.02007983	5.062595
167	4.403902937221958e-1	2.209390290825734e1	0.01993266	5.117994
179	4.418927848566367e-1	2.213723072175897e1	0.01996152	5.187386
187	4.426624951029694e-1	2.216337446211163e1	0.01997270	5.231109
196	4.428717787697627e-1	2.217525439802064e1	0.01997144	5.278115
