d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	-9.462881736008435e-1	9.462881736008435e-1	188.2894	1.000000	1
2	-5.032409986675370e-1	5.032409986675370e-1	288.4227	1.500000	2 (prime)
3	7.881919183153270e-2	7.881919183153270e-2	304.1058	1.333333	3 (prime)
4	6.959932944692520e-1	6.959932944692520e-1	442.5923	1.750000	2^2
5	-2.767577088087368e-2	2.767577088087368e-2	448.0992	1.200000	5 (prime)
6	7.750827006764925e-1	7.750827006764925e-1	602.3226	2.000000	2·3
7	-2.012199622366438e-3	2.012199622366438e-3	602.7230	1.142857	7 (prime)
8	3.132479268581490e-2	3.132479268581490e-2	608.9559	1.875000	2^3
9	-3.167946884333871e-2	3.167946884333871e-2	615.2594	1.444444	3^2
10	3.291460557718384e-3	3.291460557718384e-3	615.9143	1.800000	2·5
11	6.993234322242362e-2	6.993234322242362e-2	629.8292	1.090909	11 (prime)
12	1.075507666531691e-1	1.075507666531691e-1	651.2294	2.333333	2^2·3
13	8.754909464212174e-3	8.754909464212174e-3	652.9714	1.076923	13 (prime)
14	3.554058141056272e-2	3.554058141056272e-2	660.0431	1.714286	2·7
15	-2.023265750171184e-2	2.023265750171184e-2	664.0690	1.600000	3·5
16	-2.091690687851803e-3	2.091690687851803e-3	664.4852	1.937500	2^4
17	-2.422133096043704e-4	2.422133096043704e-4	664.5334	1.058824	17 (prime)
18	2.778756152545379e-2	2.778756152545379e-2	670.0624	2.166667	2·3^2
19	-3.006515645529916e-3	3.006515645529916e-3	670.6607	1.052632	19 (prime)
20	1.208110621896528e-2	1.208110621896528e-2	673.0645	2.100000	2^2·5
21	-1.115168407066235e-2	1.115168407066235e-2	675.2834	1.523810	3·7
22	4.284787190498384e-3	4.284787190498384e-3	676.1360	1.636364	2·11
23	1.441436989920298e-2	1.441436989920298e-2	679.0041	1.043478	23 (prime)
