omega_j	omega_k	Q_value
1	1	1.895585189471805e-1
1	2	-3.356804506983480e-2
1	3	-1.379669249109361e-3
1	4	2.308571936068849e-4
2	1	-3.356804506983484e-2
2	2	2.922498904939002e-1
2	3	5.863474793352624e-3
2	4	-5.858650925422550e-4
3	1	-1.379669249109354e-3
3	2	5.863474793352614e-3
3	3	1.504003486198064e-1
3	4	-9.629761486036869e-4
4	1	2.308571936068818e-4
4	2	-5.858650925422553e-4
4	3	-9.629761486036857e-4
4	4	2.973785129004914e-4
