d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	-1.071683688741248e0	1.071683688741248e0	187.4551	1.000000	1
2	-6.982079565198985e-1	6.982079565198985e-1	309.5831	1.500000	2 (prime)
3	-2.300174366045220e-1	2.300174366045220e-1	349.8169	1.333333	3 (prime)
4	8.127730796010687e-1	8.127730796010687e-1	491.9842	1.750000	2^2
5	-3.918838366399191e-2	3.918838366399191e-2	498.8389	1.200000	5 (prime)
6	1.155616895447763e0	1.155616895447763e0	700.9753	2.000000	2·3
7	-9.602080219978919e-3	9.602080219978919e-3	702.6548	1.142857	7 (prime)
8	2.157442568922540e-2	2.157442568922540e-2	706.4285	1.875000	2^3
9	-6.544384129532910e-2	6.544384129532910e-2	717.8757	1.444444	3^2
10	-7.982325520567046e-3	7.982325520567046e-3	719.2720	1.800000	2·5
11	7.894353484558490e-2	7.894353484558490e-2	733.0805	1.090909	11 (prime)
12	1.675161643994074e-1	1.675161643994074e-1	762.3818	2.333333	2^2·3
13	1.561832022601068e-2	1.561832022601068e-2	765.1137	1.076923	13 (prime)
14	4.492632475056571e-2	4.492632475056571e-2	772.9721	1.714286	2·7
15	-5.642217955471954e-2	5.642217955471954e-2	782.8412	1.600000	3·5
16	-3.184674415941373e-3	3.184674415941373e-3	783.3983	1.937500	2^4
17	1.140933054164128e-4	1.140933054164128e-4	783.4183	1.058824	17 (prime)
18	5.131795737682586e-2	5.131795737682586e-2	792.3946	2.166667	2·3^2
19	-3.559843666357482e-3	3.559843666357482e-3	793.0173	1.052632	19 (prime)
20	1.802650506382872e-2	1.802650506382872e-2	796.1704	2.100000	2^2·5
21	-2.723564540969915e-2	2.723564540969915e-2	800.9344	1.523810	3·7
22	4.762759957267683e-4	4.762759957267683e-4	801.0177	1.636364	2·11
23	2.772348369173691e-2	2.772348369173691e-2	805.8670	1.043478	23 (prime)
24	5.060326616095424e-2	5.060326616095424e-2	814.7183	2.500000	2^3·3
25	-2.358578334093825e-3	2.358578334093825e-3	815.1309	1.240000	5^2
26	-1.704462744697443e-3	1.704462744697443e-3	815.4290	1.615385	2·13
27	3.715725959928644e-3	3.715725959928644e-3	816.0790	1.481481	3^3
28	-1.192558744333527e-2	1.192558744333527e-2	818.1649	2.000000	2^2·7
29	7.298098287347335e-3	7.298098287347335e-3	819.4415	1.034483	29 (prime)
30	5.400493183280681e-2	5.400493183280681e-2	828.8878	2.400000	2·3·5
31	1.332288536675654e-2	1.332288536675654e-2	831.2182	1.032258	31 (prime)
32	4.309389321597436e-3	4.309389321597436e-3	831.9720	1.968750	2^5
33	-7.878903186588494e-4	7.878903186588494e-4	832.1098	1.454545	3·11
34	3.605014874683309e-3	3.605014874683309e-3	832.7404	1.588235	2·17
35	1.540804607153736e-2	1.540804607153736e-2	835.4355	1.371429	5·7
36	-1.223155904996166e-3	1.223155904996166e-3	835.6495	2.527778	2^2·3^2
37	4.884742908216480e-3	4.884742908216480e-3	836.5039	1.027027	37 (prime)
38	1.359842997610628e-2	1.359842997610628e-2	838.8825	1.578947	2·19
39	2.018301971769652e-2	2.018301971769652e-2	842.4128	1.435897	3·13
40	1.353529116135018e-3	1.353529116135018e-3	842.6496	2.250000	2^3·5
41	-1.080532447527295e-3	1.080532447527295e-3	842.8386	1.024390	41 (prime)
42	1.611561730602669e-2	1.611561730602669e-2	845.6575	2.285714	2·3·7
43	2.045721744960238e-3	2.045721744960238e-3	846.0153	1.023256	43 (prime)
44	3.710697705107550e-3	3.710697705107550e-3	846.6644	1.909091	2^2·11
45	-6.740550470946224e-3	6.740550470946224e-3	847.8434	1.733333	3^2·5
