band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	1.368131977603913e-1
1	2	[2,4)	[4,8)	-4.281100782588546e-2
1	3	[2,4)	[8,16)	-1.971104068563008e-2
1	4	[2,4)	[16,32)	-2.101529949417917e-3
1	5	[2,4)	[32,64)	5.147323634476508e-3
1	6	[2,4)	[64,128)	-1.108911013465613e-3
1	7	[2,4)	[128,256)	-5.045405073585314e-6
1	8	[2,4)	[256,512)	-1.155984999549014e-3
1	9	[2,4)	[512,1024)	4.285052625064606e-4
1	10	[2,4)	[1024,2048)	-1.397290695794913e-5
2	1	[4,8)	[2,4)	-4.281100782588547e-2
2	2	[4,8)	[4,8)	2.374779435521326e-1
2	3	[4,8)	[8,16)	1.083793301234251e-1
2	4	[4,8)	[16,32)	2.683794192405979e-2
2	5	[4,8)	[32,64)	-4.185772996858235e-2
2	6	[4,8)	[64,128)	8.643697358787849e-3
2	7	[4,8)	[128,256)	-7.174458611835122e-5
2	8	[4,8)	[256,512)	9.826646137602304e-3
2	9	[4,8)	[512,1024)	-3.670395423649361e-3
2	10	[4,8)	[1024,2048)	1.199341569970496e-4
3	1	[8,16)	[2,4)	-1.971104068563008e-2
3	2	[8,16)	[4,8)	1.083793301234251e-1
3	3	[8,16)	[8,16)	8.977136743406208e-2
3	4	[8,16)	[16,32)	1.743699132830740e-2
3	5	[8,16)	[32,64)	-3.215432832103085e-2
3	6	[8,16)	[64,128)	6.571582978543676e-3
3	7	[8,16)	[128,256)	-5.326345142628677e-5
3	8	[8,16)	[256,512)	7.521570540734634e-3
3	9	[8,16)	[512,1024)	-2.841916083678221e-3
3	10	[8,16)	[1024,2048)	9.369908814059678e-5
4	1	[16,32)	[2,4)	-2.101529949417910e-3
4	2	[16,32)	[4,8)	2.683794192405983e-2
4	3	[16,32)	[8,16)	1.743699132830738e-2
4	4	[16,32)	[16,32)	2.380393526467164e-2
4	5	[16,32)	[32,64)	-1.735158804137620e-2
4	6	[16,32)	[64,128)	2.171586967632048e-3
4	7	[16,32)	[128,256)	-2.643356748857418e-4
4	8	[16,32)	[256,512)	4.081003732592436e-3
4	9	[16,32)	[512,1024)	-1.570721991175260e-3
4	10	[16,32)	[1024,2048)	4.959686037163589e-5
5	1	[32,64)	[2,4)	5.147323634476505e-3
