band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	1.367204160306980e-1
1	2	[2,4)	[4,8)	-4.418133957692566e-2
1	3	[2,4)	[8,16)	-2.002416970050049e-2
1	4	[2,4)	[16,32)	-2.092822222704335e-3
1	5	[2,4)	[32,64)	5.048049392761662e-3
1	6	[2,4)	[64,128)	-1.104481480527608e-3
1	7	[2,4)	[128,256)	-6.131494783385158e-5
1	8	[2,4)	[256,512)	-8.594530234400256e-4
1	9	[2,4)	[512,1024)	2.923364681693560e-4
2	1	[4,8)	[2,4)	-4.418133957692566e-2
2	2	[4,8)	[4,8)	2.295513315620875e-1
2	3	[4,8)	[8,16)	1.030199460919739e-1
2	4	[4,8)	[16,32)	2.391869394110034e-2
2	5	[4,8)	[32,64)	-3.725848306516573e-2
2	6	[4,8)	[64,128)	7.877769629382450e-3
2	7	[4,8)	[128,256)	3.871550228741044e-4
2	8	[4,8)	[256,512)	6.609982739844068e-3
2	9	[4,8)	[512,1024)	-2.268529566916898e-3
3	1	[8,16)	[2,4)	-2.002416970050045e-2
3	2	[8,16)	[4,8)	1.030199460919738e-1
3	3	[8,16)	[8,16)	8.325959020317727e-2
3	4	[8,16)	[16,32)	1.518557142783929e-2
3	5	[8,16)	[32,64)	-2.799063137192061e-2
3	6	[8,16)	[64,128)	5.860544306355880e-3
3	7	[8,16)	[128,256)	2.895066754473815e-4
3	8	[8,16)	[256,512)	4.949709546501856e-3
3	9	[8,16)	[512,1024)	-1.721119404445980e-3
4	1	[16,32)	[2,4)	-2.092822222704332e-3
4	2	[16,32)	[4,8)	2.391869394110034e-2
4	3	[16,32)	[8,16)	1.518557142783931e-2
4	4	[16,32)	[16,32)	2.033161880817696e-2
4	5	[16,32)	[32,64)	-1.432740412250357e-2
4	6	[16,32)	[64,128)	1.907867277983395e-3
4	7	[16,32)	[128,256)	-2.837033450664580e-5
4	8	[16,32)	[256,512)	2.523400027016483e-3
4	9	[16,32)	[512,1024)	-8.995737447363963e-4
5	1	[32,64)	[2,4)	5.048049392761681e-3
5	2	[32,64)	[4,8)	-3.725848306516572e-2
5	3	[32,64)	[8,16)	-2.799063137192062e-2
5	4	[32,64)	[16,32)	-1.432740412250356e-2
5	5	[32,64)	[32,64)	3.039304420851897e-2
5	6	[32,64)	[64,128)	-6.863382588857807e-3
5	7	[32,64)	[128,256)	-4.264642364776164e-5
5	8	[32,64)	[256,512)	-4.669996752006130e-3
5	9	[32,64)	[512,1024)	1.634358204461188e-3
6	1	[64,128)	[2,4)	-1.104481480527609e-3
6	2	[64,128)	[4,8)	7.877769629382445e-3
6	3	[64,128)	[8,16)	5.860544306355880e-3
6	4	[64,128)	[16,32)	1.907867277983400e-3
6	5	[64,128)	[32,64)	-6.863382588857806e-3
6	6	[64,128)	[64,128)	7.789705460262702e-3
6	7	[64,128)	[128,256)	-1.820356187887653e-3
6	8	[64,128)	[256,512)	4.656458254985833e-4
6	9	[64,128)	[512,1024)	-3.209205420864646e-4
7	1	[128,256)	[2,4)	-6.131494783384985e-5
7	2	[128,256)	[4,8)	3.871550228740938e-4
7	3	[128,256)	[8,16)	2.895066754473831e-4
7	4	[128,256)	[16,32)	-2.837033450664873e-5
7	5	[128,256)	[32,64)	-4.264642364776219e-5
7	6	[128,256)	[64,128)	-1.820356187887649e-3
7	7	[128,256)	[128,256)	3.297287069054935e-3
7	8	[128,256)	[256,512)	-5.786230492247988e-4
7	9	[128,256)	[512,1024)	-3.692592216105110e-5
8	1	[256,512)	[2,4)	-8.594530234400269e-4
8	2	[256,512)	[4,8)	6.609982739844068e-3
8	3	[256,512)	[8,16)	4.949709546501857e-3
8	4	[256,512)	[16,32)	2.523400027016481e-3
8	5	[256,512)	[32,64)	-4.669996752006130e-3
8	6	[256,512)	[64,128)	4.656458254985780e-4
8	7	[256,512)	[128,256)	-5.786230492247966e-4
8	8	[256,512)	[256,512)	3.023775809129998e-3
8	9	[256,512)	[512,1024)	-9.723371884346815e-4
9	1	[512,1024)	[2,4)	2.923364681693566e-4
9	2	[512,1024)	[4,8)	-2.268529566916898e-3
9	3	[512,1024)	[8,16)	-1.721119404445980e-3
9	4	[512,1024)	[16,32)	-8.995737447363967e-4
9	5	[512,1024)	[32,64)	1.634358204461188e-3
9	6	[512,1024)	[64,128)	-3.209205420864645e-4
9	7	[512,1024)	[128,256)	-3.692592216105026e-5
9	8	[512,1024)	[256,512)	-9.723371884346818e-4
9	9	[512,1024)	[512,1024)	5.941598029758279e-4
