d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	-8.156939651855447e-1	8.156939651855447e-1	184.1544	1.000000	1
2	-3.932031039781377e-1	3.932031039781377e-1	272.9256	1.500000	2 (prime)
3	2.571827773949101e-1	2.571827773949101e-1	330.9882	1.333333	3 (prime)
4	5.907337847360205e-1	5.907337847360205e-1	464.3547	1.750000	2^2
5	-2.055045533497133e-2	2.055045533497133e-2	468.9942	1.200000	5 (prime)
6	5.241354460797428e-1	5.241354460797428e-1	587.3252	2.000000	2·3
7	1.002073653027414e-2	1.002073653027414e-2	589.5875	1.142857	7 (prime)
8	2.871682759765638e-2	2.871682759765638e-2	596.0707	1.875000	2^3
9	-1.658497134620758e-2	1.658497134620758e-2	599.8150	1.444444	3^2
10	4.787145828590846e-3	4.787145828590846e-3	600.8958	1.800000	2·5
11	6.121379964069151e-2	6.121379964069151e-2	614.7157	1.090909	11 (prime)
12	6.706001442534550e-2	6.706001442534550e-2	629.8554	2.333333	2^2·3
13	4.304535721790850e-3	4.304535721790850e-3	630.8272	1.076923	13 (prime)
14	2.321911883224847e-2	2.321911883224847e-2	636.0693	1.714286	2·7
15	-7.060737110312377e-3	7.060737110312377e-3	637.6633	1.600000	3·5
