d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	-6.621361455297093e-1	6.621361455297093e-1	171.8364	1.000000	1
2	-3.294864667233026e-1	3.294864667233026e-1	257.3442	1.500000	2 (prime)
3	3.459300082345472e-1	3.459300082345472e-1	347.1194	1.333333	3 (prime)
4	4.946640367958265e-1	4.946640367958265e-1	475.4937	1.750000	2^2
5	-1.204818675338450e-2	1.204818675338450e-2	478.6205	1.200000	5 (prime)
6	3.514043492523577e-1	3.514043492523577e-1	569.8163	2.000000	2·3
7	9.790976632606363e-3	9.790976632606363e-3	572.3573	1.142857	7 (prime)
8	2.824265160613298e-2	2.824265160613298e-2	579.6867	1.875000	2^3
9	-7.806976348200616e-3	7.806976348200616e-3	581.7128	1.444444	3^2
10	3.427216562151773e-3	3.427216562151773e-3	582.6022	1.800000	2·5
11	4.511238206727292e-2	4.511238206727292e-2	594.3097	1.090909	11 (prime)
