N,dim,lambda_min_G,lambda_min_block2,lambda_min_block8,ratio_b2,ratio_b8,R_parity
50,49,4.348058430845509e-4,6.205994600330031e-4,2.806807678287348e-3,1.427302,6.455313,0.984772721565
100,99,1.202435719257187e-4,1.626540665235752e-4,8.458650596198578e-4,1.352705,7.034597,0.976731149464
200,199,3.125490226090792e-5,4.334760007698994e-5,1.926280496611565e-4,1.386906,6.163131,0.997098424083
300,299,1.451156892786381e-5,1.894403393860802e-5,9.387883329434866e-5,1.305444,6.469241,0.993350653182
500,499,5.459895630082710e-6,7.886849242523052e-6,3.535168269033871e-5,1.444505,6.474791,0.994659087198
800,799,2.218415196350783e-6,3.045076336961167e-6,1.503027691263315e-5,1.372636,6.775232,0.997506419499
1000,999,1.431801404182851e-6,2.029190540779587e-6,9.629919433600905e-6,1.417229,6.725737,0.999690956364
1500,1499,6.683757078938187e-7,9.330857457292234e-7,4.438278290207744e-6,1.396050,6.640394,0.998923951778
2000,1999,3.815552986616989e-7,5.411959967952421e-7,2.578045318891922e-6,1.418395,6.756675,0.999154344520
