N,rayleigh,witness_proj,d_sq_N,lnN_d_sq
50,0.349879651580955,0.004198711236651,0.043859070827402,0.171577694073
100,0.244144858989633,0.016480506660381,0.043094896469499,0.198459332390
200,0.165507681441816,0.008255572904563,0.042517436011202,0.225270869599
300,0.129689633249853,0.007234316224534,0.042098335388486,0.240119747601
500,0.094198902487260,0.024822850394512,0.041844665913069,0.260048199659
800,0.069326905962435,0.015038624483497,0.041527227822581,0.277593394120
1000,0.059653046256041,0.020654545050054,0.041458047252868,0.286382044767
1500,0.045253219031947,0.003441287818094,0.041322036627656,0.302197160701
2000,0.037071262353883,0.006762123009368,0.041261346776516,0.313623472198
