energy	count	normalized
1.237317884526059e-3	1	3.448275862068965e-2
1.377441246994287e-3	2	6.896551724137931e-2
1.420698440919262e-3	3	1.034482758620690e-1
1.565765547715996e-3	4	1.379310344827586e-1
1.891030722818595e-3	5	1.724137931034483e-1
2.095344662114789e-3	6	2.068965517241379e-1
2.524049994767584e-3	7	2.413793103448276e-1
2.632108895613229e-3	8	2.758620689655172e-1
3.202611116565398e-3	9	3.103448275862069e-1
3.780034126093142e-3	10	3.448275862068966e-1
3.936543291260721e-3	11	3.793103448275862e-1
4.748167409517812e-3	12	4.137931034482759e-1
5.230987684460659e-3	13	4.482758620689655e-1
6.246924390596533e-3	14	4.827586206896552e-1
7.205350243529046e-3	15	5.172413793103449e-1
9.572995340456421e-3	16	5.517241379310345e-1
1.210559590449015e-2	17	5.862068965517241e-1
1.452886998770946e-2	18	6.206896551724138e-1
1.929014783857708e-2	19	6.551724137931034e-1
2.296367411672351e-2	20	6.896551724137931e-1
2.556259125366543e-2	21	7.241379310344828e-1
2.651918726114186e-2	22	7.586206896551724e-1
2.972201609365659e-2	23	7.931034482758621e-1
3.625629598962402e-2	24	8.275862068965517e-1
3.775221626491684e-2	25	8.620689655172413e-1
5.813921904804658e-2	26	8.965517241379310e-1
7.899311049072305e-2	27	9.310344827586207e-1
2.706164092650449e-1	28	9.655172413793104e-1
2.472404172231473e0	29	1.000000000000000e0
