energy	count	normalized
1.622599091752580e-4	1	2.040816326530612e-2
2.205203088569550e-4	2	4.081632653061224e-2
2.243344650698794e-4	3	6.122448979591837e-2
2.846903162890028e-4	4	8.163265306122448e-2
3.403965769957140e-4	5	1.020408163265306e-1
4.275979159864310e-4	6	1.224489795918367e-1
4.584026889684510e-4	7	1.428571428571428e-1
5.411508232336191e-4	8	1.632653061224490e-1
6.123833889128805e-4	9	1.836734693877551e-1
6.255652110573605e-4	10	2.040816326530612e-1
7.583746563709481e-4	11	2.244897959183673e-1
8.035223448757311e-4	12	2.448979591836735e-1
9.688983818777106e-4	13	2.653061224489796e-1
1.046132549387559e-3	14	2.857142857142857e-1
1.189927380118958e-3	15	3.061224489795918e-1
1.494089269329538e-3	16	3.265306122448979e-1
1.668260386823192e-3	17	3.469387755102041e-1
1.740878189701635e-3	18	3.673469387755102e-1
1.965807334600018e-3	19	3.877551020408163e-1
2.087438364033613e-3	20	4.081632653061225e-1
2.604186384144968e-3	21	4.285714285714285e-1
2.898038762898325e-3	22	4.489795918367347e-1
3.023582705536015e-3	23	4.693877551020408e-1
3.122917005822536e-3	24	4.897959183673469e-1
3.501093072473184e-3	25	5.102040816326531e-1
3.671324881001984e-3	26	5.306122448979592e-1
3.971481942739167e-3	27	5.510204081632653e-1
4.205993608332756e-3	28	5.714285714285714e-1
4.819218365684133e-3	29	5.918367346938775e-1
5.849164139641427e-3	30	6.122448979591837e-1
6.515883322897760e-3	31	6.326530612244898e-1
7.348602310778252e-3	32	6.530612244897959e-1
8.391053723834661e-3	33	6.734693877551020e-1
1.150197371565360e-2	34	6.938775510204082e-1
1.185952811543375e-2	35	7.142857142857143e-1
1.497827478670717e-2	36	7.346938775510204e-1
1.939952729168593e-2	37	7.551020408163265e-1
2.271663101966405e-2	38	7.755102040816326e-1
2.401947456501555e-2	39	7.959183673469388e-1
2.443815000586655e-2	40	8.163265306122449e-1
2.702586185024338e-2	41	8.367346938775511e-1
2.775798162045282e-2	42	8.571428571428571e-1
3.264880904511686e-2	43	8.775510204081632e-1
3.605067105219760e-2	44	8.979591836734694e-1
4.477850695797510e-2	45	9.183673469387755e-1
6.332303330563355e-2	46	9.387755102040817e-1
9.890424116971691e-2	47	9.591836734693877e-1
3.759663103004380e-1	48	9.795918367346939e-1
2.869131867949976e0	49	1.000000000000000e0
