beta	free_energy	specific_heat	entropy
1.000000000000001e-2	-3.891055822768410e2	1.613899168348506e-5	3.891812155720370e0
1.076389906235062e-2	-3.614859328467196e2	1.866046289051406e-5	3.891810877106878e0
1.158615230244725e-2	-3.358264208861915e2	2.157248306189470e-5	3.891809398847146e0
1.247121739045634e-2	-3.119879388148325e2	2.493471130420764e-5	3.891807690046986e0
1.342389251755037e-2	-2.898412513731056e2	2.881571561395428e-5	3.891805715099988e0
1.444934240827559e-2	-2.692662950005051e2	3.329425293483758e-5	3.891803432985609e0
1.555312632000205e-2	-2.501515269360306e2	3.846072067842258e-5	3.891800796466812e0
1.674122818124908e-2	-2.323933205122605e2	4.441879953798780e-5	3.891797751173949e0
1.802008903227446e-2	-2.158954033647311e2	5.128730889493518e-5	3.891794234560030e0
1.939664194379737e-2	-2.005683355109766e2	5.920229745331774e-5	3.891790174710884e0
2.087834960315912e-2	-1.863290244697305e2	6.831939284464609e-5	3.891785488992044e0
2.247324477168728e-2	-1.731002747915905e2	7.881643469704258e-5	3.891780082512390e0
2.418997383259405e-2	-1.608103695590006e2	9.089641589964580e-5	3.891773846382772e0
2.603784366549451e-2	-1.493926815867178e2	1.047907563118402e-4	3.891766655746026e0
2.802687210166482e-2	-1.387853122149393e2	1.207629317131815e-4	3.891758367553059e0
3.016784223357307e-2	-1.289307557368528e2	1.391124780489627e-4	3.891748818058109e0
3.247236087310984e-2	-1.197755876413377e2	1.601793866124566e-4	3.891737820004906e0
3.495292147543778e-2	-1.112701749806509e2	1.843488992503395e-4	3.891725159474626e0
3.762297186958793e-2	-1.033684072928713e2	2.120567034219707e-4	3.891710592366087e0
4.049698716299013e-2	-9.602744662030257e1	2.437945143219414e-4	3.891693840479152e0
4.359054821517344e-2	-8.920749526855809e1	2.801160145119737e-4	3.891674587173822e0
4.692042610606546e-2	-8.287158004721589e1	3.216430997082214e-4	3.891652472580437e0
5.050467305681693e-2	-7.698535182228153e1	3.690723515202647e-4	3.891627088341159e0
5.436272029605960e-2	-7.151689929369770e1	4.231816229154905e-4	3.891597971870011e0
5.851548340215849e-2	-6.643657598824906e1	4.848365787743027e-4	3.891564600128684e0
6.298547569254870e-2	-6.171683952985028e1	5.549969808433428e-4	3.891526382928796e0
6.779693027487323e-2	-5.733210231575524e1	6.347224424317055e-4	3.891482655789116e0
7.297593142159579e-2	-5.325859278905534e1	7.251773021797285e-4	3.891432672399189e0
7.855055598030776e-2	-4.947422655527313e1	8.276341772527476e-4	3.891375596769787e0
8.455102558635545e-2	-4.595848664422120e1	9.434756538943006e-4	3.891310495186705e0
9.100987050297542e-2	-4.269231226787241e1	1.074193457620241e-3	3.891236328128453e0
9.796210597716283e-2	-3.965799547104591e1	1.221384317670432e-3	3.891151942361472e0
1.054454220673474e-1	-3.683908511450678e1	1.386741603323552e-3	3.891056063489328e0
1.135003879719886e-1	-3.422029766983340e1	1.572041667955442e-3	3.890947289305379e0
1.221706719668119e-1	-3.178743434234983e1	1.779123697509095e-3	3.890824084382012e0
1.315032781430311e-1	-2.952730407274437e1	2.009861733890847e-3	3.890684776422775e0
1.415488012299805e-1	-2.742765199989389e1	2.266127445370713e-3	3.890527555005558e0
1.523617008836241e-1	-2.547709299705719e1	2.549742164930311e-3	3.890350473452231e0
1.640005969279386e-1	-2.366504992115436e1	2.862416738924733e-3	3.890151454668839e0
1.765285871497580e-1	-2.198169624046146e1	3.205677853870205e-3	3.889928301903877e0
1.900135893699359e-1	-2.041790272986526e1	3.580779776442303e-3	3.889678715461331e0
2.045287096452927e-1	-1.896518794496713e1	3.988600894466113e-3	3.889400316468290e0
2.201526385974749e-1	-1.761567220692455e1	4.429525132596068e-3	3.889090678818225e0
2.369700780173373e-1	-1.636203484908119e1	4.903309284448351e-3	3.888747370371944e0
2.550722000575969e-1	-1.519747449426848e1	5.408938598179484e-3	3.888368004375916e0
2.745571415031676e-1	-1.411567214825687e1	5.944474608474667e-3	3.887950301827046e0
2.955305357987611e-1	-1.311075691027999e1	6.506901236300607e-3	3.887492165146560e0
3.181060857180259e-1	-1.217727411592851e1	7.091977554798407e-3	3.886991762996975e0
3.424061797788284e-1	-1.131015574108235e1	7.694108269587469e-3	3.886447625361619e0
3.685625557464387e-1	-1.050469290798103e1	8.306245738306331e-3	3.885858747090894e0
3.967170148216639e-1	-9.756510346075636e0	8.919840022209568e-3	3.885224697001980e0
4.270221903857443e-1	-9.061542671007354e0	9.524855682516157e-3	3.884545728318887e0
4.596423754696018e-1	-8.416012354953134e0	1.010987535488588e-2	3.883822884806547e0
4.947544134333858e-1	-7.816409270700484e0	1.066231000175485e-2	3.883058095472072e0
5.325486566849449e-1	-7.259471700185228e0	1.116873352510233e-2	3.882254249308212e0
5.732299986347158e-1	-6.742168705871493e0	1.161535447897631e-2	3.881415240415771e0
6.170189844815460e-1	-6.261683770294588e0	1.198862939388389e-2	3.880545973185226e0
6.641530068513447e-1	-5.815399615351179e0	1.227601037864130e-2	3.879652317299133e0
7.148875927704530e-1	-5.400884118541973e0	1.246680425908397e-2	3.878741003403221e0
7.694977889507967e-1	-5.015877248396435e0	1.255310219111847e-2	3.877819452627896e0
8.282796528968350e-1	-4.658278945801088e0	1.253071885006736e-2	3.876895536891385e0
8.915518579180335e-1	-4.326137881994864e0	1.240006121800165e-2	3.875977272114180e0
9.596574207480877e-1	-4.017641027690752e0	1.216683178141420e-2	3.875072452956387e0
1.032965561136815e0	-3.731103971253731e0	1.184246335872934e-2	3.874188245034990e0
1.111873703496104e0	-3.464961927243738e0	1.144418670703766e-2	3.873330758081345e0
1.196809631451402e0	-3.217761380053942e0	1.099465083760755e-2	3.872504630183604e0
1.288233806979193e0	-2.988152310959231e0	1.052105138879606e-2	3.871712657952397e0
1.386641866703169e0	-2.774880960727763e0	1.005377367564416e-2	3.870955508936482e0
1.492567308882236e0	-2.576783084079808e0	9.624619929145473e-3	3.870231549863767e0
1.606584385657268e0	-2.392777656679285e0	9.264756725478284e-3	3.869536816709314e0
1.729311216236340e0	-2.221860999917517e0	9.002577354709607e-3	3.868865140331424e0
1.861413137895874e0	-2.063101293329444e0	8.861711867528814e-3	3.868208425515465e0
2.003606312964452e0	-1.915633448848994e0	8.859422783985840e-3	3.867557063708631e0
2.156661611343785e0	-1.778654325018457e0	9.005589460617395e-3	3.866900443241723e0
2.321408789615093e0	-1.651418262489011e0	9.302409232117594e-3	3.866227508422073e0
2.498740989387035e0	-1.533232924520263e0	9.744838864891719e-3	3.865527313168466e0
2.689619579272017e0	-1.423455427640619e0	1.032168513999360e-2	3.864789517360633e0
2.895079366740595e0	-1.321488748224711e0	1.101715375169901e-2	3.864004784627761e0
3.116234208108970e0	-1.226778390656389e0	1.181260554488277e-2	3.863165056865704e0
3.354283047072902e0	-1.138809302243230e0	1.268826429159624e-2	3.862263699787233e0
3.610516414524660e0	-1.057103019434772e0	1.362467201027941e-2	3.861295531051808e0
3.886323424890352e0	-9.812150294499463e-1	1.460378121374444e-2	3.860256754281892e0
4.183199306916845e0	-9.107323313356257e-1	1.560968108971207e-2	3.859144826445212e0
4.502753509734796e0	-8.452711808400635e-1	1.662904570768743e-2	3.857958282762682e0
4.846718428143035e0	-7.844750042593730e-1	1.765144313640210e-2	3.856696534653121e0
5.216958794416626e0	-7.280124674831928e-1	1.866964563922884e-2	3.855359645655804e0
5.615481787554290e0	-6.755756876696128e-1	1.968003976878184e-2	3.853948081261376e0
6.044447914770258e0	-6.268785761704014e-1	2.068316935988870e-2	3.852462423646059e0
6.506182724222270e0	-5.816553023999463e-1	2.168437525381423e-2	3.850903042459292e0
7.003189412473791e0	-5.396588692459434e-1	2.269443968242631e-2	3.849269717652009e0
7.538162395039039e0	-5.006597913577661e-1	2.373010918272654e-2	3.847561218508879e0
8.114001913580729e0	-4.644448682537065e-1	2.481435924951216e-2	3.845774852864244e0
8.733829758950277e0	-4.308160447088482e-1	2.597627463678397e-2	3.843906010280008e0
9.401006195309487e0	-3.995893513680703e-1	2.725044880757047e-2	3.841947731266111e0
1.011914817708440e1	-3.705939190111940e-1	2.867585264323846e-2	3.839890340111194e0
1.089214895751057e1	-3.436710604046075e-1	3.029418390450437e-2	3.837721180384693e0
1.172419919507313e1	-3.186734142176521e-1	3.214778056001635e-2	3.835424488731580e0
1.261980967226596e1	-2.954641460617939e-1	3.427725476410302e-2	3.832981433730867e0
1.358383574983467e1	-2.739162023134055e-1	3.671906807252950e-2	3.830370332596914e0
1.462150368907701e1	-2.539116129835698e-1	3.950330845153981e-2	3.827567040604055e0
1.573843898490122e1	-2.353408404699475e-1	4.265193275068901e-2	3.824545488561403e0
1.694069686324406e1	-2.181021715323245e-1	4.617769641213492e-2	3.821278325510985e0
1.823479510818388e1	-2.021011502435709e-1	5.008390565347887e-2	3.817737610429782e0
1.962774939671360e1	-1.872500499586328e-1	5.436500728603787e-2	3.813895491030123e0
2.112711133273383e1	-1.734673825072794e-1	5.900789893672546e-2	3.809724811514329e0
2.274100938645909e1	-1.606774428601925e-1	6.399372500681015e-2	3.805199604269812e0
2.447819296118135e1	-1.488098874678695e-1	6.929984753160218e-2	3.800295440889358e0
2.634807982628971e1	-1.377993443653835e-1	7.490166350522315e-2	3.794989641815820e0
2.836080717369392e1	-1.275850530161311e-1	8.077398345592063e-2	3.789261366843780e0
3.052728657444308e1	-1.181105317736287e-1	8.689177611166249e-2	3.783091626609314e0
3.285926313347561e1	-1.093232708006630e-1	9.323019556928261e-2	3.776463265503429e0
3.536937916319498e1	-1.011744483129682e-1	9.976391337995277e-2	3.769360968590528e0
3.807124272106382e1	-9.361866810826937e-2	1.064658596991650e-1	3.761771340275643e0
4.097950138277818e1	-8.661371648790006e-2	1.133055308684617e-1	3.753683092679811e0
4.410992165096822e1	-8.012033685871250e-2	1.202470545406256e-1	3.745087368781597e0
4.747947442992154e1	-7.410202049929838e-2	1.272472323392725e-1	3.735978210262819e0
5.110642702971329e1	-6.852481217193059e-2	1.342538140215915e-1	3.726353162592627e0
5.501044219852214e1	-6.335712945000722e-2	1.412042941689783e-1	3.716213989810620e0
5.921268472001645e1	-5.856959480325902e-2	1.480255477381754e-1	3.705567448979024e0
6.373593615370471e1	-5.413487963407756e-2	1.546346125351823e-1	3.694426051018354e0
6.860471834029013e1	-5.002755958254590e-2	1.609408653712998e-1	3.682808713852759e0
7.384542634158775e1	-4.622398050967064e-2	1.668497159940014e-1	3.670741199769479e0
7.948647153570970e1	-4.270213462372400e-2	1.722677664593935e-1	3.658256225981253e0
8.555843564327851e1	-3.944154623225249e-2	1.771091764636449e-1	3.645393148763329e0
9.209423651968717e1	-3.642316658525030e-2	1.813027704210730e-1	3.632197148298555e0
9.912930661221556e1	-3.362927723098324e-2	1.847992547929861e-1	3.618717882021737e0
1.067017850494694e2	-3.104340124662742e-2	1.875778129380702e-1	3.605007624938102e0
1.148527244045120e2	-2.865022164495387e-2	1.896513262903129e-1	3.591118970541761e0
1.236263132526141e2	-2.643550620926908e-2	1.910695389766827e-1	3.577102219266890e0
1.330701157301677e2	-2.438603798296737e-2	1.919196326372380e-1	3.563002626636313e0
1.432353293934839e2	-2.248955064491242e-2	1.923238988240427e-1	3.548857714803090e0
1.541770627754001e2	-2.073466804075246e-2	1.924344745259729e-1	3.534694864259440e0
1.659546341444103e2	-1.911084721232559e-2	1.924254231610151e-1	3.520529393524316e0
1.786318930859758e2	-1.760832436801353e-2	1.924827692309405e-1	3.506363301781994e0
1.922775666494049e2	-1.621806335866375e-2	1.927933866919728e-1	3.492184793566781e0
2.069656319368589e2	-1.493170635650990e-2	1.935338464224317e-1	3.477968630079961e0
