index	eigenvalue
0	8.956248536069314e-4
1	1.060607900157898e-3
2	1.424540690273557e-3
3	1.648066606663166e-3
4	1.892341470761943e-3
5	2.178573921614821e-3
6	2.429942662317676e-3
7	2.670040719789032e-3
8	3.537910940758955e-3
9	3.675305333280136e-3
10	3.900586189428189e-3
11	4.969624341259297e-3
12	5.090753116362472e-3
13	5.874293350109874e-3
14	6.902334591606735e-3
15	8.962964662507768e-3
16	1.225849736150469e-2
17	1.495026843950053e-2
18	1.941829045683112e-2
19	2.295620476860822e-2
20	2.553562925738316e-2
21	2.659570525045849e-2
22	2.982203918633778e-2
23	3.577539108688445e-2
24	3.832614929701277e-2
25	5.791608174825581e-2
26	7.979676759653560e-2
27	2.700602379424462e-1
28	2.471839130417867e0
