index	raw_spacing	unfolded_spacing
0	8.693262125602521e-6	1.529141581106582e0
1	3.182999095179267e-6	5.761999850018417e-1
2	8.266617325283874e-6	1.408926287546071e0
3	5.885683630901388e-6	9.945310115838611e-1
4	5.214710362262226e-6	8.533670158709602e-1
5	2.867089377598081e-6	4.645590827039166e-1
6	4.558493074870802e-6	6.612181362640025e-1
7	8.269681954372189e-6	1.218272779748605e0
8	6.323907423313546e-6	9.140214637587385e-1
9	7.845030671000791e-6	1.128646213926559e0
10	6.780516665676509e-6	8.452063400718092e-1
11	1.664018944777290e-5	2.098675545694788e0
12	2.016498347511507e-6	2.319672122966260e-1
13	9.704706839826471e-6	1.168480814131519e0
14	6.238332227050006e-6	7.324317869584926e-1
15	1.700108619939153e-5	1.729884547143630e0
16	1.839461937304279e-6	1.940641531291632e-1
17	1.296393782405109e-5	1.371248401979333e0
18	4.005791594388034e-6	3.954159446073033e-1
19	8.654612599091600e-6	8.480071826775732e-1
20	2.226147291321394e-5	2.151648138041125e0
21	2.938819298018227e-6	2.695455050454244e-1
22	1.637052707602625e-5	1.423262854235447e0
23	9.457596280488840e-6	8.590413029630158e-1
24	1.053243308090821e-5	7.725164085244676e-1
25	7.782926153038878e-6	5.854420178699467e-1
26	2.312397889549933e-5	1.862134601221112e0
27	8.431123310072319e-6	5.649745835864746e-1
28	7.544976215682897e-6	4.629085954445655e-1
29	3.287474201089171e-5	1.733225891427154e0
30	4.916531508370836e-6	2.643082837663000e-1
31	1.262429547267555e-5	6.353495453656637e-1
32	3.049401795224863e-5	1.623238744900233e0
33	3.150706868141912e-5	1.302198292829348e0
34	3.880900994091154e-5	1.576077311264179e0
35	6.507870140984111e-6	2.751979355673986e-1
36	2.173465464919448e-5	7.896214125793612e-1
37	1.120072677241639e-5	4.142206243660533e-1
38	6.793432494428292e-5	2.301222365964520e0
39	1.225854008601488e-5	4.209931755092506e-1
40	2.214053458502450e-5	7.776676289866427e-1
41	4.756848799367043e-5	1.592079431692593e0
42	7.290104367316729e-6	2.047823642512141e-1
43	5.777938854255337e-5	1.464193606005962e0
44	2.707594664210465e-5	7.238650197332118e-1
45	3.168419075041885e-5	7.783398756403176e-1
46	2.199344104592883e-5	4.645975990762380e-1
47	8.466637510862543e-5	1.844450256637050e0
48	5.368601155354236e-5	8.928478263545490e-1
49	4.530856897741443e-5	7.369394165604117e-1
50	4.858832353584505e-5	7.506183900709721e-1
51	9.508473558421881e-5	1.386618053388115e0
52	3.177934296817015e-5	4.207983703783648e-1
53	1.637722391915181e-4	2.318491550619076e0
54	7.266371678192564e-5	8.856330430733248e-1
55	6.281470704405266e-5	7.477824825550063e-1
56	7.394693289822381e-5	8.128551142391166e-1
57	9.842603883946678e-5	1.021621938567151e0
58	3.094089712765702e-5	3.153256866942165e-1
59	1.791937637530380e-4	1.829129806977253e0
60	6.680369630623971e-5	5.882977194284283e-1
61	1.252642710331681e-4	1.062807377502966e0
62	1.541664940494475e-4	1.188087064282081e0
63	5.136703751771514e-5	3.765672458941214e-1
64	1.620458601477898e-4	1.065363266921919e0
65	2.441268642999423e-4	1.197688914574515e0
66	1.101967068711266e-4	4.895261779316039e-1
67	2.048313012118601e-4	8.225275910844629e-1
68	1.715584876061022e-4	5.272274495012355e-1
69	2.035879250282331e-4	6.103001460733914e-1
70	7.481991078371968e-4	1.903325992309273e0
71	3.008540114837416e-4	6.219469809848732e-1
72	3.883594966615595e-4	6.986962162564838e-1
73	9.942455679525725e-4	1.598560433892107e0
74	1.414468080475828e-4	1.978261248474325e-1
75	8.167033182374253e-4	9.592789663155896e-1
76	1.241040165709875e-3	1.207766605054274e0
77	9.033538556886545e-4	8.281940925855789e-1
78	9.322451145729500e-4	6.719651770182929e-1
79	1.195027393990633e-3	7.842150557563434e-1
80	1.703617918097002e-3	1.081466837552013e0
81	2.686152621643959e-3	1.721006036819295e0
82	9.960730029819984e-4	6.321498475560969e-1
83	3.650849717171854e-3	2.275508128973989e0
84	2.495858056019547e-3	1.570539639112711e0
85	7.072080473985547e-4	3.993398306717843e-1
86	6.574150090454291e-4	3.070729258179325e-1
87	1.404803352690689e-3	6.845265444904746e-1
88	1.219268080843140e-3	3.533468214442262e-1
89	7.646218584078657e-4	1.660195727038987e-1
90	3.194504499672415e-3	3.039040966104642e-1
91	5.773238252608143e-3	1.203281955415885e-1
92	1.710649022053028e-3	5.608905948097753e-3
93	1.637848105438931e-2	4.884049698066799e-2
94	1.635569285873158e-2	4.391125395248524e-2
95	6.746121838274176e-2	1.610303072204940e-1
96	4.128501825713964e-1	8.631139295911859e-1
97	2.827755369002678e0	5.075983057200522e0
