energy	density
-3.175500782483928e-1	5.828712061262178e-1
-2.983952079554325e-1	5.940339474094294e-1
-2.792403376624721e-1	6.047256217292872e-1
-2.600854673695118e-1	6.149134279318874e-1
-2.409305970765515e-1	6.245657245407849e-1
-2.217757267835911e-1	6.336521933617267e-1
-2.026208564906308e-1	6.421439981503290e-1
-1.834659861976704e-1	6.500139371810641e-1
-1.643111159047101e-1	6.572365885875348e-1
-1.451562456117498e-1	6.637884473863565e-1
-1.260013753187895e-1	6.696480531497807e-1
-1.068465050258291e-1	6.747961073550679e-1
-8.769163473286878e-2	6.792155795110117e-1
-6.853676443990847e-2	6.828918012432862e-1
-4.938189414694810e-2	6.858125476096698e-1
-3.022702385398779e-2	6.879681050128926e-1
-1.107215356102748e-2	6.893513251818117e-1
8.082716731932893e-3	6.899576647999677e-1
2.723758702489321e-2	6.897852104730851e-1
4.639245731785352e-2	6.888346888427296e-1
6.554732761081383e-2	6.871094617708884e-1
8.470219790377420e-2	6.846155066385110e-1
1.038570681967346e-1	6.813613819188511e-1
1.230119384896948e-1	6.773581783025723e-1
1.421668087826552e-1	6.726194557648189e-1
1.613216790756156e-1	6.671611670737431e-1
1.804765493685758e-1	6.610015683441138e-1
1.996314196615362e-1	6.541611173377031e-1
2.187862899544966e-1	6.466623603031164e-1
2.379411602474568e-1	6.385298082307577e-1
2.570960305404172e-1	6.297898034729754e-1
2.762509008333774e-1	6.204703777443770e-1
2.954057711263378e-1	6.106011025723578e-1
3.145606414192982e-1	6.002129333125860e-1
3.337155117122586e-1	5.893380478782085e-1
3.528703820052188e-1	5.780096813547601e-1
3.720252522981792e-1	5.662619576850167e-1
3.911801225911395e-1	5.541297196095126e-1
4.103349928840998e-1	5.416483580392020e-1
4.294898631770602e-1	5.288536420172010e-1
4.486447334700204e-1	5.157815503970188e-1
4.677996037629808e-1	5.024681063257351e-1
4.869544740559412e-1	4.889492155728112e-1
5.061093443489014e-1	4.752605096892949e-1
5.252642146418619e-1	4.614371949189039e-1
5.444190849348222e-1	4.475139077126292e-1
5.635739552277824e-1	4.335245776230175e-1
5.827288255207429e-1	4.195022982740462e-1
6.018836958137032e-1	4.054792070184640e-1
6.210385661066634e-1	3.914863738075916e-1
