energy	count	normalized
2.596140794120375e-3	1	5.263157894736842e-2
3.006600576743748e-3	2	1.052631578947368e-1
3.337357611387054e-3	3	1.578947368421053e-1
4.063530232764987e-3	4	2.105263157894737e-1
5.176940711996129e-3	5	2.631578947368421e-1
5.684943829180530e-3	6	3.157894736842105e-1
7.312608039019410e-3	7	3.684210526315789e-1
9.141883386954867e-3	8	4.210526315789473e-1
1.193498163354291e-2	9	4.736842105263158e-1
1.583671890295188e-2	10	5.263157894736842e-1
2.184452497843975e-2	11	5.789473684210527e-1
2.611200006481849e-2	12	6.315789473684210e-1
2.759087199506386e-2	13	6.842105263157895e-1
3.381387787023957e-2	14	7.368421052631579e-1
3.633359040327906e-2	15	7.894736842105263e-1
5.102539206370398e-2	16	8.421052631578947e-1
7.091328489783463e-2	17	8.947368421052632e-1
2.014885921869067e-1	18	9.473684210526315e-1
2.141496282288598e0	19	1.000000000000000e0
