index	raw_spacing	unfolded_spacing
0	1.401233624682278e-4	6.533917729398672e-1
1	4.325719392497471e-5	2.170937115796331e-1
2	1.450671067967342e-4	5.905158759284040e-1
3	3.252651751025988e-4	1.151283233287263e0
4	2.043139392961942e-4	7.569354481712562e-1
5	4.287053326527952e-4	1.343195891937814e0
6	1.080589008456449e-4	3.084555820439537e-1
7	5.705022209521685e-4	1.300296441962792e0
8	5.774230095277446e-4	1.126262561411800e0
9	1.565091651675788e-4	2.241094436819669e-1
10	8.116241182570911e-4	8.918722502223111e-1
11	4.828202749428464e-4	4.424075519244666e-1
12	1.015936706135875e-3	6.708655085846664e-1
13	9.584258529325125e-4	5.335079586646368e-1
14	2.367645096927375e-3	1.195639975310089e0
15	2.532600564033734e-3	1.233629075564694e0
16	2.423274083219309e-3	1.067357108331564e0
17	4.761277850867615e-3	1.688107523199938e0
18	3.673526278146429e-3	1.282603228080156e0
19	2.598917136941919e-3	5.612785593821908e-1
20	9.565960074764297e-4	1.515779116681616e-1
21	3.202828832514736e-3	1.362848876597047e-1
22	6.534279895967422e-3	2.924358236971012e-2
23	1.495920275292821e-3	6.098046240076574e-3
24	2.038700278312974e-2	7.490813726211693e-2
25	2.085389144267647e-2	6.818223657730334e-2
26	1.916232987743218e-1	5.484162581898854e-1
27	2.201787762966428e0	5.408287175064302e0
