beta	free_energy	specific_heat	entropy
1.000000000000001e-2	-4.303492518940537e2	1.323887494731868e-5	4.304058406822535e0
1.084283727355295e-2	-3.968928761183453e2	1.552510889442686e-5	4.304057245472353e0
1.175671201407492e-2	-3.660371460577626e2	1.820225917839128e-5	4.304055883715108e0
1.274761152406393e-2	-3.375799086096063e2	2.133610592182366e-5	4.304054287324032e0
1.382202773818935e-2	-3.113347245277189e2	2.500320895501331e-5	4.304052416323927e0
1.498699975557222e-2	-2.871296469543367e2	2.929259537110502e-5	4.304050224052142e0
1.625015995684474e-2	-2.648060948995192e2	3.430768954785545e-5	4.304047656073376e0
1.761978400812737e-2	-2.442178142876697e2	4.016851438074123e-5	4.304044648927509e0
1.910484507952755e-2	-2.252299197643602e2	4.701419407904507e-5	4.304041128687344e0
2.071507263337559e-2	-2.077180109857746e2	5.500578995166213e-5	4.304037009300552e0
2.246101616735215e-2	-1.915673576010568e2	6.432950088288145e-5	4.304032190687596e0
2.435411433012413e-2	-1.766721475878926e2	7.520025932104094e-5	4.304026556564895e0
2.640676986230399e-2	-1.629347940167077e2	8.786575112889252e-5	4.304019971960011e0
2.863243085371242e-2	-1.502652957016620e2	1.026108830120450e-4	4.304012280383585e0
3.104567884930605e-2	-1.385806475496492e2	1.197627137524031e-4	4.304003300621095e0
3.366232438100100e-2	-1.278042967441095e2	1.396958542696809e-4	4.303992823106578e0
3.649951055127477e-2	-1.178656412007375e2	1.628383255781644e-4	4.303980605840737e0
3.957582534718013e-2	-1.086995670091114e2	1.896778417611655e-4	4.303966369817496e0
4.291142342060262e-2	-1.002460218296739e2	2.207684557035227e-4	4.303949793926944e0
4.652815813261230e-2	-9.244962145104958e1	2.567374668409831e-4	4.303930509309059e0
5.044972472700544e-2	-8.525928692992764e1	2.982924407446345e-4	4.303908093142751e0
5.470181557104604e-2	-7.862790993608498e1	3.462281279446495e-4	4.303882061869256e0
5.931228848047571e-2	-7.251204410990763e1	4.014329919244052e-4	4.303851863869252e0
6.431134923158272e-2	-6.687162041017649e1	4.648949616637983e-4	4.303816871640129e0
6.973174945606857e-2	-6.166968458704810e1	5.377059107392941e-4	4.303776373555530e0
7.560900121523155e-2	-5.687215506010866e1	6.210642316507914e-4	4.303729565334734e0
8.198160965926228e-2	-5.244759961505878e1	7.162747206278656e-4	4.303675541406726e0
8.889132529593174e-2	-4.836702945587677e1	8.247448161873030e-4	4.303613286424013e0
9.638341752142487e-2	-4.460370926301777e1	9.479760481016907e-4	4.303541667266272e0
1.045069712053722e-1	-4.113298201308238e1	1.087549359535403e-3	4.303459425974141e0
1.133152082731734e-1	-3.793210741211902e1	1.245102775870837e-3	4.303365174169502e0
1.228658363924780e-1	-3.498011288394788e1	1.422299727179717e-3	4.303257389649051e0
1.332214270482618e-1	-3.225765613719595e1	1.620786212973716e-3	4.303134415980177e0
1.444498254834808e-1	-2.974689841065550e1	1.842134962522833e-3	4.302994466076879e0
1.566245951910504e-1	-2.743138756662397e1	2.087774836867430e-3	4.302835630880161e0
1.698254998692663e-1	-2.529595026651180e1	2.358903996109485e-3	4.302655894399540e0
1.841390259982242e-1	-2.332659252264401e1	2.656385884945670e-3	4.302453156472206e0
1.996589494609281e-1	-2.151040797522443e1	2.980627946621785e-3	4.302225264640931e0
2.164869499213374e-1	-1.983549329423875e1	3.331444240067928e-3	4.301970056510838e0
2.347332769844868e-1	-1.829087015297841e1	3.707904881100149e-3	4.301685413782926e0
2.545174725030622e-1	-1.686641326317410e1	4.108177511059969e-3	4.301369328837316e0
2.759691537626690e-1	-1.555278400171349e1	4.529368830399622e-3	4.301019984207039e0
2.992288626768733e-1	-1.434136919583380e1	4.967377569508404e-3	4.300635844500931e0
3.244489865555658e-1	-1.322422466775135e1	5.416773954432290e-3	4.300215759266441e0
3.517947564791168e-1	-1.219402317111800e1	5.870724475522427e-3	4.299759073912059e0
3.814453298192250e-1	-1.124400638065611e1	6.320984126698255e-3	4.299265744146644e0
4.135949639986590e-1	-1.036794062297306e1	6.757980601650516e-3	4.298736447495711e0
