energy	count	normalized
5.625621821120166e-5	1	6.711409395973154e-3
5.906044518873925e-5	2	1.342281879194631e-2
6.014101374692429e-5	3	2.013422818791946e-2
6.213534008808865e-5	4	2.684563758389262e-2
6.515042803769906e-5	5	3.355704697986577e-2
6.683220208864256e-5	6	4.026845637583892e-2
6.699936313365737e-5	7	4.697986577181208e-2
7.008845303364864e-5	8	5.369127516778523e-2
7.166801535449965e-5	9	6.040268456375839e-2
7.362750853601326e-5	10	6.711409395973154e-2
7.468890620614926e-5	11	7.382550335570470e-2
7.580075669409342e-5	12	8.053691275167785e-2
7.777693634185839e-5	13	8.724832214765101e-2
7.937478269912272e-5	14	9.395973154362416e-2
8.429570472784771e-5	15	1.006711409395973e-1
8.705272479021341e-5	16	1.073825503355705e-1
8.809896554299107e-5	17	1.140939597315436e-1
9.210077839308256e-5	18	1.208053691275168e-1
9.521208243600775e-5	19	1.275167785234899e-1
9.630089400100351e-5	20	1.342281879194631e-1
1.000427016681473e-4	21	1.409395973154362e-1
1.037204265734093e-4	22	1.476510067114094e-1
1.053629218092718e-4	23	1.543624161073825e-1
1.078392372216220e-4	24	1.610738255033557e-1
1.085987338884029e-4	25	1.677852348993289e-1
1.133526438135252e-4	26	1.744966442953020e-1
1.159477245003086e-4	27	1.812080536912752e-1
1.208261522011609e-4	28	1.879194630872483e-1
1.224660652539240e-4	29	1.946308724832215e-1
1.277391585076663e-4	30	2.013422818791946e-1
1.299317637515912e-4	31	2.080536912751678e-1
1.318052034180332e-4	32	2.147651006711409e-1
1.369000350386677e-4	33	2.214765100671141e-1
1.412047197491625e-4	34	2.281879194630873e-1
1.430131140679046e-4	35	2.348993288590604e-1
1.466474765980650e-4	36	2.416107382550336e-1
1.472398999314794e-4	37	2.483221476510067e-1
1.558907651892093e-4	38	2.550335570469799e-1
1.574406016425437e-4	39	2.617449664429530e-1
1.630991881136322e-4	40	2.684563758389262e-1
1.677761347278247e-4	41	2.751677852348993e-1
1.723632793892488e-4	42	2.818791946308725e-1
1.744377857457280e-4	43	2.885906040268457e-1
1.832170453802612e-4	44	2.953020134228188e-1
1.871592839867271e-4	45	3.020134228187920e-1
1.912039468426594e-4	46	3.087248322147651e-1
1.921718284402206e-4	47	3.154362416107382e-1
1.992181134115506e-4	48	3.221476510067114e-1
2.034256143977372e-4	49	3.288590604026846e-1
2.171620204128267e-4	50	3.355704697986577e-1
2.221750324925857e-4	51	3.422818791946309e-1
2.258631421026514e-4	52	3.489932885906040e-1
2.345943332863052e-4	53	3.557046979865772e-1
2.433272264569542e-4	54	3.624161073825503e-1
2.551926379126135e-4	55	3.691275167785235e-1
2.662305118609634e-4	56	3.758389261744967e-1
