energy	density
-2.112938733553274e-1	5.356346160673848e-1
-1.983959830548582e-1	5.393661170099758e-1
-1.854980927543889e-1	5.429165481867912e-1
-1.726002024539197e-1	5.462820202196997e-1
-1.597023121534505e-1	5.494588324185760e-1
-1.468044218529813e-1	5.524434796579413e-1
-1.339065315525121e-1	5.552326589221658e-1
-1.210086412520429e-1	5.578232755023210e-1
-1.081107509515737e-1	5.602124488286200e-1
-9.521286065110446e-2	5.623975179232646e-1
-8.231497035063523e-2	5.643760464594680e-1
-6.941708005016603e-2	5.661458274133987e-1
-5.651918974969683e-2	5.677048872968363e-1
-4.362129944922760e-2	5.690514899593948e-1
-3.072340914875837e-2	5.701841399502856e-1
-1.782551884828917e-2	5.711015854307352e-1
-4.927628547819973e-3	5.718028206293466e-1
7.970261752649255e-3	5.722870878338976e-1
2.086815205311846e-2	5.725538789142889e-1
3.376604235358768e-2	5.726029363725977e-1
4.666393265405691e-2	5.724342539174458e-1
5.956182295452608e-2	5.720480765611521e-1
7.245971325499531e-2	5.714449002394095e-1
8.535760355546454e-2	5.706254709544984e-1
9.825549385593371e-2	5.695907834443033e-1
1.111533841564029e-1	5.683420793806652e-1
1.240512744568722e-1	5.668808451018424e-1
1.369491647573414e-1	5.652088088850776e-1
1.498470550578106e-1	5.633279377664783e-1
1.627449453582799e-1	5.612404339165964e-1
1.756428356587490e-1	5.589487305812473e-1
1.885407259592183e-1	5.564554875982233e-1
2.014386162596874e-1	5.537635865016444e-1
2.143365065601567e-1	5.508761252267286e-1
2.272343968606259e-1	5.477964124287601e-1
2.401322871610951e-1	5.445279614309966e-1
2.530301774615643e-1	5.410744838171411e-1
2.659280677620335e-1	5.374398826848733e-1
2.788259580625028e-1	5.336282455777158e-1
2.917238483629720e-1	5.296438371132539e-1
3.046217386634412e-1	5.254910913264021e-1
3.175196289639104e-1	5.211746037470285e-1
3.304175192643796e-1	5.166991232318016e-1
3.433154095648489e-1	5.120695435706057e-1
3.562132998653180e-1	5.072908948883024e-1
3.691111901657872e-1	5.023683348629627e-1
3.820090804662565e-1	4.973071397819885e-1
3.949069707667257e-1	4.921126954577607e-1
4.078048610671948e-1	4.867904880246043e-1
4.207027513676641e-1	4.813460946389445e-1
4.336006416681333e-1	4.757851741045535e-1
4.464985319686026e-1	4.701134574447289e-1
4.593964222690717e-1	4.643367384431444e-1
4.722943125695409e-1	4.584608641749224e-1
4.851922028700102e-1	4.524917255492498e-1
4.980900931704794e-1	4.464352478845503e-1
5.109879834709486e-1	4.402973815368640e-1
5.238858737714178e-1	4.340840926016760e-1
5.367837640718871e-1	4.278013537089486e-1
5.496816543723562e-1	4.214551349306010e-1
5.625795446728254e-1	4.150513948190871e-1
5.754774349732946e-1	4.085960715951162e-1
5.883753252737639e-1	4.020950745018775e-1
6.012732155742331e-1	3.955542753424305e-1
6.141711058747023e-1	3.889795002161687e-1
6.270689961751715e-1	3.823765214694818e-1
6.399668864756407e-1	3.757510498749301e-1
6.528647767761100e-1	3.691087270523953e-1
6.657626670765792e-1	3.624551181448044e-1
6.786605573770484e-1	3.557957047601344e-1
6.915584476775175e-1	3.491358781904945e-1
7.044563379779868e-1	3.424809329181555e-1
7.173542282784560e-1	3.358360604174685e-1
7.302521185789252e-1	3.292063432606600e-1
7.431500088793944e-1	3.225967495345536e-1
7.560478991798636e-1	3.160121275743101e-1
7.689457894803329e-1	3.094572010193368e-1
7.818436797808020e-1	3.029365641955711e-1
7.947415700812714e-1	2.964546778274093e-1
8.076394603817405e-1	2.900158650816319e-1
8.205373506822098e-1	2.836243079447656e-1
8.334352409826788e-1	2.772840439344333e-1
8.463331312831481e-1	2.709989631443687e-1
8.592310215836172e-1	2.647728056219256e-1
8.721289118840865e-1	2.586091590760861e-1
8.850268021845558e-1	2.525114569131726e-1
8.979246924850250e-1	2.464829765967010e-1
9.108225827854943e-1	2.405268383270720e-1
9.237204730859634e-1	2.346460040360921e-1
9.366183633864327e-1	2.288432766906424e-1
9.495162536869017e-1	2.231212998991800e-1
9.624141439873710e-1	2.174825578141469e-1
9.753120342878403e-1	2.119293753228128e-1
9.882099245883096e-1	2.064639185185371e-1
1.001107814888779e0	2.010881954439642e-1
1.014005705189248e0	1.958040570972096e-1
1.026903595489717e0	1.906131986916969e-1
