N	mean_spacing	wigner_fit	poisson_fit	statistics
20	1.187073219421961e-1	2.688008361106239e-1	4.903330568396750e-1	Poisson-like
30	8.824798234158071e-2	3.446281523084497e-1	5.618378481248177e-1	Poisson-like
50	5.977020016751668e-2	4.505186822868216e-1	6.198256408092193e-1	Poisson-like
