N	A	E0	B	R2	van_hove
30	3.864342838248828e-2	1.224944705680799e-3	4.317358206268562e-1	8.403165008986441e-1	false
50	3.819801666799014e-2	4.302109911942503e-4	4.407363392895113e-1	7.082938198134276e-1	false
75	4.217878077172144e-2	2.023330842541893e-4	5.034634713259974e-1	7.776353186036342e-1	false
100	4.605781287676331e-2	1.191613609249715e-4	5.623533833818177e-1	7.778559122243922e-1	false
150	4.943240035140786e-2	5.569365602908964e-5	6.301038027492498e-1	8.052182532130505e-1	false
200	5.097816047126189e-2	3.135308692206892e-5	6.683796744390496e-1	7.870834765182595e-1	false
