beta	free_energy	specific_heat	entropy
1.000000000000001e-2	-4.594656535315089e2	1.128615690144222e-5	4.595114146067398e0
1.083356405450367e-2	-4.241095918745560e2	1.321065846216913e-5	4.595113167414155e0
1.173661101230340e-2	-3.914739298405653e2	1.545986845531736e-5	4.595112022011805e0
1.271493271845820e-2	-3.613493530437815e2	1.808764322589328e-5	4.595110681760761e0
1.377480380541213e-2	-3.335426523661350e2	2.115652172436809e-5	4.595109113910210e0
1.492302193641532e-2	-3.078754847770648e2	2.473905789269504e-5	4.595107280310788e0
1.616695140349186e-2	-2.841832294994118e2	2.891933919777067e-5	4.595105136553259e0
1.751457035957771e-2	-2.623139321851814e2	3.379471223485735e-5	4.595102630977463e0
1.897452198775964e-2	-2.421273303294559e2	3.947773717884333e-5	4.595099703534106e0
2.055616993579823e-2	-2.234939536717510e2	4.609839322466649e-5	4.595096284480154e0
2.226965837147326e-2	-2.062942938150680e2	5.380655681041984e-5	4.595092292886886e0
2.412597704392693e-2	-1.904180377368170e2	6.277477307745483e-5	4.595087634937897e0
2.613703176828674e-2	-1.757633602755708e2	7.320133833806120e-5	4.595082201992904e0
2.831572078563316e-2	-1.622362710558513e2	8.531370685349997e-5	4.595075868391800e0
3.067601748805978e-2	-1.497500116622957e2	9.937222843321396e-5	4.595068488972747e0
3.323306003939703e-2	-1.382244991968248e2	1.156742135952618e-4	4.595059896277839e0
3.600324846639738e-2	-1.275858126499154e2	1.345583094963028e-4	4.595049897420679e0
3.900434984309269e-2	-1.177657187916672e2	1.564091516277286e-4	4.595038270592267e0
4.225561224294146e-2	-1.087012345418152e2	1.816622323231859e-4	4.595024761185286e0
4.577788818961756e-2	-1.003342230117914e2	2.108088962379795e-4	4.595009077522783e0
4.959376839821287e-2	-9.261102062789833e1	2.444013338364742e-4	4.594990886185970e0
5.372772666462588e-2	-8.548209294398822e1	2.830573951851423e-4	4.594969806948058e0
5.820627683240890e-2	-7.890171693604034e1	3.274649866296097e-4	4.594945407337545e0
6.305814284380748e-2	-7.282768774086939e1	3.783857409943826e-4	4.594917196876266e0
6.831444296564300e-2	-6.722104795796621e1	4.366575668488139e-4	4.594884621065502e0
7.400888937160310e-2	-6.204583777818060e1	5.031955837531180e-4	4.594847055228958e0
8.017800436099377e-2	-5.726886433653170e1	5.789908387549235e-4	4.594803798365249e0
8.686135460071003e-2	-5.285948880972779e1	6.651060766269773e-4	4.594754067215811e0
9.410180489277488e-2	-4.878942989279423e1	7.626677062365178e-4	4.594696990817573e0
1.019457930950283e-1	-4.503258239426901e1	8.728529744936004e-4	4.594631605883674e0
1.104436279582167e-1	-4.156484978641067e1	9.968712375325421e-4	4.594556853439596e0
1.196498117897112e-1	-3.836398963639601e1	1.135938120611541e-3	4.594471577235174e0
1.296233900133145e-1	-3.540947092713895e1	1.291241303636284e-3	4.594374524552232e0
1.404283298671153e-1	-3.268234235267353e1	1.463896684626756e-3	4.594264350128678e0
1.521339306682364e-1	-3.016511074350040e1	1.654893792384873e-3	4.594139624015845e0
1.648152682757759e-1	-2.784162884235641e1	1.865029582904485e-3	4.593998844266810e0
1.785536766025823e-1	-2.569699171094521e1	2.094830209033946e-3	4.593840455405966e0
1.934372692641208e-1	-2.371744110365316e1	2.344461051190155e-3	4.593662873636786e0
2.095615047101126e-1	-2.189027719552457e1	2.613626290142576e-3	4.593464519684114e0
2.270297984635178e-1	-2.020377709910963e1	2.901460635478254e-3	4.593243860013717e0
2.459541863935577e-1	-1.864711964853001e1	3.206417521905949e-3	4.592999456897122e0
2.664560432767942e-1	-1.721031596950301e1	3.526160144018543e-3	4.592730027364325e0
2.886668612548749e-1	-1.588414539137823e1	3.857464060920043e-3	4.592434510484167e0
3.127290931817211e-1	-1.466009629169367e1	4.196142633809944e-3	4.592112141612133e0
3.387970662691021e-1	-1.353031149555818e1	4.537009033393612e-3	4.591762531243292e0
3.670379718904241e-1	-1.248753788149270e1	4.873890622948245e-3	4.591385744921204e0
3.976329378910027e-1	-1.152507987237836e1	5.199712710627613e-3	4.590982379332875e0
4.307781902822655e-1	-1.063675651500759e1	5.506668372350647e-3	4.590553628358926e0
4.666863117706089e-1	-9.816861874544468e0	5.786488590217327e-3	4.590101331592443e0
5.055876051926960e-1	-9.060128491091062e0	6.030821640402344e-3	4.589627996890895e0
5.477315706018184e-1	-8.361693664639574e0	6.231721933492216e-3	4.589136788135626e0
5.933885054788695e-1	-7.717068352078308e0	6.382236105300939e-3	4.588631469829292e0
6.428512383311534e-1	-7.122108475734196e0	6.477058365741943e-3	4.588116301750687e0
6.964370067977556e-1	-6.572988457310082e0	6.513209012015721e-3	4.587595879842294e0
7.544894923070286e-1	-6.066176804166419e0	6.490671659454464e-3	4.587074923938537e0
8.173810243358141e-1	-5.598413586884446e0	6.412909249370584e-3	4.586558018754324e0
8.855149684077865e-1	-5.166689658131896e0	6.287170250132937e-3	4.586049321360144e0
9.593283131467549e-1	-4.768227473250148e0	6.124499042921712e-3	4.585552255448232e0
1.039294472977432e0	-4.400463382911009e0	5.939382125037264e-3	4.585069218984788e0
1.125926324449264e0	-4.061031277849272e0	5.748996562690134e-3	4.584601336039575e0
1.219779495657298e0	-3.747747475213353e0	5.572078041171736e-3	4.584148284329035e0
1.321455929857351e0	-3.458596745565771e0	5.427487590684102e-3	4.583708226193536e0
1.431607746131331e0	-3.191719388986051e0	5.332618694993438e-3	4.583277861854838e0
1.550941421863740e0	-2.945399277951684e0	5.301836462294365e-3	4.582852610319768e0
1.680222323854383e0	-2.718052793473062e0	5.345163286466698e-3	4.582426906812226e0
1.820279617128345e0	-2.508218589048119e0	5.467409470925839e-3	4.581994588803469e0
1.972011582926734e0	-2.314548124087509e0	5.667888873037629e-3	4.581549328885310e0
2.136391379985993e0	-2.135796914309184e0	5.940766272330706e-3	4.581085065072463e0
2.314473286056774e0	-1.970816451107137e0	6.275974168759931e-3	4.580596379725104e0
2.507399459693364e0	-1.818546745127593e0	6.660539262918624e-3	4.580078787344874e0
2.716407265681598e0	-1.678009451473591e0	7.080099939552448e-3	4.579528906978171e0
2.942837211088073e0	-1.548301535471446e0	7.520392540418874e-3	4.578944513001644e0
3.188141542829955e0	-1.428589439181483e0	7.968535219436405e-3	4.578324474133053e0
3.453893561907247e0	-1.318103710183678e0	8.414023932361212e-3	4.577668600918560e0
3.741797714035997e0	-1.216134055848992e0	8.849443811006505e-3	4.576977425144404e0
4.053700521400438e0	-1.122024788387008e0	9.270959695789881e-3	4.576251931668208e0
4.391602425636653e0	-1.035170628359010e0	9.678664270692658e-3	4.575493257148346e0
4.757670618004833e0	-9.550128368931442e-1	1.007683323144637e-2	4.574702364787266e0
5.154252939038546e0	-8.810356493524342e-1	1.047408331468578e-2	4.573879702314415e0
5.583892936818785e0	-8.127629855522357e-1	1.088337680784886e-2	4.573024852951156e0
6.049346180451692e0	-7.497554137428218e-1	1.132178703366558e-2	4.572136194984818e0
6.553597933379046e0	-6.916073474760129e-1	1.180994390923943e-2	4.571210592475262e0
7.099882299872477e0	-6.379444562143379e-1	1.237111614687997e-2	4.570243144791319e0
7.691702967510524e0	-5.884212721784216e-1	1.302994810800199e-2	4.569227023811935e0
8.332855678674116e0	-5.427189775083122e-1	1.381094171985490e-2	4.568153423311416e0
9.027452575185077e0	-5.005433573551804e-1	1.473684230882122e-2	4.567011634991217e0
9.779948572226155e0	-4.616229060099260e-1	1.582713606751049e-2	4.565789250764122e0
1.059516993069638e1	-4.257070745806798e-1	1.709688160427275e-2	4.564472473406642e0
1.147834521125503e1	-3.925646500050993e-1	1.855606853060251e-2	4.563046500753389e0
1.243513880858368e1	-3.619822562782449e-1	2.020962098378727e-2	4.561495935878727e0
1.347168728094357e1	-3.337629696578816e-1	2.205805397273509e-2	4.559805170504593e0
1.459463870803444e1	-3.077250402645034e-1	2.409866789202360e-2	4.557958693157909e0
1.581119532958299e1	-2.837007129411688e-1	2.632706088547274e-2	4.555941287223942e0
