N	dim	lambda_min	lambda_max	condition_number	time_s
10	9	9.059750748242196e-3	1.564243114152695e0	1.726585154074128e2	0.069
20	19	2.605984828096468e-3	2.144237962145053e0	8.228129108914665e2	0.355
30	29	1.213694242314913e-3	2.475091284988994e0	2.039303803788492e3	0.667
50	49	3.627208189272896e-4	2.875056929452497e0	7.926363140542056e3	2.295
75	74	1.015207765327481e-4	3.176617511025788e0	3.129031927766125e4	5.581
