energy	count	normalized
1.015207765327481e-4	1	1.351351351351351e-2
1.126158334609543e-4	2	2.702702702702703e-2
1.375705785283179e-4	3	4.054054054054054e-2
1.519184026437557e-4	4	5.405405405405406e-2
1.645108270999440e-4	5	6.756756756756757e-2
1.764064990850072e-4	6	8.108108108108109e-2
1.910095211584960e-4	7	9.459459459459460e-2
2.014406130069247e-4	8	1.081081081081081e-1
2.128598704743271e-4	9	1.216216216216216e-1
2.309900646714433e-4	10	1.351351351351351e-1
2.390403027178566e-4	11	1.486486486486487e-1
2.547914174234245e-4	12	1.621621621621622e-1
2.920261814867543e-4	13	1.756756756756757e-1
3.250849628936977e-4	14	1.891891891891892e-1
3.443481459522910e-4	15	2.027027027027027e-1
3.686957672153530e-4	16	2.162162162162162e-1
3.783028442619429e-4	17	2.297297297297297e-1
4.340389777657681e-4	18	2.432432432432433e-1
4.551130349150339e-4	19	2.567567567567567e-1
5.031752673371350e-4	20	2.702702702702703e-1
5.495782759472891e-4	21	2.837837837837838e-1
6.005301791763135e-4	22	2.972972972972973e-1
6.637230003743034e-4	23	3.108108108108108e-1
6.901211035349325e-4	24	3.243243243243243e-1
7.425809615818341e-4	25	3.378378378378378e-1
8.113970692550673e-4	26	3.513513513513514e-1
9.133058846963266e-4	27	3.648648648648649e-1
9.753567888079878e-4	28	3.783783783783784e-1
1.006604697334219e-3	29	3.918918918918919e-1
1.071798707387116e-3	30	4.054054054054054e-1
1.089254562082817e-3	31	4.189189189189189e-1
1.192122626325868e-3	32	4.324324324324325e-1
1.224293292172673e-3	33	4.459459459459459e-1
1.367751480103307e-3	34	4.594594594594595e-1
1.432230356314129e-3	35	4.729729729729730e-1
1.612096089574555e-3	36	4.864864864864865e-1
1.653797497624859e-3	37	5.000000000000000e-1
1.743840559158499e-3	38	5.135135135135135e-1
2.011272964337213e-3	39	5.270270270270270e-1
2.174776431748457e-3	40	5.405405405405406e-1
2.290848181315966e-3	41	5.540540540540541e-1
2.342048666231574e-3	42	5.675675675675675e-1
2.543604859064583e-3	43	5.810810810810810e-1
2.827447338688673e-3	44	5.945945945945946e-1
2.900599560566369e-3	45	6.081081081081081e-1
3.068969023447728e-3	46	6.216216216216216e-1
3.175559781593095e-3	47	6.351351351351351e-1
3.495760170929032e-3	48	6.486486486486487e-1
3.754339207935206e-3	49	6.621621621621622e-1
4.304602117691973e-3	50	6.756756756756757e-1
4.908140232210501e-3	51	6.891891891891891e-1
5.279980496610117e-3	52	7.027027027027027e-1
6.037878978377655e-3	53	7.162162162162162e-1
7.375232322621246e-3	54	7.297297297297297e-1
8.197119059222694e-3	55	7.432432432432432e-1
9.041091441729498e-3	56	7.567567567567568e-1
1.083087579078397e-2	57	7.702702702702703e-1
1.207511446453547e-2	58	7.837837837837838e-1
1.523676838351862e-2	59	7.972972972972973e-1
1.596806958540069e-2	60	8.108108108108109e-1
2.016685449086282e-2	61	8.243243243243243e-1
2.271811336239124e-2	62	8.378378378378378e-1
2.391273831918454e-2	63	8.513513513513513e-1
2.404158790181414e-2	64	8.648648648648649e-1
2.628151387204460e-2	65	8.783783783783784e-1
2.710039784922433e-2	66	8.918918918918919e-1
2.925432756668066e-2	67	9.054054054054054e-1
3.539773557719712e-2	68	9.189189189189190e-1
3.653726139006863e-2	69	9.324324324324325e-1
4.975240411416739e-2	70	9.459459459459459e-1
6.798096134564312e-2	71	9.594594594594594e-1
1.192539436143172e-1	72	9.729729729729730e-1
4.735565770571084e-1	73	9.864864864864865e-1
3.176617511025788e0	74	1.000000000000000e0
