energy	density
-2.458793675501686e-1	5.474063100836651e-1
-2.309778588807398e-1	5.525873442740860e-1
-2.160763502113110e-1	5.575191161537899e-1
-2.011748415418821e-1	5.621941168177064e-1
-1.862733328724533e-1	5.666051867149322e-1
-1.713718242030245e-1	5.707455339437414e-1
-1.564703155335957e-1	5.746087517076680e-1
-1.415688068641668e-1	5.781888348700479e-1
-1.266672981947380e-1	5.814801955473163e-1
-1.117657895253092e-1	5.844776776845703e-1
-9.686428085588039e-2	5.871765705603609e-1
-8.196277218645157e-2	5.895726211714047e-1
-6.706126351702271e-2	5.916620454518364e-1
-5.215975484759389e-2	5.934415382857930e-1
-3.725824617816506e-2	5.949082822764769e-1
-2.235673750873626e-2	5.960599552393621e-1
-7.455228839307437e-3	5.968947363919090e-1
7.446279830121388e-3	5.974113112169495e-1
2.234778849955019e-2	5.976088749818437e-1
3.724929716897904e-2	5.974871349005078e-1
5.215080583840784e-2	5.970463109304867e-1
6.705231450783669e-2	5.962871352023495e-1
8.195382317726549e-2	5.952108500838070e-1
9.685533184669434e-2	5.938192048860546e-1
1.117568405161232e-1	5.921144512249147e-1
1.266583491855520e-1	5.900993370543552e-1
1.415598578549808e-1	5.877770993948915e-1
1.564613665244096e-1	5.851514557841854e-1
1.713628751938385e-1	5.822265944818371e-1
1.862643838632672e-1	5.790071634648952e-1
2.011658925326961e-1	5.754982582549640e-1
2.160674012021249e-1	5.717054086219389e-1
2.309689098715537e-1	5.676345642133458e-1
2.458704185409826e-1	5.632920791619767e-1
2.607719272104114e-1	5.586846957279671e-1
2.756734358798403e-1	5.538195270346652e-1
2.905749445492690e-1	5.487040389605623e-1
3.054764532186979e-1	5.433460312521907e-1
3.203779618881267e-1	5.377536179252210e-1
3.352794705575556e-1	5.319352070230260e-1
3.501809792269843e-1	5.258994798036795e-1
3.650824878964132e-1	5.196553694277599e-1
3.799839965658420e-1	5.132120392203839e-1
3.948855052352709e-1	5.065788605816510e-1
4.097870139046996e-1	4.997653906200838e-1
4.246885225741285e-1	4.927813495837578e-1
4.395900312435573e-1	4.856365981635770e-1
4.544915399129862e-1	4.783411147426177e-1
4.693930485824150e-1	4.709049726646195e-1
4.842945572518438e-1	4.633383175935460e-1
4.991960659212726e-1	4.556513450347163e-1
5.140975745907015e-1	4.478542780862781e-1
5.289990832601303e-1	4.399573454878289e-1
5.439005919295591e-1	4.319707600307487e-1
5.588021005989879e-1	4.239046973923460e-1
5.737036092684168e-1	4.157692754532235e-1
5.886051179378456e-1	4.075745341543818e-1
6.035066266072745e-1	3.993304159474878e-1
6.184081352767031e-1	3.910467468884965e-1
6.333096439461320e-1	3.827332184214036e-1
6.482111526155608e-1	3.743993698953830e-1
6.631126612849898e-1	3.660545718549153e-1
6.780141699544184e-1	3.577080101387859e-1
6.929156786238473e-1	3.493686708200183e-1
7.078171872932761e-1	3.410453260149613e-1
7.227186959627050e-1	3.327465205858480e-1
7.376202046321338e-1	3.244805597572523e-1
7.525217133015626e-1	3.162554976629653e-1
7.674232219709914e-1	3.080791268359467e-1
7.823247306404203e-1	2.999589686501781e-1
7.972262393098491e-1	2.919022647194700e-1
8.121277479792778e-1	2.839159692545915e-1
8.270292566487066e-1	2.760067423764775e-1
8.419307653181355e-1	2.681809443797953e-1
8.568322739875643e-1	2.604446309377528e-1
8.717337826569932e-1	2.528035492358187e-1
8.866352913264220e-1	2.452631350189105e-1
9.015367999958509e-1	2.378285105336823e-1
9.164383086652798e-1	2.305044833447666e-1
9.313398173347086e-1	2.232955460012265e-1
9.462413260041372e-1	2.162058765270654e-1
9.611428346735661e-1	2.092393397074035e-1
9.760443433429949e-1	2.023994891399062e-1
9.909458520124238e-1	1.956895700191966e-1
1.005847360681853e0	1.891125226203595e-1
1.020748869351281e0	1.826709864461881e-1
1.035650378020710e0	1.763673050015980e-1
1.050551886690139e0	1.702035311575850e-1
1.065453395359568e0	1.641814330662658e-1
1.080354904028997e0	1.583025005878950e-1
1.095256412698425e0	1.525679521902908e-1
1.110157921367854e0	1.469787422808468e-1
1.125059430037283e0	1.415355689312069e-1
1.139960938706712e0	1.362388819547844e-1
1.154862447376141e0	1.310888912975530e-1
1.169763956045570e0	1.260855757029659e-1
1.184665464714999e0	1.212286916124279e-1
1.199566973384427e0	1.165177822634599e-1
1.214468482053856e0	1.119521869485553e-1
1.229369990723285e0	1.075310503986979e-1
1.244271499392714e0	1.032533322566084e-1
1.259173008062143e0	9.911781660598817e-2
1.274074516731571e0	9.512312152432355e-2
1.288976025401000e0	9.126770862819504e-2
1.303877534070429e0	8.754989258149594e-2
1.318779042739858e0	8.396785053848357e-2
1.333680551409287e0	8.051963149516697e-2
1.348582060078716e0	7.720316552415374e-2
1.363483568748144e0	7.401627286973797e-2
1.378385077417573e0	7.095667288169089e-2
1.393286586087002e0	6.802199276791493e-2
1.408188094756431e0	6.520977614782601e-2
1.423089603425860e0	6.251749139002953e-2
1.437991112095289e0	5.994253971955002e-2
1.452892620764717e0	5.748226308154503e-2
1.467794129434146e0	5.513395175008379e-2
1.482695638103575e0	5.289485167218434e-2
1.497597146773004e0	5.076217153888025e-2
1.512498655442432e0	4.873308957661649e-2
1.527400164111861e0	4.680476005375523e-2
1.542301672781290e0	4.497431949839541e-2
1.557203181450719e0	4.323889262507412e-2
1.572104690120148e0	4.159559796921738e-2
1.587006198789577e0	4.004155322944069e-2
1.601907707459005e0	3.857388031896128e-2
1.616809216128434e0	3.718971012847460e-2
1.631710724797863e0	3.588618700386246e-2
1.646612233467292e0	3.466047294303953e-2
1.661513742136721e0	3.350975151710883e-2
1.676415250806150e0	3.243123152178279e-2
1.691316759475578e0	3.142215036573553e-2
1.706218268145007e0	3.047977720318572e-2
1.721119776814436e0	2.960141581856631e-2
1.736021285483865e0	2.878440727162066e-2
1.750922794153294e0	2.802613231167569e-2
1.765824302822723e0	2.732401357018161e-2
1.780725811492151e0	2.667551754087943e-2
1.795627320161580e0	2.607815635716229e-2
1.810528828831009e0	2.552948937633819e-2
1.825430337500438e0	2.502712458058284e-2
1.840331846169867e0	2.456871980439506e-2
1.855233354839296e0	2.415198379833684e-2
1.870134863508724e0	2.377467713875878e-2
1.885036372178153e0	2.343461299308392e-2
1.899937880847582e0	2.312965775005065e-2
1.914839389517011e0	2.285773152410367e-2
1.929740898186439e0	2.261680854287453e-2
1.944642406855868e0	2.240491742641194e-2
1.959543915525297e0	2.222014136651356e-2
1.974445424194726e0	2.206061821417585e-2
1.989346932864155e0	2.192454048282305e-2
2.004248441533584e0	2.181015527460210e-2
2.019149950203013e0	2.171576413664187e-2
2.034051458872442e0	2.163972285377541e-2
2.048952967541871e0	2.158044118381651e-2
2.063854476211299e0	2.153638254106915e-2
2.078755984880728e0	2.150606363333478e-2
2.093657493550157e0	2.148805405726866e-2
2.108559002219586e0	2.148097585652765e-2
2.123460510889015e0	2.148350304674814e-2
2.138362019558443e0	2.149436111099845e-2
2.153263528227872e0	2.151232646896579e-2
2.168165036897301e0	2.153622592276679e-2
2.183066545566730e0	2.156493608191344e-2
2.197968054236159e0	2.159738276962560e-2
2.212869562905587e0	2.163254041235759e-2
2.227771071575016e0	2.166943141410202e-2
2.242672580244445e0	2.170712551674828e-2
2.257574088913874e0	2.174473914750917e-2
2.272475597583303e0	2.178143475418549e-2
2.287377106252732e0	2.181642012881674e-2
2.302278614922161e0	2.184894772006665e-2
2.317180123591589e0	2.187831393451465e-2
2.332081632261018e0	2.190385842686916e-2
2.346983140930447e0	2.192496337898537e-2
2.361884649599876e0	2.194105276745861e-2
