gcd_class	dim	lambda_min	lambda_max	trace	frobenius_norm	condition
1	199	3.167632377877480e-5	3.838552099850539e0	5.509629999262628e0	3.919833013413118e0	1.211805e5
2	100	5.983009458116911e-5	1.981763597484947e0	2.861030248833393e0	2.031741905818209e0	3.312319e4
3	66	9.134885115053961e-5	1.292307982162297e0	1.825218366140281e0	1.322647025461158e0	1.414695e4
4	50	1.083628209137699e-4	9.490537623710045e-1	1.316428082274349e0	9.695227159206082e-1	8.758112e3
5	40	1.394966375134315e-4	7.426074594674343e-1	1.013961161396648e0	7.572846224062515e-1	5.323479e3
6	33	1.610944413535000e-4	6.048330704842696e-1	8.142326941218238e-1	6.157963092076240e-1	3.754525e3
7	28	2.004330838961765e-4	5.072227126155461e-1	6.744181775569154e-1	5.157031245923900e-1	2.530634e3
8	25	1.927686327995230e-4	4.371972721156532e-1	5.762436004929474e-1	4.440923748340658e-1	2.267990e3
9	22	2.417243175207880e-4	3.810069328532378e-1	4.972320274469614e-1	3.866082677542302e-1	1.576204e3
10	20	2.603929648917114e-4	3.378425373110651e-1	4.375978965672753e-1	3.425468132575229e-1	1.297433e3
11	18	3.005829617715995e-4	3.016010398818986e-1	3.874212217102604e-1	3.055461607972472e-1	1.003387e3
12	16	3.329020047450955e-4	2.704414033754348e-1	3.441618951424253e-1	2.737314244542075e-1	8.123754e2
13	15	3.173189547865177e-4	2.467854538678503e-1	3.124396268383359e-1	2.496673450782037e-1	7.777205e2
14	14	3.728644757771585e-4	2.261709502852651e-1	2.847618990924738e-1	2.286959627006289e-1	6.065768e2
15	13	3.474118976849443e-4	2.079821649051799e-1	2.602934226927185e-1	2.101925064609133e-1	5.986616e2
16	12	4.371629101311122e-4	1.917532154836960e-1	2.383911206123626e-1	1.936856600504598e-1	4.386310e2
17	11	4.325360160846244e-4	1.769921496941881e-1	2.185494695470427e-1	1.786691275638184e-1	4.091963e2
18	11	4.106880986064754e-4	1.674121878096727e-1	2.066994955238413e-1	1.689980654411030e-1	4.076383e2
19	10	4.820712359388775e-4	1.551596159881780e-1	1.900470933033219e-1	1.565351801774873e-1	3.218603e2
20	10	4.607691891413962e-4	1.475874203721535e-1	1.807561462170300e-1	1.488955275597591e-1	3.203066e2
21	9	4.959762493071647e-4	1.369785803065605e-1	1.663355175720330e-1	1.381018361782904e-1	2.761797e2
22	9	4.735621604764720e-4	1.308907047505778e-1	1.589327893323469e-1	1.319635343706353e-1	2.763960e2
23	8	6.172372565385655e-4	1.214868876579363e-1	1.460809872151882e-1	1.223986830018081e-1	1.968236e2
24	8	5.924419292822221e-4	1.165281862316474e-1	1.401101930490703e-1	1.174025244243287e-1	1.966913e2
25	8	5.699918198423636e-4	1.119655815130328e-1	1.346162032915028e-1	1.128053279286194e-1	1.964337e2
26	7	6.569440978704711e-4	1.038262320886498e-1	1.234861019492124e-1	1.045269234169521e-1	1.580442e2
27	7	6.298947210430074e-4	1.000535764668846e-1	1.189868035355967e-1	1.007285177080558e-1	1.588417e2
28	7	6.095796602629680e-4	9.654559403626455e-2	1.148138258500457e-1	9.719672771866809e-2	1.583806e2
29	6	7.715907657425064e-4	8.926771955864812e-2	1.047312410068313e-1	8.980305338071547e-2	1.156931e2
30	6	7.473707831540711e-4	8.634420527684201e-2	1.012976284611204e-1	8.686185907604102e-2	1.155306e2
31	6	7.233525624779803e-4	8.360749282132741e-2	9.808158394261852e-2	8.410860426483679e-2	1.155833e2
32	6	6.993309710143618e-4	8.103634448178673e-2	9.505885708718564e-2	8.152182980089293e-2	1.158770e2
33	6	6.812166267220863e-4	7.862574687489615e-2	9.223091724376989e-2	7.909667589982287e-2	1.154196e2
34	5	8.824161117173893e-4	7.213099993574026e-2	8.339283946977592e-2	7.249820310341885e-2	8.174261e1
35	5	8.571780755629444e-4	7.010531457318588e-2	8.104851854614638e-2	7.046212445648570e-2	8.178617e1
36	5	8.355365058964572e-4	6.818865434769777e-2	7.883094209894403e-2	6.853562177560416e-2	8.161062e1
