N	dim	lambda_min	ln_N	ln_lambda_min
100	99	1.200555567111145e-4	4.6051701860	-9.0275559497
200	199	3.167632377853487e-5	5.2983173665	-10.3599410401
500	499	7.365996501699520e-6	6.2146080984	-11.8186362149
1000	999	4.243609409401874e-6	6.9077552790	-12.3700963750
2000	1999	2.373475974250096e-6	7.6009024595	-12.9511550215
5000	4999	3.527826037262134e-7	8.5171931914	-14.8574138232
10000	9999	2.533181544693195e-7	9.2103403720	-15.1886196107
20000	19999	1.945469116106618e-7	9.9034875525	-15.4525925122
40000	39999	1.564187588112973e-7	10.5966347331	-15.6707290748
