gcd_class	dim	lambda_min	lambda_max	trace	frobenius_norm	condition
8	5000	2.187399462241976e-7	7.416721292442592e-1	1.407403283461787e0	8.153040827267679e-1	3.390657e6
9	4444	2.215474446638271e-7	6.563419469387011e-1	1.237053163748870e0	7.201599973565939e-1	2.962534e6
10	4000	2.248462885378211e-7	5.882542914020137e-1	1.101907356440347e0	6.443570845267987e-1	2.616251e6
11	3636	2.282402931867195e-7	5.326767840326798e-1	9.921602358290327e-1	5.825673667465112e-1	2.333842e6
12	3333	2.336237406532068e-7	4.864751286505797e-1	9.013789565695174e-1	5.312711895657949e-1	2.082302e6
13	3076	2.382776526482771e-7	4.474673181030379e-1	8.250731360845551e-1	4.880151506964314e-1	1.877924e6
14	2857	2.423757346577346e-7	4.141171184553808e-1	7.601353243465858e-1	4.510808083766590e-1	1.708575e6
15	2666	2.431887319127901e-7	3.852669605042206e-1	7.041676774853691e-1	4.191630609586401e-1	1.584230e6
16	2500	2.497104063198519e-7	3.600851453780934e-1	6.555210063236332e-1	3.913368651868549e-1	1.442011e6
17	2352	2.493602856000834e-7	3.378992745364876e-1	6.127924454376434e-1	3.668421178056621e-1	1.355065e6
18	2222	2.506849670599649e-7	3.182298772071360e-1	5.750656001295513e-1	3.451512282299755e-1	1.269441e6
19	2105	2.577914661054727e-7	3.006593663596684e-1	5.414639009738464e-1	3.257911045881817e-1	1.166289e6
20	2000	2.570063642099047e-7	2.848780438568054e-1	5.113826505447183e-1	3.084186783473030e-1	1.108447e6
21	1904	2.603868376154171e-7	2.706172640392838e-1	4.842655225500765e-1	2.927308435144748e-1	1.039289e6
22	1818	2.591755588317695e-7	2.576863218147554e-1	4.597673193797810e-1	2.785209400742549e-1	9.942539e5
23	1739	2.662323432977265e-7	2.458962601023921e-1	4.374844154523892e-1	2.655736370110237e-1	9.236153e5
24	1666	2.661322507573164e-7	2.351016364148654e-1	4.171280806331925e-1	2.537269408937213e-1	8.834015e5
25	1600	2.705537358077540e-7	2.251969735321659e-1	3.985149432998661e-1	2.428678099915178e-1	8.323558e5
26	1538	2.704416227389743e-7	2.160592816344504e-1	3.813691493175066e-1	2.328538407239092e-1	7.989128e5
27	1481	2.708803938010035e-7	2.076151975277411e-1	3.655684291184535e-1	2.236072801130198e-1	7.664460e5
28	1428	2.792008343553830e-7	1.997855685318922e-1	3.509499608857841e-1	2.150389906365003e-1	7.155622e5
29	1379	2.785739188227215e-7	1.925095546380670e-1	3.374006427925816e-1	2.070824709752597e-1	6.910538e5
30	1333	2.786098082524928e-7	1.857262888192687e-1	3.247918730010100e-1	1.996686255537416e-1	6.666179e5
31	1290	2.769134099567977e-7	1.793899228786615e-1	3.130388101469696e-1	1.927474146144887e-1	6.478196e5
32	1250	2.865390785780912e-7	1.734606716276429e-1	3.020677695586558e-1	1.862753884046716e-1	6.053648e5
33	1212	2.860077592627300e-7	1.678944655965328e-1	2.917825013407084e-1	1.802019783884606e-1	5.870277e5
34	1176	2.883974443738609e-7	1.626606778201435e-1	2.821262932185730e-1	1.744937804279265e-1	5.640157e5
35	1142	2.872731526461457e-7	1.577318849555693e-1	2.730489220675631e-1	1.691209285504630e-1	5.490659e5
36	1111	2.861116882882346e-7	1.530926193046886e-1	2.645369291586706e-1	1.640690279886227e-1	5.350799e5
37	1081	2.897665785468031e-7	1.487040021349296e-1	2.564886013240661e-1	1.592907456372760e-1	5.131855e5
38	1052	2.949223655120175e-7	1.445458142056732e-1	2.488678507664746e-1	1.547641890809985e-1	4.901148e5
39	1025	2.940555572127323e-7	1.406104614255486e-1	2.416750164845047e-1	1.504834638494875e-1	4.781765e5
40	1000	2.994943309948740e-7	1.368824454758705e-1	2.348816811027079e-1	1.464316973375701e-1	4.570452e5
41	975	2.981413415185103e-7	1.333291855141573e-1	2.283993242851294e-1	1.425686769941371e-1	4.472013e5
42	952	3.013107084758206e-7	1.299564001463249e-1	2.222677887306746e-1	1.389054181415186e-1	4.313036e5
43	930	2.999947626479759e-7	1.267434071569848e-1	2.164347311037650e-1	1.354170501123610e-1	4.224854e5
44	909	2.984238577916347e-7	1.236800019112406e-1	2.108814721375230e-1	1.320924792911464e-1	4.144441e5
45	888	3.052325172776672e-7	1.207472986171825e-1	2.055593667382677e-1	1.289088396142604e-1	3.955912e5
46	869	3.046025339400289e-7	1.179552467517548e-1	2.005155174143409e-1	1.258816783373939e-1	3.872432e5
47	851	3.036660411400939e-7	1.152866493712172e-1	1.957042485895484e-1	1.229899379328388e-1	3.796495e5
48	833	3.084896831204887e-7	1.127248162138188e-1	1.910811158294173e-1	1.202132172451990e-1	3.654087e5
49	816	3.075393143456421e-7	1.102728080662345e-1	1.866656801840353e-1	1.175571179612669e-1	3.585649e5
50	800	3.095156266333539e-7	1.079242184498083e-1	1.824468016092427e-1	1.150147341242685e-1	3.486875e5
51	784	3.125265190286997e-7	1.056639072163611e-1	1.783829738334527e-1	1.125673703719266e-1	3.380958e5
52	769	3.112015141734497e-7	1.034965372235479e-1	1.744965046281316e-1	1.102223416735025e-1	3.325708e5
53	754	3.123994991154988e-7	1.014075373623846e-1	1.707472452486353e-1	1.079615942876045e-1	3.246085e5
54	740	3.110591952568511e-7	9.940189824817264e-2	1.671585778198792e-1	1.057928327845744e-1	3.195594e5
55	727	3.099094831964752e-7	9.747584776738158e-2	1.637233047203198e-1	1.037119345790404e-1	3.145301e5
56	714	3.231561516463005e-7	9.561584588877581e-2	1.604032693332637e-1	1.017020090955302e-1	2.958812e5
57	701	3.239259374493585e-7	9.381845530856359e-2	1.571922044483108e-1	9.975932707524277e-2	2.896293e5
58	689	3.232216392761106e-7	9.208994089902645e-2	1.541155605035429e-1	9.789292684673606e-2	2.849127e5
59	677	3.227365715098891e-7	9.041751539663145e-2	1.511364160158974e-1	9.608673529534235e-2	2.801589e5
60	666	3.222447488711054e-7	8.880813517340133e-2	1.482812356175910e-1	9.435052441171234e-2	2.755922e5
61	655	3.261185581716185e-7	8.724952886048218e-2	1.455139722597711e-1	9.266876190869176e-2	2.675393e5
62	645	3.271729306931631e-7	8.574855824624578e-2	1.428611728964005e-1	9.105113554620908e-2	2.620894e5
63	634	3.286750887067315e-7	8.428383257904176e-2	1.402564611312547e-1	8.947006704430363e-2	2.564351e5
64	625	3.310457886851092e-7	8.288236748464875e-2	1.377899117875681e-1	8.796136978174048e-2	2.503653e5
65	615	3.303349923662165e-7	8.151247319264654e-2	1.353635755990175e-1	8.648423685773471e-2	2.467570e5
66	606	3.292410323765736e-7	8.019212780199517e-2	1.330370372619739e-1	8.506246042391001e-2	2.435666e5
67	597	3.336818020435881e-7	7.890936826267984e-2	1.307754669226879e-1	8.368095520492493e-2	2.364809e5
68	588	3.353447728047357e-7	7.766315187429929e-2	1.285763922258636e-1	8.233855473427996e-2	2.315920e5
69	579	3.360441845919750e-7	7.645118404585061e-2	1.264365431268205e-1	8.103284896209524e-2	2.275034e5
70	571	3.346993872925953e-7	7.528232506934987e-2	1.243848783270269e-1	7.977551791818338e-2	2.249252e5
71	563	3.337145491746638e-7	7.414487877361892e-2	1.223873195925646e-1	7.855181409112894e-2	2.221805e5
72	555	3.327667535909569e-7	7.303754208515972e-2	1.204414238829686e-1	7.736033057438833e-2	2.194857e5
73	547	3.313760536890540e-7	7.195947232287406e-2	1.185455113363869e-1	7.620013870606238e-2	2.171535e5
74	540	3.395422970021466e-7	7.091910338985419e-2	1.167283696991366e-1	7.508248565819105e-2	2.088668e5
75	533	3.434616175969328e-7	6.990533377399022e-2	1.149568038933494e-1	7.399327714902179e-2	2.035317e5
76	526	3.432639221956915e-7	6.891712692790988e-2	1.132288251782825e-1	7.293137786841565e-2	2.007701e5
77	519	3.424628712352975e-7	6.795365785819421e-2	1.115430426528538e-1	7.189591857040752e-2	1.984264e5
78	512	3.414552887197168e-7	6.701340257603913e-2	1.098971014472804e-1	7.088527977028648e-2	1.962582e5
79	506	3.459846598335935e-7	6.610619152440556e-2	1.083213988131768e-1	6.991210904407635e-2	1.910668e5
80	500	3.482104918839565e-7	6.522090735803016e-2	1.067829003364254e-1	6.896234961119062e-2	1.873031e5
81	493	3.473663920283545e-7	6.434612293711170e-2	1.052485317195860e-1	6.802164958257013e-2	1.852399e5
82	487	3.462532604453552e-7	6.350212855772355e-2	1.037801739485236e-1	6.711597258896948e-2	1.833979e5
83	481	3.529365352277966e-7	6.267707234664144e-2	1.023444404690295e-1	6.623053080981053e-2	1.775874e5
84	476	3.522130862563008e-7	6.188141329015302e-2	1.009722324893779e-1	6.537859841743440e-2	1.756931e5
85	470	3.552200582684377e-7	6.109346527516306e-2	9.959918718605573e-2	6.453273753460875e-2	1.719877e5
86	465	3.559077958373705e-7	6.033290697506388e-2	9.828680135014398e-2	6.371826640471651e-2	1.695184e5
87	459	3.560814641600169e-7	5.957929526627005e-2	9.697185754041829e-2	6.290903914650207e-2	1.673193e5
88	454	3.569658669611767e-7	5.885185299906025e-2	9.571543699161318e-2	6.212986606775808e-2	1.648669e5
89	449	3.594022388499262e-7	5.814039145839305e-2	9.448579910650431e-2	6.136772335264122e-2	1.617697e5
