M	S_M	sum_abs	cancel_ratio	ln_M
2001	2.083464401993022e0	4.342767499573454e2	0.00479755	7.601402
3997	1.945383607975443e0	5.746805363509038e2	0.00338516	8.293299
5999	1.980015210722343e0	6.711883691585358e2	0.00295001	8.699348
7994	2.005145190004183e0	7.462081894147983e2	0.00268711	8.986447
9987	2.028779436697617e0	8.067037581506701e2	0.00251490	9.209040
11994	2.023441535013930e0	8.572077854888930e2	0.00236050	9.392162
13994	2.018171936059497e0	8.998804304811399e2	0.00224271	9.546384
15989	2.036776041034652e0	9.362854845128927e2	0.00217538	9.679656
17985	2.038781666895157e0	9.679148732495075e2	0.00210636	9.797293
19985	2.030650362482028e0	9.948750547044866e2	0.00204111	9.902737
21981	2.023171487337398e0	1.018011966288765e3	0.00198737	9.997934
23979	2.022929261472542e0	1.037771348255699e3	0.00194930	10.084934
25981	2.025160363176144e0	1.054442078246460e3	0.00192060	10.165121
27978	2.022849823106124e0	1.068271502117475e3	0.00189357	10.239174
29974	2.016983574737438e0	1.079565248973433e3	0.00186833	10.308086
31981	2.016822769902084e0	1.088420740751957e3	0.00185298	10.372897
33974	2.017849473124725e0	1.095068390031395e3	0.00184267	10.433351
35977	2.017165861467490e0	1.099665652570394e3	0.00183434	10.490635
37982	2.016445484718208e0	1.102348232668967e3	0.00182923	10.544868
39986	2.016525526145807e0	1.103231403218968e3	0.00182784	10.596285
