d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
195	-3.506459350944322e-4	3.506459350944322e-4	189.8541	1.723077	3·5·13
197	-1.866197874377593e-3	1.866197874377593e-3	189.9556	1.005076	197 (prime)
199	-1.352608074945219e-3	1.352608074945219e-3	190.0292	1.005025	199 (prime)
201	-8.862194214677766e-5	8.862194214677766e-5	190.0340	1.353234	3·67
202	2.688420568713258e-4	2.688420568713258e-4	190.0486	1.514851	2·101
203	-1.332483491889385e-3	1.332483491889385e-3	190.1211	1.182266	7·29
205	-5.878944426447465e-4	5.878944426447465e-4	190.1531	1.229268	5·41
206	-8.473563240663830e-5	8.473563240663830e-5	190.1577	1.514563	2·103
209	-8.831229637801793e-4	8.831229637801793e-4	190.2058	1.148325	11·19
210	1.766463866816367e-3	1.766463866816367e-3	190.3019	2.742857	2·3·5·7
211	-3.971985952418780e-4	3.971985952418780e-4	190.3235	1.004739	211 (prime)
213	2.551707861094288e-4	2.551707861094288e-4	190.3373	1.352113	3·71
214	2.759593380851849e-4	2.759593380851849e-4	190.3524	1.514019	2·107
215	-4.892817435280753e-4	4.892817435280753e-4	190.3790	1.227907	5·43
217	-4.064309347903039e-4	4.064309347903039e-4	190.4011	1.179724	7·31
218	8.411318107377420e-4	8.411318107377420e-4	190.4468	1.513761	2·109
219	-4.575489455544660e-4	4.575489455544660e-4	190.4717	1.351598	3·73
221	8.704278269854086e-6	8.704278269854086e-6	190.4722	1.140271	13·17
222	1.611714460474037e-3	1.611714460474037e-3	190.5599	2.054054	2·3·37
223	1.433808097492069e-3	1.433808097492069e-3	190.6379	1.004484	223 (prime)
226	7.316084632057994e-4	7.316084632057994e-4	190.6777	1.513274	2·113
227	5.506838590487944e-4	5.506838590487944e-4	190.7077	1.004405	227 (prime)
229	-7.194377115690611e-4	7.194377115690611e-4	190.7468	1.004367	229 (prime)
230	1.216986204287027e-3	1.216986204287027e-3	190.8130	1.878261	2·5·23
231	7.777599792660757e-4	7.777599792660757e-4	190.8553	1.662338	3·7·11
233	8.040115866067714e-4	8.040115866067714e-4	190.8990	1.004292	233 (prime)
235	1.051562284937815e-3	1.051562284937815e-3	190.9563	1.225532	5·47
