d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.460938752902412e0	1.460938752902412e0	71.1431	1.000000	1
2	7.199342365284954e-1	7.199342365284954e-1	106.2017	1.500000	2 (prime)
3	3.610178632551260e-1	3.610178632551260e-1	123.7821	1.333333	3 (prime)
5	-2.382425999127646e-1	2.382425999127646e-1	135.3838	1.200000	5 (prime)
6	-1.277181562481158e-1	1.277181562481158e-1	141.6033	2.000000	2·3
7	-4.831526460315916e-2	4.831526460315916e-2	143.9561	1.142857	7 (prime)
10	-2.384736286202739e-2	2.384736286202739e-2	145.1173	1.800000	2·5
11	-7.315081120085841e-2	7.315081120085841e-2	148.6796	1.090909	11 (prime)
13	9.167509984071617e-3	9.167509984071617e-3	149.1260	1.076923	13 (prime)
14	-1.145662267750696e-2	1.145662267750696e-2	149.6839	1.714286	2·7
15	-5.078863921777170e-2	5.078863921777170e-2	152.1571	1.600000	3·5
17	-3.925311611732410e-3	3.925311611732410e-3	152.3483	1.058824	17 (prime)
19	1.716989973997373e-2	1.716989973997373e-2	153.1844	1.052632	19 (prime)
21	4.092953949518160e-3	4.092953949518160e-3	153.3837	1.523810	3·7
22	-4.408941014957857e-3	4.408941014957857e-3	153.5984	1.636364	2·11
23	-1.184983690251362e-2	1.184983690251362e-2	154.1755	1.043478	23 (prime)
26	3.678582440446854e-3	3.678582440446854e-3	154.3546	1.615385	2·13
29	4.100505369759395e-2	4.100505369759395e-2	156.3514	1.034483	29 (prime)
30	4.794486652492360e-3	4.794486652492360e-3	156.5849	2.400000	2·3·5
31	1.628458002861797e-2	1.628458002861797e-2	157.3779	1.032258	31 (prime)
33	-1.981486030191824e-2	1.981486030191824e-2	158.3428	1.454545	3·11
34	-1.912730992573030e-3	1.912730992573030e-3	158.4360	1.588235	2·17
35	-2.691179156927330e-2	2.691179156927330e-2	159.7465	1.371429	5·7
37	3.576997207755961e-3	3.576997207755961e-3	159.9207	1.027027	37 (prime)
38	1.950479049211975e-3	1.950479049211975e-3	160.0157	1.578947	2·19
39	-1.233937652687726e-2	1.233937652687726e-2	160.6166	1.435897	3·13
41	1.282404848455995e-2	1.282404848455995e-2	161.2410	1.024390	41 (prime)
42	5.166490551926788e-3	5.166490551926788e-3	161.4926	2.285714	2·3·7
43	1.125497927659644e-2	1.125497927659644e-2	162.0407	1.023256	43 (prime)
46	-4.134010251246837e-3	4.134010251246837e-3	162.2420	1.565217	2·23
47	-1.464266124956183e-2	1.464266124956183e-2	162.9551	1.021277	47 (prime)
51	5.072696616626766e-3	5.072696616626766e-3	163.2021	1.411765	3·17
53	4.757010133644159e-3	4.757010133644159e-3	163.4338	1.018868	53 (prime)
55	-7.025571696382355e-3	7.025571696382355e-3	163.7759	1.309091	5·11
57	-5.036340585344337e-3	5.036340585344337e-3	164.0211	1.403509	3·19
58	2.500608806414002e-3	2.500608806414002e-3	164.1429	1.551724	2·29
59	-1.318573718140710e-2	1.318573718140710e-2	164.7850	1.016949	59 (prime)
61	-3.299665859863955e-3	3.299665859863955e-3	164.9457	1.016393	61 (prime)
62	4.199853187616709e-3	4.199853187616709e-3	165.1502	1.548387	2·31
65	2.760246375440395e-3	2.760246375440395e-3	165.2846	1.292308	5·13
66	3.121459031600951e-3	3.121459031600951e-3	165.4366	2.181818	2·3·11
67	6.308588222073691e-3	6.308588222073691e-3	165.7438	1.014925	67 (prime)
69	6.750233641056131e-3	6.750233641056131e-3	166.0726	1.391304	3·23
70	3.123874623174013e-3	3.123874623174013e-3	166.2247	2.057143	2·5·7
71	-7.178655022253682e-5	7.178655022253682e-5	166.2282	1.014085	71 (prime)
73	-2.070698939876112e-3	2.070698939876112e-3	166.3290	1.013699	73 (prime)
74	3.622386204902456e-3	3.622386204902456e-3	166.5054	1.540541	2·37
77	2.649639720491570e-3	2.649639720491570e-3	166.6344	1.246753	7·11
78	3.452024420720290e-4	3.452024420720290e-4	166.6513	2.153846	2·3·13
79	5.362113039427468e-4	5.362113039427468e-4	166.6774	1.012658	79 (prime)
82	4.615313249528225e-4	4.615313249528225e-4	166.6998	1.536585	2·41
83	-4.995681713324937e-3	4.995681713324937e-3	166.9431	1.012048	83 (prime)
85	-4.430804828711133e-3	4.430804828711133e-3	167.1589	1.270588	5·17
86	2.092428509184830e-3	2.092428509184830e-3	167.2608	1.534884	2·43
87	-2.414321800406803e-3	2.414321800406803e-3	167.3783	1.379310	3·29
89	1.189290052131841e-4	1.189290052131841e-4	167.3841	1.011236	89 (prime)
91	1.071595611099203e-3	1.071595611099203e-3	167.4363	1.230769	7·13
93	1.532886587147465e-3	1.532886587147465e-3	167.5110	1.376344	3·31
94	3.306492369608048e-3	3.306492369608048e-3	167.6720	1.531915	2·47
95	-1.258357559727739e-3	1.258357559727739e-3	167.7333	1.263158	5·19
97	2.024720935006028e-3	2.024720935006028e-3	167.8319	1.010309	97 (prime)
101	5.218571451183481e-3	5.218571451183481e-3	168.0860	1.009901	101 (prime)
102	1.292921638385965e-3	1.292921638385965e-3	168.1490	2.117647	2·3·17
103	3.897642351610010e-3	3.897642351610010e-3	168.3388	1.009709	103 (prime)
105	3.539178893726804e-3	3.539178893726804e-3	168.5111	1.828571	3·5·7
106	2.212971011664827e-3	2.212971011664827e-3	168.6189	1.528302	2·53
107	-9.791753320288385e-4	9.791753320288385e-4	168.6665	1.009346	107 (prime)
109	4.321660064466348e-4	4.321660064466348e-4	168.6876	1.009174	109 (prime)
110	1.551424702361190e-3	1.551424702361190e-3	168.7631	1.963636	2·5·11
111	2.430070035642018e-3	2.430070035642018e-3	168.8815	1.369369	3·37
113	1.075858603556848e-3	1.075858603556848e-3	168.9339	1.008850	113 (prime)
114	1.874444281187436e-3	1.874444281187436e-3	169.0251	2.105263	2·3·19
115	1.413595942735889e-3	1.413595942735889e-3	169.0940	1.252174	5·23
118	2.205005306488503e-3	2.205005306488503e-3	169.2014	1.525424	2·59
119	1.441300075076462e-4	1.441300075076462e-4	169.2084	1.210084	7·17
122	1.899336802444306e-3	1.899336802444306e-3	169.3009	1.524590	2·61
123	-1.601115763181609e-4	1.601115763181609e-4	169.3087	1.365854	3·41
127	-3.698727881696738e-4	3.698727881696738e-4	169.3267	1.007874	127 (prime)
129	6.926054743564872e-4	6.926054743564872e-4	169.3604	1.364341	3·43
130	7.900472795569463e-4	7.900472795569463e-4	169.3989	1.938462	2·5·13
131	2.915970509066399e-4	2.915970509066399e-4	169.4131	1.007634	131 (prime)
133	-9.279175392311712e-4	9.279175392311712e-4	169.4583	1.203008	7·19
134	2.913084486462979e-3	2.913084486462979e-3	169.6001	1.522388	2·67
137	1.182174589487612e-3	1.182174589487612e-3	169.6577	1.007299	137 (prime)
138	1.079934595815258e-3	1.079934595815258e-3	169.7103	2.086957	2·3·23
139	3.161911788578886e-4	3.161911788578886e-4	169.7257	1.007194	139 (prime)
141	9.000712007313853e-4	9.000712007313853e-4	169.7695	1.361702	3·47
142	4.265459518068853e-4	4.265459518068853e-4	169.7903	1.521127	2·71
