band_j	band_k	range_j	range_k	Q_band
8	9	[256,512)	[512,1024)	-4.261970491338048e-3
8	10	[256,512)	[1024,2048)	5.646601732121764e-4
8	11	[256,512)	[2048,4096)	9.463286554531481e-3
8	12	[256,512)	[4096,8192)	-6.481871912491789e-3
8	13	[256,512)	[8192,16384)	6.867382304949548e-4
9	1	[512,1024)	[2,4)	-6.996500618357889e-3
9	2	[512,1024)	[4,8)	-3.005445485627911e-3
9	3	[512,1024)	[8,16)	2.871883214708632e-3
9	4	[512,1024)	[16,32)	-2.665992011240435e-2
9	5	[512,1024)	[32,64)	8.593519987033967e-2
9	6	[512,1024)	[64,128)	-2.164465071829359e-5
9	7	[512,1024)	[128,256)	1.714583443479779e-2
9	8	[512,1024)	[256,512)	-4.261970491338047e-3
9	9	[512,1024)	[512,1024)	7.524857818817448e-3
9	10	[512,1024)	[1024,2048)	3.921214390988499e-3
9	11	[512,1024)	[2048,4096)	-5.826704540399392e-3
9	12	[512,1024)	[4096,8192)	2.420677965104785e-2
9	13	[512,1024)	[8192,16384)	1.987008731290539e-3
10	1	[1024,2048)	[2,4)	-7.593786922813357e-3
10	2	[1024,2048)	[4,8)	-3.256268115837054e-3
10	3	[1024,2048)	[8,16)	2.686528611760644e-3
10	4	[1024,2048)	[16,32)	-7.672034868259557e-3
10	5	[1024,2048)	[32,64)	-1.126930750178223e-1
10	6	[1024,2048)	[64,128)	1.772038614034975e-2
10	7	[1024,2048)	[128,256)	-1.499262584608867e-4
10	8	[1024,2048)	[256,512)	5.646601732121766e-4
10	9	[1024,2048)	[512,1024)	3.921214390988500e-3
10	10	[1024,2048)	[1024,2048)	-3.213352864369846e-3
10	11	[1024,2048)	[2048,4096)	6.210841322149339e-3
10	12	[1024,2048)	[4096,8192)	2.322467721366404e-3
10	13	[1024,2048)	[8192,16384)	1.124249433358840e-3
11	1	[2048,4096)	[2,4)	8.489874124167360e-3
11	2	[2048,4096)	[4,8)	3.641927381567329e-3
11	3	[2048,4096)	[8,16)	-2.989787176191717e-3
11	4	[2048,4096)	[16,32)	8.364338674099601e-3
11	5	[2048,4096)	[32,64)	-1.074920223569017e-2
11	6	[2048,4096)	[64,128)	-1.077319577324568e-1
11	7	[2048,4096)	[128,256)	-3.112152872460374e-2
11	8	[2048,4096)	[256,512)	9.463286554531476e-3
11	9	[2048,4096)	[512,1024)	-5.826704540399395e-3
11	10	[2048,4096)	[1024,2048)	6.210841322149340e-3
11	11	[2048,4096)	[2048,4096)	1.023882203715774e-2
11	12	[2048,4096)	[4096,8192)	-2.066073275663567e-3
11	13	[2048,4096)	[8192,16384)	-1.871419482654091e-4
12	1	[4096,8192)	[2,4)	-3.631768050061054e-3
12	2	[4096,8192)	[4,8)	-1.560000123307489e-3
12	3	[4096,8192)	[8,16)	1.273681836553112e-3
12	4	[4096,8192)	[16,32)	-3.441075868096216e-3
12	5	[4096,8192)	[32,64)	3.437138865079418e-3
12	6	[4096,8192)	[64,128)	2.079281507833386e-2
12	7	[4096,8192)	[128,256)	1.163782010906456e-2
12	8	[4096,8192)	[256,512)	-6.481871912491788e-3
12	9	[4096,8192)	[512,1024)	2.420677965104785e-2
12	10	[4096,8192)	[1024,2048)	2.322467721366403e-3
12	11	[4096,8192)	[2048,4096)	-2.066073275663567e-3
12	12	[4096,8192)	[4096,8192)	2.286356215848988e-3
12	13	[4096,8192)	[8192,16384)	-3.185111352720159e-4
13	1	[8192,16384)	[2,4)	4.536920620757120e-4
13	2	[8192,16384)	[4,8)	1.953050138618799e-4
13	3	[8192,16384)	[8,16)	-1.592454250314351e-4
13	4	[8192,16384)	[16,32)	4.220030024001091e-4
13	5	[8192,16384)	[32,64)	-3.922804085506008e-4
13	6	[8192,16384)	[64,128)	4.785606005457423e-5
13	7	[8192,16384)	[128,256)	8.850738443576854e-4
13	8	[8192,16384)	[256,512)	6.867382304949549e-4
13	9	[8192,16384)	[512,1024)	1.987008731290539e-3
13	10	[8192,16384)	[1024,2048)	1.124249433358840e-3
13	11	[8192,16384)	[2048,4096)	-1.871419482654091e-4
13	12	[8192,16384)	[4096,8192)	-3.185111352720159e-4
13	13	[8192,16384)	[8192,16384)	6.576979340970617e-5
