d	Q_d	abs_Q_d	cumul_pct	sigma_d	factorization
1	1.356310812533600e0	1.356310812533600e0	67.2598	1.000000	1
2	7.565377065770416e-1	7.565377065770416e-1	104.7767	1.500000	2 (prime)
3	4.046930213752079e-1	4.046930213752079e-1	124.8455	1.333333	3 (prime)
5	-2.611393926128313e-1	2.611393926128313e-1	137.7955	1.200000	5 (prime)
6	-1.265651545686733e-1	1.265651545686733e-1	144.0719	2.000000	2·3
7	-7.086731436707056e-2	7.086731436707056e-2	147.5862	1.142857	7 (prime)
10	-1.687006151068366e-2	1.687006151068366e-2	148.4228	1.800000	2·5
11	-8.275999511710394e-2	8.275999511710394e-2	152.5269	1.090909	11 (prime)
13	1.693523115135196e-2	1.693523115135196e-2	153.3667	1.076923	13 (prime)
14	3.218121549029370e-3	3.218121549029370e-3	153.5263	1.714286	2·7
15	-5.869573823745925e-2	5.869573823745925e-2	156.4370	1.600000	3·5
17	1.704428109106158e-3	1.704428109106158e-3	156.5215	1.058824	17 (prime)
19	3.027365915275559e-2	3.027365915275559e-2	158.0228	1.052632	19 (prime)
21	1.864371101824518e-2	1.864371101824518e-2	158.9474	1.523810	3·7
22	1.575503958082064e-3	1.575503958082064e-3	159.0255	1.636364	2·11
23	-9.246902625120685e-4	9.246902625120685e-4	159.0713	1.043478	23 (prime)
26	-3.314157228181219e-3	3.314157228181219e-3	159.2357	1.615385	2·13
29	3.982714750254619e-2	3.982714750254619e-2	161.2107	1.034483	29 (prime)
30	-3.008626987983030e-3	3.008626987983030e-3	161.3599	2.400000	2·3·5
31	2.688503567702446e-2	2.688503567702446e-2	162.6932	1.032258	31 (prime)
33	-1.990552403294529e-2	1.990552403294529e-2	163.6803	1.454545	3·11
34	-7.771916083728694e-4	7.771916083728694e-4	163.7188	1.588235	2·17
35	-2.207396094704118e-2	2.207396094704118e-2	164.8135	1.371429	5·7
37	6.683883956133514e-3	6.683883956133514e-3	165.1449	1.027027	37 (prime)
38	-3.200945167586467e-3	3.200945167586467e-3	165.3037	1.578947	2·19
39	-1.902401270983316e-2	1.902401270983316e-2	166.2471	1.435897	3·13
41	1.392899007412980e-2	1.392899007412980e-2	166.9378	1.024390	41 (prime)
42	-1.844193922031353e-3	1.844193922031353e-3	167.0293	2.285714	2·3·7
43	1.214755181001369e-2	1.214755181001369e-2	167.6317	1.023256	43 (prime)
46	-8.864757025673919e-3	8.864757025673919e-3	168.0713	1.565217	2·23
47	-1.936970869009964e-2	1.936970869009964e-2	169.0318	1.021277	47 (prime)
51	6.196918405727996e-3	6.196918405727996e-3	169.3391	1.411765	3·17
53	5.919007422596097e-3	5.919007422596097e-3	169.6327	1.018868	53 (prime)
55	-6.869785802653188e-3	6.869785802653188e-3	169.9733	1.309091	5·11
57	-6.338135459253997e-3	6.338135459253997e-3	170.2876	1.403509	3·19
58	4.614654699856873e-3	4.614654699856873e-3	170.5165	1.551724	2·29
59	-1.316750012670580e-2	1.316750012670580e-2	171.1695	1.016949	59 (prime)
61	-3.643645853918969e-3	3.643645853918969e-3	171.3502	1.016393	61 (prime)
62	2.555902093885001e-3	2.555902093885001e-3	171.4769	1.548387	2·31
65	2.845690354587523e-3	2.845690354587523e-3	171.6180	1.292308	5·13
66	2.800586953487945e-3	2.800586953487945e-3	171.7569	2.181818	2·3·11
67	4.013938141154655e-3	4.013938141154655e-3	171.9560	1.014925	67 (prime)
69	7.932056004225660e-3	7.932056004225660e-3	172.3493	1.391304	3·23
70	-1.414096248928195e-4	1.414096248928195e-4	172.3563	2.057143	2·5·7
71	2.666632614387809e-3	2.666632614387809e-3	172.4886	1.014085	71 (prime)
73	-2.876359304676789e-3	2.876359304676789e-3	172.6312	1.013699	73 (prime)
74	-7.879041247511885e-4	7.879041247511885e-4	172.6703	1.540541	2·37
77	4.739531179351791e-3	4.739531179351791e-3	172.9053	1.246753	7·11
78	8.938433005818774e-4	8.938433005818774e-4	172.9496	2.153846	2·3·13
79	-4.990692326440870e-4	4.990692326440870e-4	172.9744	1.012658	79 (prime)
82	5.283058795364770e-5	5.283058795364770e-5	172.9770	1.536585	2·41
83	-6.143000697905559e-3	6.143000697905559e-3	173.2816	1.012048	83 (prime)
85	-6.114518356239246e-3	6.114518356239246e-3	173.5849	1.270588	5·17
86	9.497646456811189e-4	9.497646456811189e-4	173.6320	1.534884	2·43
87	-3.582186419033591e-3	3.582186419033591e-3	173.8096	1.379310	3·29
89	1.202047887906464e-4	1.202047887906464e-4	173.8156	1.011236	89 (prime)
91	1.305410049644667e-3	1.305410049644667e-3	173.8803	1.230769	7·13
93	-8.044205027797421e-4	8.044205027797421e-4	173.9202	1.376344	3·31
94	4.350194078081251e-3	4.350194078081251e-3	174.1359	1.531915	2·47
95	-4.615773690941587e-3	4.615773690941587e-3	174.3648	1.263158	5·19
97	9.003330843327106e-4	9.003330843327106e-4	174.4095	1.010309	97 (prime)
101	-3.919311424227328e-4	3.919311424227328e-4	174.4289	1.009901	101 (prime)
102	2.177679658944050e-3	2.177679658944050e-3	174.5369	2.117647	2·3·17
103	1.200913316587268e-3	1.200913316587268e-3	174.5964	1.009709	103 (prime)
105	-2.318795627209073e-3	2.318795627209073e-3	174.7114	1.828571	3·5·7
106	2.418726551152519e-3	2.418726551152519e-3	174.8314	1.528302	2·53
107	-2.847106208259150e-3	2.847106208259150e-3	174.9726	1.009346	107 (prime)
109	1.709928858203565e-3	1.709928858203565e-3	175.0574	1.009174	109 (prime)
110	2.187349503205135e-3	2.187349503205135e-3	175.1658	1.963636	2·5·11
111	1.139161777148151e-3	1.139161777148151e-3	175.2223	1.369369	3·37
113	1.372476869425364e-3	1.372476869425364e-3	175.2904	1.008850	113 (prime)
114	2.536713532243844e-3	2.536713532243844e-3	175.4162	2.105263	2·3·19
115	1.124092783310397e-3	1.124092783310397e-3	175.4719	1.252174	5·23
118	7.766031364940221e-5	7.766031364940221e-5	175.4758	1.525424	2·59
119	-2.164261034424668e-3	2.164261034424668e-3	175.5831	1.210084	7·17
122	1.183678468433858e-3	1.183678468433858e-3	175.6418	1.524590	2·61
123	-1.033456096094493e-3	1.033456096094493e-3	175.6930	1.365854	3·41
127	-4.127800530862837e-4	4.127800530862837e-4	175.7135	1.007874	127 (prime)
129	8.834159591322036e-4	8.834159591322036e-4	175.7573	1.364341	3·43
130	1.107973825035785e-3	1.107973825035785e-3	175.8123	1.938462	2·5·13
131	3.539039448573713e-4	3.539039448573713e-4	175.8298	1.007634	131 (prime)
133	-2.079610886068741e-3	2.079610886068741e-3	175.9329	1.203008	7·19
134	3.635852799583293e-3	3.635852799583293e-3	176.1133	1.522388	2·67
137	1.762575517411158e-3	1.762575517411158e-3	176.2007	1.007299	137 (prime)
138	1.392356585566401e-3	1.392356585566401e-3	176.2697	2.086957	2·3·23
139	5.313828024180754e-4	5.313828024180754e-4	176.2961	1.007194	139 (prime)
141	9.216343766521470e-4	9.216343766521470e-4	176.3418	1.361702	3·47
142	5.596436772022918e-4	5.596436772022918e-4	176.3695	1.521127	2·71
143	1.009494060274362e-3	1.009494060274362e-3	176.4196	1.174825	11·13
145	2.390627897677237e-3	2.390627897677237e-3	176.5381	1.241379	5·29
146	1.534495595475037e-3	1.534495595475037e-3	176.6142	1.520548	2·73
149	1.461435573073345e-3	1.461435573073345e-3	176.6867	1.006711	149 (prime)
151	-8.644844743868558e-4	8.644844743868558e-4	176.7296	1.006623	151 (prime)
154	1.250397797165945e-3	1.250397797165945e-3	176.7916	1.870130	2·7·11
155	-6.501912140541024e-5	6.501912140541024e-5	176.7948	1.238710	5·31
157	-2.232719554024369e-3	2.232719554024369e-3	176.9055	1.006369	157 (prime)
158	5.717151371947885e-4	5.717151371947885e-4	176.9339	1.518987	2·79
159	-6.848844486766353e-4	6.848844486766353e-4	176.9678	1.358491	3·53
161	1.735878514908903e-3	1.735878514908903e-3	177.0539	1.192547	7·23
163	9.465497473698265e-4	9.465497473698265e-4	177.1009	1.006135	163 (prime)
165	8.740612450679368e-4	8.740612450679368e-4	177.1442	1.745455	3·5·11
166	1.650063659620484e-3	1.650063659620484e-3	177.2260	1.518072	2·83
167	4.849968398224999e-4	4.849968398224999e-4	177.2501	1.005988	167 (prime)
170	1.277714498373590e-3	1.277714498373590e-3	177.3134	1.905882	2·5·17
173	8.073511381960284e-5	8.073511381960284e-5	177.3174	1.005780	173 (prime)
174	1.013689130168633e-3	1.013689130168633e-3	177.3677	2.068966	2·3·29
177	2.416204385818695e-5	2.416204385818695e-5	177.3689	1.355932	3·59
178	6.443586997610662e-4	6.443586997610662e-4	177.4009	1.516854	2·89
179	-3.233939035051471e-4	3.233939035051471e-4	177.4169	1.005587	179 (prime)
181	2.544707007300042e-4	2.544707007300042e-4	177.4295	1.005525	181 (prime)
182	1.066008306073916e-3	1.066008306073916e-3	177.4824	1.846154	2·7·13
183	7.484745354020920e-4	7.484745354020920e-4	177.5195	1.355191	3·61
185	4.693495420544681e-4	4.693495420544681e-4	177.5428	1.232432	5·37
186	1.412878766319250e-3	1.412878766319250e-3	177.6128	2.064516	2·3·31
187	7.678936128420146e-4	7.678936128420146e-4	177.6509	1.155080	11·17
190	1.921919883471269e-3	1.921919883471269e-3	177.7462	1.894737	2·5·19
191	2.500068354553128e-5	2.500068354553128e-5	177.7475	1.005236	191 (prime)
