N	d2_N	lambda_min	gpu_ms	dd_s	D_N	b_vmin_proj
3	8.309190354316298e-2	6.798242599009520e-2	23.7	0.00	1.062393656080454e0	1.268807545985462e-2
4	6.905566372038019e-2	4.191313586437060e-2	2.4	0.00	1.480093365623256e0	2.708018823707081e-3
5	5.496499911149244e-2	3.071306491078872e-2	2.1	0.00	1.545018059167582e0	7.712308662910949e-3
6	5.490735362645527e-2	2.320014017735976e-2	2.1	0.00	1.655444546946008e0	1.085648325829380e-2
7	4.950725646266929e-2	1.760074336219927e-2	2.0	0.00	1.914323985056975e0	1.108450545582859e-2
8	4.947445513800952e-2	1.423676361519011e-2	2.2	0.00	1.874074009350136e0	3.042640271793212e-3
9	4.943063214784771e-2	1.041211407092841e-2	2.1	0.00	2.163689756225228e0	2.379703601339822e-4
10	4.928895402101996e-2	9.180125517821429e-3	2.2	0.00	2.155027500763486e0	1.721648376859952e-3
11	4.785898428205915e-2	7.426366421684238e-3	2.2	0.00	2.462860722086671e0	3.860405005738268e-3
12	4.785146035570942e-2	7.003014382183561e-3	2.3	0.00	2.273716500698912e0	5.509671677266514e-4
13	4.757632935987210e-2	5.202992783836855e-3	2.3	0.00	2.696770286185591e0	4.527223294206739e-6
14	4.690540162260781e-2	5.202879926201275e-3	2.2	0.00	2.797501378473853e0	3.965154053595533e-5
15	4.679711829040190e-2	4.105417143601931e-3	2.2	0.00	2.881800921930928e0	1.113216170097020e-3
16	4.662436610689091e-2	3.977585356434826e-3	2.1	0.00	2.671434121034558e0	1.443543453963220e-4
17	4.627314821589668e-2	3.342526266885990e-3	2.5	0.00	3.132600036190354e0	1.177628796440733e-4
18	4.627244859554347e-2	3.314298637640697e-3	2.6	0.00	2.824441143923063e0	7.133631475829405e-5
19	4.618134990847311e-2	2.597918400259347e-3	2.6	0.00	3.346870075447236e0	3.213975822440179e-4
20	4.598434804028739e-2	2.595613180102371e-3	5.7	0.00	3.484169712221795e0	2.751060643232158e-4
21	4.577388185018527e-2	2.195009201395802e-3	2.3	0.00	3.464210693701417e0	2.805248211228684e-4
22	4.575898124858202e-2	2.169337316633101e-3	2.3	0.00	3.121730789042413e0	2.441647149670975e-4
23	4.553341174114978e-2	1.894830821079876e-3	2.3	0.00	3.629734526646197e0	5.043036915505228e-4
24	4.553217132905840e-2	1.894764053518887e-3	2.4	0.00	3.723007168289829e0	5.026575586141667e-4
25	4.551404566716777e-2	1.541038586997789e-3	2.3	0.00	3.839113709859888e0	1.563321949262508e-4
26	4.546102311315414e-2	1.534035662626105e-3	2.4	0.00	3.983000593907699e0	2.070553861686537e-4
27	4.542317676186325e-2	1.406989178881528e-3	2.5	0.00	3.855702512342682e0	4.712455120267772e-4
28	4.539398568687436e-2	1.399547038175875e-3	3.2	0.00	3.684776171223495e0	3.731256085259399e-4
29	4.516501095731285e-2	1.238886951024516e-3	2.4	0.00	4.091972147799324e0	9.051485466549797e-5
30	4.509501719847853e-2	1.237378627961158e-3	2.3	0.00	4.208959664035210e0	1.077898263590685e-4
35	4.447418461480479e-2	8.740648435486735e-4	3.4	0.00	4.470407906307734e0	5.336406795544008e-5
40	4.423351667887432e-2	6.996676329984914e-4	3.2	0.00	4.295628268853136e0	2.066301501279693e-4
45	4.393031879469578e-2	5.336076494418729e-4	3.4	0.00	3.904187554119424e0	7.427810154626846e-5
50	4.385906936355843e-2	4.348053555312273e-4	3.7	0.00	5.387896183657372e0	1.194618685360256e-5
55	4.373990170370567e-2	3.546842672379865e-4	3.8	0.00	5.590111396799658e0	1.012181392515826e-5
60	4.366725636157509e-2	3.311014158332875e-4	4.2	0.00	5.462118180707953e0	5.920442196032452e-5
65	4.362961278691213e-2	2.752003835315576e-4	4.1	0.00	4.345616292084155e0	4.865738786353005e-5
70	4.353142911736496e-2	2.399893385281492e-4	5.2	0.00	5.939471707679393e0	8.418590296248177e-5
75	4.349767027215112e-2	2.041721810731314e-4	5.2	0.00	5.626008722475224e0	2.749400637721763e-5
80	4.346154535212821e-2	1.782800365382056e-4	6.3	0.00	6.870862469952813e0	5.201065396122188e-5
85	4.335119496816797e-2	1.567469241692261e-4	26.8	0.00	6.992479264023491e0	1.760086275949535e-5
90	4.332192309074478e-2	1.510407817417926e-4	6.0	0.00	6.024972903701638e0	2.227733672682201e-5
95	4.328196968230191e-2	1.315600323791058e-4	5.9	0.00	6.477950891776012e0	4.995780364119504e-6
100	4.309489700265556e-2	1.202415340412977e-4	6.1	0.00	6.621395826792894e0	1.855857766008579e-5
