M	S_M	sum_abs	cancel_ratio	ln_M
998	2.304336287829105e0	2.598029218147962e2	0.00886955	6.905753
1999	2.110742477865840e0	3.397827101998826e2	0.00621204	7.600402
2995	2.034552651100083e0	3.956849135314949e2	0.00514185	8.004700
3994	1.997235215409476e0	4.388608346553714e2	0.00455095	8.292549
4989	2.036212604364157e0	4.737028848221594e2	0.00429850	8.514991
5995	2.033337814649377e0	5.026701551510241e2	0.00404507	8.698681
6991	2.019334508337846e0	5.275133039345782e2	0.00382803	8.852379
7989	2.026064941375905e0	5.482993374750027e2	0.00369518	8.985821
8985	2.026584513887258e0	5.663466844006078e2	0.00357835	9.103312
9979	2.065343093363881e0	5.815350627525726e2	0.00355154	9.208238
10983	2.071269133691863e0	5.946482724223584e2	0.00348318	9.304104
11986	2.052482413148610e0	6.057498605002509e2	0.00338833	9.391495
12986	2.052723905296937e0	6.150945072545499e2	0.00333725	9.471627
13983	2.049730402714345e0	6.228915773103137e2	0.00329067	9.545598
14978	2.058308456987670e0	6.291979887111355e2	0.00327132	9.614338
15973	2.052515238062341e0	6.341790964395449e2	0.00323649	9.678655
16970	2.051236105139335e0	6.379304339244455e2	0.00321545	9.739202
17967	2.053110649888517e0	6.405606287908599e2	0.00320518	9.796292
18967	2.053641319856550e0	6.420931004387572e2	0.00319835	9.850456
19969	2.053515194489675e0	6.426098351393827e2	0.00319559	9.901936
