band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.171822258871585e-1
1	2	[2,4)	[4,8)	2.716621352081745e-1
1	3	[2,4)	[8,16)	-1.258203640657515e-1
1	4	[2,4)	[16,32)	2.168166052944924e-1
1	5	[2,4)	[32,64)	-1.365294286963530e-1
1	6	[2,4)	[64,128)	2.731183766511403e-2
1	7	[2,4)	[128,256)	-6.163162009265860e-3
1	8	[2,4)	[256,512)	8.245932062892923e-3
1	9	[2,4)	[512,1024)	-3.495138024157536e-3
2	1	[4,8)	[2,4)	2.716621352081745e-1
2	2	[4,8)	[4,8)	2.000033590005917e-3
2	3	[4,8)	[8,16)	1.220871812292259e-2
2	4	[4,8)	[16,32)	1.179388788044219e-1
2	5	[4,8)	[32,64)	-6.770143231293740e-2
2	6	[4,8)	[64,128)	1.247776529414405e-2
2	7	[4,8)	[128,256)	-2.618060617687109e-3
2	8	[4,8)	[256,512)	3.410144739718313e-3
2	9	[4,8)	[512,1024)	-1.434449449228127e-3
3	1	[8,16)	[2,4)	-1.258203640657515e-1
3	2	[8,16)	[4,8)	1.220871812292253e-2
3	3	[8,16)	[8,16)	1.284973984543933e-3
3	4	[8,16)	[16,32)	-3.312058266195990e-3
3	5	[8,16)	[32,64)	7.001540891692339e-3
3	6	[8,16)	[64,128)	6.108808900216756e-2
3	7	[8,16)	[128,256)	3.216694790913691e-3
3	8	[8,16)	[256,512)	-3.323162406965704e-3
3	9	[8,16)	[512,1024)	1.224183753156509e-3
4	1	[16,32)	[2,4)	2.168166052944924e-1
4	2	[16,32)	[4,8)	1.179388788044219e-1
4	3	[16,32)	[8,16)	-3.312058266195990e-3
4	4	[16,32)	[16,32)	9.870389175465892e-3
4	5	[16,32)	[32,64)	-8.912225081753537e-3
4	6	[16,32)	[64,128)	-1.756638690230831e-2
4	7	[16,32)	[128,256)	5.153625235434013e-2
4	8	[16,32)	[256,512)	2.967548160445473e-2
4	9	[16,32)	[512,1024)	-8.135468413587768e-3
5	1	[32,64)	[2,4)	-1.365294286963530e-1
5	2	[32,64)	[4,8)	-6.770143231293739e-2
5	3	[32,64)	[8,16)	7.001540891692349e-3
5	4	[32,64)	[16,32)	-8.912225081753537e-3
5	5	[32,64)	[32,64)	-1.102819277079157e-4
5	6	[32,64)	[64,128)	8.788922053783580e-4
5	7	[32,64)	[128,256)	-1.410945586673131e-2
5	8	[32,64)	[256,512)	-9.617306283767866e-3
5	9	[32,64)	[512,1024)	1.104502784655137e-2
6	1	[64,128)	[2,4)	2.731183766511402e-2
6	2	[64,128)	[4,8)	1.247776529414405e-2
6	3	[64,128)	[8,16)	6.108808900216754e-2
6	4	[64,128)	[16,32)	-1.756638690230831e-2
6	5	[64,128)	[32,64)	8.788922053783589e-4
6	6	[64,128)	[64,128)	-2.152341627817548e-2
6	7	[64,128)	[128,256)	1.808571868684678e-2
6	8	[64,128)	[256,512)	2.098182445386232e-2
6	9	[64,128)	[512,1024)	8.595164552158464e-3
7	1	[128,256)	[2,4)	-6.163162009265860e-3
7	2	[128,256)	[4,8)	-2.618060617687106e-3
7	3	[128,256)	[8,16)	3.216694790913704e-3
7	4	[128,256)	[16,32)	5.153625235434013e-2
7	5	[128,256)	[32,64)	-1.410945586673131e-2
7	6	[128,256)	[64,128)	1.808571868684677e-2
7	7	[128,256)	[128,256)	-1.898218366448750e-2
7	8	[128,256)	[256,512)	6.106779385659566e-3
7	9	[128,256)	[512,1024)	-1.664223366271877e-3
8	1	[256,512)	[2,4)	8.245932062892921e-3
8	2	[256,512)	[4,8)	3.410144739718314e-3
8	3	[256,512)	[8,16)	-3.323162406965703e-3
8	4	[256,512)	[16,32)	2.967548160445474e-2
8	5	[256,512)	[32,64)	-9.617306283767866e-3
8	6	[256,512)	[64,128)	2.098182445386232e-2
8	7	[256,512)	[128,256)	6.106779385659567e-3
8	8	[256,512)	[256,512)	9.098655436643389e-3
8	9	[256,512)	[512,1024)	9.151969528620837e-5
9	1	[512,1024)	[2,4)	-3.495138024157536e-3
9	2	[512,1024)	[4,8)	-1.434449449228128e-3
9	3	[512,1024)	[8,16)	1.224183753156510e-3
9	4	[512,1024)	[16,32)	-8.135468413587770e-3
9	5	[512,1024)	[32,64)	1.104502784655138e-2
9	6	[512,1024)	[64,128)	8.595164552158462e-3
9	7	[512,1024)	[128,256)	-1.664223366271876e-3
9	8	[512,1024)	[256,512)	9.151969528620830e-5
9	9	[512,1024)	[512,1024)	-1.214842625911587e-3
