M	S_M	sum_abs	cancel_ratio	ln_M
498	2.206832729317235e0	1.552806583811123e2	0.01421190	6.210600
1001	2.304666767048641e0	2.033510306489625e2	0.01133344	6.908755
1497	2.248176055715915e0	2.350789526221695e2	0.00956349	7.311218
2002	2.181437524180225e0	2.597149662862910e2	0.00839935	7.601902
2495	2.172210202332505e0	2.797970007164665e2	0.00776352	7.822044
3001	2.130302866085284e0	2.963628469730850e2	0.00718816	8.006701
3495	2.117146180503451e0	3.103737751493459e2	0.00682128	8.159089
3999	2.107826179624575e0	3.225537947111135e2	0.00653481	8.293800
4501	2.123083589681868e0	3.329197538284520e2	0.00637716	8.412055
4997	2.127998437441491e0	3.415120529753230e2	0.00623111	8.516593
5503	2.125005777020833e0	3.488978690021403e2	0.00609062	8.613049
6005	2.130803279768125e0	3.553058769842571e2	0.00599710	8.700348
6501	2.139251087015911e0	3.607246672159012e2	0.00593043	8.779711
7003	2.135720023022404e0	3.651738862447676e2	0.00584850	8.854094
7499	2.147933335404781e0	3.687834243955446e2	0.00582438	8.922525
7999	2.142265143925300e0	3.716026209460800e2	0.00576494	8.987072
8499	2.134357877966065e0	3.737409197517598e2	0.00571080	9.047704
8999	2.137964045168010e0	3.752009868596217e2	0.00569818	9.104869
9494	2.140479609904077e0	3.760463618016275e2	0.00569206	9.158415
9995	2.141234558625768e0	3.763209416482452e2	0.00568992	9.209840
