N	T	n_active	sum_a2	diagonal	off_diagonal	total	off_diag_ratio	mv_bound	bessel_bound	off_vs_mv	off_vs_bessel	bessel_ok
10	10	6	1.365168019636545e0	2.730336039273091e1	-2.396736357846348e0	2.490662403488456e1	8.778173541174961e-2	1.033885516884957e1	8.577603642811795e0	2.318183511330723e-1	2.794179420792964e-1	true
10	100	6	1.365168019636545e0	2.730336039273091e2	1.821444844079711e-1	2.732157484117170e2	6.671137976718215e-4	1.033885516884957e1	8.577603642811795e0	1.761747131894863e-2	2.123489170085539e-2	true
10	1000	6	1.365168019636545e0	2.730336039273091e3	-1.975361397620511e0	2.728360677875471e3	7.234865486178102e-4	1.033885516884957e1	8.577603642811795e0	1.910619082441711e-1	2.302929209460388e-1	true
10	10000	6	1.365168019636545e0	2.730336039273091e4	-1.769035780895959e0	2.730159135695001e4	6.479187013796796e-5	1.033885516884957e1	8.577603642811795e0	1.711055771654459e-1	2.062389280925153e-1	true
10	100000	6	1.365168019636545e0	2.730336039273091e5	5.084306622054877e0	2.730386882339311e5	1.862154163048917e-5	1.033885516884957e1	8.577603642811795e0	4.917668870508630e-1	5.927420796967727e-1	true
20	10	13	1.528741765108802e0	3.057483530217604e1	-4.111111455320668e0	2.646372384685538e1	1.344606247160414e-1	1.306808922760306e1	9.605367797003412e0	3.145916272623067e-1	4.280014614956454e-1	true
20	100	13	1.528741765108802e0	3.057483530217605e2	7.062474076051337e-1	3.064546004293656e2	2.309897667886601e-3	1.306808922760306e1	9.605367797003412e0	5.404366279603930e-2	7.352632637611876e-2	true
20	1000	13	1.528741765108802e0	3.057483530217604e3	-2.012438617285214e0	3.055471091600319e3	6.582009673628516e-4	1.306808922760306e1	9.605367797003412e0	1.539963939819481e-1	2.095118750073302e-1	true
20	10000	13	1.528741765108802e0	3.057483530217604e4	-2.624808090473445e0	3.057221049408557e4	8.584864201334340e-5	1.306808922760306e1	9.605367797003412e0	2.008563030721581e-1	2.732647146830033e-1	true
20	100000	13	1.528741765108802e0	3.057483530217605e5	6.858662861057105e0	3.057552116846215e5	2.243237876270413e-5	1.306808922760306e1	9.605367797003412e0	5.248405288333888e-1	7.140447930788035e-1	true
50	10	31	1.736749494690657e0	3.473498989381315e1	-6.855803245663135e0	2.787918664815001e1	1.973745570855704e-1	1.841630009876572e1	1.091231890729191e1	3.722682193978050e-1	6.282627280148402e-1	true
50	100	31	1.736749494690657e0	3.473498989381315e2	9.731324546582499e-1	3.483230313927897e2	2.801591299243706e-3	1.841630009876572e1	1.091231890729191e1	5.284082304476947e-2	8.917742075957624e-2	true
50	1000	31	1.736749494690657e0	3.473498989381315e3	-1.894568488817381e0	3.471604420892498e3	5.454351633926440e-4	1.841630009876572e1	1.091231890729191e1	1.028745447596370e-1	1.736174047801498e-1	true
50	10000	31	1.736749494690657e0	3.473498989381315e4	-3.979055277884168e0	3.473101083853527e4	1.145546692268622e-4	1.841630009876572e1	1.091231890729191e1	2.160616006768291e-1	3.646388372342431e-1	true
50	100000	31	1.736749494690657e0	3.473498989381315e5	8.748706155335162e0	3.473586476442868e5	2.518701223774775e-5	1.841630009876572e1	1.091231890729191e1	4.750523236706763e-1	8.017274998707229e-1	true
100	10	61	1.889589398986520e0	3.779178797973039e1	-9.160677027825615e0	2.863111095190478e1	2.423986140253258e-1	2.479322615488055e1	1.187264034831441e1	3.694830584208718e-1	7.715787524151007e-1	true
100	100	61	1.889589398986520e0	3.779178797973039e2	9.409036606933244e-1	3.788587834579972e2	2.489704009765237e-3	2.479322615488055e1	1.187264034831441e1	3.795002936752172e-2	7.924973999796998e-2	true
