k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
2	1.700526841938e-11	1	2	3	1	1	3	gauge boson (light)	2 (prime)
3	2.080528717104e-10	1	2	4	1	1	4	gauge boson (light)	3 (prime)
4	8.085467186908e-11	0	3	7	1	2	7	spectator	2^2
5	8.581366815214e-10	1	2	6	1	1	6	gauge boson (light)	5 (prime)
6	2.161762411319e-10	0	4	12	2	2	12	spectator	2·3
7	1.361024257665e-9	1	2	8	1	1	8	gauge boson (light)	7 (prime)
8	3.395576560874e-9	0	4	15	1	3	15	spectator	2^3
9	2.653112011609e-10	0	3	13	1	2	13	spectator	3^2
10	9.630069425928e-10	0	4	18	2	2	18	spectator	2·5
11	1.636841426524e-8	1	2	12	1	1	12	gauge boson (light)	11 (prime)
12	1.778320464007e-8	0	6	28	2	3	28	spectator	2^2·3
13	1.722367445164e-9	1	2	14	1	1	14	gauge boson (light)	13 (prime)
14	8.871295197451e-10	0	4	24	2	2	24	spectator	2·7
15	1.190700718540e-11	0	4	24	2	2	24	spectator	3·5
16	6.779920047521e-12	0	5	31	1	4	31	spectator	2^4
17	4.407656135414e-8	1	2	18	1	1	18	gauge boson (light)	17 (prime)
18	1.378815107881e-7	0	6	39	2	3	39	spectator	2·3^2
19	3.799880611026e-8	1	2	20	1	1	20	gauge boson (light)	19 (prime)
20	4.378367357392e-8	0	6	42	2	3	42	spectator	2^2·5
21	1.217553908478e-7	0	4	32	2	2	32	spectator	3·7
22	2.319737769460e-8	0	4	36	2	2	36	spectator	2·11
23	2.256647510653e-7	1	2	24	1	1	24	gauge boson (light)	23 (prime)
24	1.549787438616e-7	0	8	60	2	4	60	spectator	2^3·3
25	2.532824844971e-7	0	3	31	1	2	31	spectator	5^2
26	8.135990001464e-8	0	4	42	2	2	42	spectator	2·13
27	2.520957816519e-14	0	4	40	1	3	40	spectator	3^3
28	1.670815012760e-8	0	6	56	2	3	56	spectator	2^2·7
29	2.583798080108e-8	1	2	30	1	1	30	gauge boson (light)	29 (prime)
30	1.707720037667e-9	0	8	72	3	3	72	spectator	2·3·5
31	6.456411677674e-9	1	2	32	1	1	32	gauge boson (light)	31 (prime)
32	6.673170217259e-8	0	6	63	1	5	63	spectator	2^5
33	6.207491306440e-10	0	4	48	2	2	48	spectator	3·11
34	3.983229342663e-7	0	4	54	2	2	54	spectator	2·17
35	3.863416643613e-8	0	4	48	2	2	48	spectator	5·7
36	2.945617248802e-7	0	9	91	2	4	91	spectator	2^2·3^2
37	1.536724864378e-7	1	2	38	1	1	38	gauge boson (light)	37 (prime)
38	3.300095162571e-7	0	4	60	2	2	60	spectator	2·19
39	1.892011979030e-7	0	4	56	2	2	56	spectator	3·13
40	2.579810841958e-7	0	8	90	2	4	90	spectator	2^3·5
41	5.537837425784e-8	1	2	42	1	1	42	gauge boson (light)	41 (prime)
