k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
2	1.243713667863e-9	1	2	3	1	1	597	gauge boson (light)	2 (prime)
3	3.585666550815e-10	1	2	4	1	1	662	gauge boson (light)	3 (prime)
4	3.617519731857e-9	0	3	7	1	2	795	spectator	2^2
5	3.949935213534e-9	1	2	6	1	1	714	gauge boson (light)	5 (prime)
6	4.074262674822e-10	0	4	12	2	2	991	spectator	2·3
7	9.282412097499e-9	1	2	8	1	1	734	gauge boson (light)	7 (prime)
8	3.134818788559e-8	0	4	15	1	3	991	spectator	2^3
9	6.560076544519e-10	0	3	13	1	2	920	spectator	3^2
10	1.239240043727e-8	0	4	18	2	2	1069	spectator	2·5
11	7.032806142045e-8	1	2	12	1	1	748	gauge boson (light)	11 (prime)
12	4.717322962850e-7	0	6	28	2	3	1317	spectator	2^2·3
13	2.259018838429e-7	1	2	14	1	1	746	gauge boson (light)	13 (prime)
14	4.702405280173e-13	0	4	24	2	2	1095	spectator	2·7
15	3.725642205503e-9	0	4	24	2	2	1178	spectator	3·5
16	7.471879919334e-8	0	5	31	1	4	1183	spectator	2^4
17	1.537416211285e-7	1	2	18	1	1	750	gauge boson (light)	17 (prime)
18	1.619150407777e-7	0	6	39	2	3	1375	spectator	2·3^2
19	1.395089293357e-8	1	2	20	1	1	758	gauge boson (light)	19 (prime)
20	3.175959667536e-8	0	6	42	2	3	1419	spectator	2^2·5
21	3.738699897250e-9	0	4	32	2	2	1214	spectator	3·7
22	3.818768821703e-10	0	4	36	2	2	1117	spectator	2·11
23	3.575149284581e-7	1	2	24	1	1	750	gauge boson (light)	23 (prime)
24	1.696614694865e-6	0	8	60	2	4	1633	spectator	2^3·3
25	4.779587052649e-8	0	3	31	1	2	1014	spectator	5^2
26	3.775821949192e-7	0	4	42	2	2	1113	spectator	2·13
27	6.712488901132e-8	0	4	40	1	3	1154	spectator	3^3
28	3.027218047939e-7	0	6	56	2	3	1449	spectator	2^2·7
29	9.849019211771e-7	1	2	30	1	1	734	gauge boson (light)	29 (prime)
30	1.573583247034e-6	0	8	72	3	3	1759	spectator	2·3·5
