channel	A	E0	B	R2
Full G_N	4.605781287676331e-2	1.191613609249715e-4	5.623533833818177e-1	7.778559122243922e-1
k≡1(8)	5.749415288726884e-2	8.818899558339369e-4	6.767425400333608e-1	8.754523091734416e-1
k≡3(8)	5.210248021185238e-2	8.633492693107807e-4	6.145880623996541e-1	8.331280789719854e-1
k≡5(8)	5.433275641399838e-2	9.568681401141311e-4	6.358475992968534e-1	8.000537985551142e-1
k≡7(8)	5.725754545692427e-2	9.254659897036743e-4	6.705635345298748e-1	8.650904069068464e-1
Odd sector	3.716772348941614e-2	2.508642020201379e-4	4.505036812532074e-1	7.143688045943690e-1
Dark (even)	3.748963828895385e-2	2.155744753903660e-4	4.584952838220316e-1	7.092203844538902e-1
