channel	A	E0	B	R2
Full G_N	5.197651041575802e-2	1.429989309507094e-5	7.167339904899944e-1	7.977252512368413e-1
k≡1(8)	3.727856902265675e-2	1.047951459593382e-4	4.936521923366451e-1	7.477628493675007e-1
k≡3(8)	3.621519139401883e-2	1.094960062781675e-4	4.790232688735380e-1	7.422563971007237e-1
k≡5(8)	3.781529999935773e-2	1.143765088952852e-4	4.973427438591713e-1	7.611377643663212e-1
k≡7(8)	3.782950325669707e-2	1.079273873906648e-4	5.003985311943873e-1	7.733803267031744e-1
Odd sector	4.965306947120022e-2	2.995626471342691e-5	6.482588083711832e-1	6.978888298850496e-1
Dark (even)	4.751923116234709e-2	2.829992233917991e-5	6.449124415999454e-1	8.203076169515157e-1
