k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
2	1.359496900215e-11	1	2	3	1	1	3	gauge boson (light)	2 (prime)
3	1.122593530666e-10	1	2	4	1	1	4	gauge boson (light)	3 (prime)
4	2.470587384895e-10	0	3	7	1	2	7	spectator	2^2
5	2.191859750395e-10	1	2	6	1	1	6	gauge boson (light)	5 (prime)
6	7.578432026142e-10	0	4	12	2	2	12	spectator	2·3
7	7.994697663696e-10	1	2	8	1	1	8	gauge boson (light)	7 (prime)
8	1.988943247101e-10	0	4	15	1	3	15	spectator	2^3
9	1.021475310206e-13	0	3	13	1	2	13	spectator	3^2
10	3.531800656239e-9	0	4	18	2	2	18	spectator	2·5
11	3.955823351374e-11	1	2	12	1	1	12	gauge boson (light)	11 (prime)
12	6.319457623311e-9	0	6	28	2	3	28	spectator	2^2·3
13	9.344433942200e-10	1	2	14	1	1	14	gauge boson (light)	13 (prime)
14	5.406536417042e-9	0	4	24	2	2	24	spectator	2·7
15	1.181905442081e-9	0	4	24	2	2	24	spectator	3·5
16	6.233869742161e-9	0	5	31	1	4	31	spectator	2^4
17	1.305635261536e-8	1	2	18	1	1	18	gauge boson (light)	17 (prime)
18	2.872063387839e-8	0	6	39	2	3	39	spectator	2·3^2
19	5.119959135295e-8	1	2	20	1	1	20	gauge boson (light)	19 (prime)
20	6.714674589120e-8	0	6	42	2	3	42	spectator	2^2·5
21	8.926608719085e-9	0	4	32	2	2	32	spectator	3·7
22	2.334119075190e-10	0	4	36	2	2	36	spectator	2·11
23	1.885983707708e-8	1	2	24	1	1	24	gauge boson (light)	23 (prime)
24	1.707749433031e-8	0	8	60	2	4	60	spectator	2^3·3
25	6.423649591768e-9	0	3	31	1	2	31	spectator	5^2
26	8.444812507701e-9	0	4	42	2	2	42	spectator	2·13
27	5.359648718683e-8	0	4	40	1	3	40	spectator	3^3
28	4.044061528257e-8	0	6	56	2	3	56	spectator	2^2·7
29	2.342290214492e-8	1	2	30	1	1	30	gauge boson (light)	29 (prime)
30	1.081210756029e-7	0	8	72	3	3	72	spectator	2·3·5
31	6.085883972738e-9	1	2	32	1	1	32	gauge boson (light)	31 (prime)
32	8.544187644679e-8	0	6	63	1	5	63	spectator	2^5
33	4.006176141227e-8	0	4	48	2	2	48	spectator	3·11
34	8.797235387859e-8	0	4	54	2	2	54	spectator	2·17
35	6.813988015314e-8	0	4	48	2	2	48	spectator	5·7
36	1.630621234693e-7	0	9	91	2	4	91	spectator	2^2·3^2
37	1.383851893361e-7	1	2	38	1	1	38	gauge boson (light)	37 (prime)
38	2.058598269534e-8	0	4	60	2	2	60	spectator	2·19
39	5.545518290233e-9	0	4	56	2	2	56	spectator	3·13
40	2.588025526670e-7	0	8	90	2	4	90	spectator	2^3·5
41	3.278118953825e-7	1	2	42	1	1	42	gauge boson (light)	41 (prime)
42	4.509849494266e-8	0	8	96	3	3	96	spectator	2·3·7
43	1.204151971594e-7	1	2	44	1	1	44	gauge boson (light)	43 (prime)
44	4.353354261645e-7	0	6	84	2	3	84	spectator	2^2·11
45	1.787676652274e-8	0	6	78	2	3	78	spectator	3^2·5
46	1.985986041718e-8	0	4	72	2	2	72	spectator	2·23
47	1.787146001795e-7	1	2	48	1	1	48	gauge boson (light)	47 (prime)
48	8.590749504755e-8	0	10	124	2	5	124	spectator	2^4·3
49	1.459773113706e-7	0	3	57	1	2	57	spectator	7^2
50	5.827676425597e-8	0	6	93	2	3	93	spectator	2·5^2
51	9.785868837682e-8	0	4	72	2	2	72	spectator	3·17
52	4.943912077432e-8	0	6	98	2	3	98	spectator	2^2·13
