channel	gue_fit	goe_fit	gse_fit	poisson_fit	best_class
Full G_N	4.140134640465580e-1	5.331592055028663e-1	3.063883865358499e-1	7.699021710019680e-1	Poisson
χ₀ (principal)	2.429740443535195e-1	2.640114646697960e-1	2.170401646996427e-1	3.310615407288116e-1	Poisson
χ₁	2.429740443535195e-1	2.640114646697960e-1	2.170401646996427e-1	3.310615407288116e-1	Poisson
χ₂	2.429740443535195e-1	2.640114646697960e-1	2.170401646996427e-1	3.310615407288116e-1	Poisson
χ₃	2.429740443535195e-1	2.640114646697960e-1	2.170401646996427e-1	3.310615407288116e-1	Poisson
Odd sector	2.429740443535195e-1	2.640114646697960e-1	2.170401646996427e-1	3.310615407288116e-1	Poisson
Dark (even)	3.096183889854182e-1	3.666309340759804e-1	2.585001130039496e-1	5.879079051057413e-1	Poisson
