omega	count	primes	composites	percent
1	50851223	50847534	3689	5.0851
2	206415108	0	206415108	20.6415
3	332590117	0	332590117	33.2590
4	269536378	0	269536378	26.9536
5	114407511	0	114407511	11.4408
6	24020091	0	24020091	2.4020
7	2124141	0	2124141	0.2124
8	55292	0	55292	0.0055
9	138	0	138	0.0000
