channel_a	channel_b	correlation
k≡1(8)	k≡3(8)	6.991218767184135e-1
k≡1(8)	k≡5(8)	6.955852754082960e-1
k≡1(8)	k≡7(8)	7.819290527140316e-1
k≡3(8)	k≡5(8)	7.574511952184148e-1
k≡3(8)	k≡7(8)	7.015592999193297e-1
k≡5(8)	k≡7(8)	7.600821585021394e-1
