channel	gue_fit	goe_fit	gse_fit	poisson_fit	best_class
Full G_N	7.383450007989343e-1	8.863415552730262e-1	5.194697098862193e-1	5.660260889406291e-1	GOE (β=1)
k≡1(8)	2.866878589319191e-1	3.320049434078310e-1	2.413335262681213e-1	5.050358378001313e-1	Poisson
k≡3(8)	2.652194704851800e-1	3.053267811166467e-1	2.155881063485142e-1	4.139740090456274e-1	Poisson
k≡5(8)	2.546021703099397e-1	2.744245988600863e-1	2.377622904560243e-1	3.673191669480156e-1	Poisson
k≡7(8)	3.178840337360883e-1	3.717030785275542e-1	2.662572340994203e-1	5.607633403943506e-1	Poisson
Odd sector	7.224421611368107e-1	8.359768521933123e-1	5.174182950119821e-1	5.163996628060383e-1	GOE (β=1)
Dark (even)	5.547577701620491e-1	7.257657655573028e-1	3.659962584135331e-1	5.971353226842878e-1	GOE (β=1)
