channel_a	channel_b	correlation
k≡1(8)	k≡3(8)	8.365353307230737e-1
k≡1(8)	k≡5(8)	8.579564806570941e-1
k≡1(8)	k≡7(8)	9.255185576466769e-1
k≡3(8)	k≡5(8)	8.775012465530884e-1
k≡3(8)	k≡7(8)	8.493866602164294e-1
k≡5(8)	k≡7(8)	9.065759353314395e-1
