channel	A	E0	B	R2
Full G_N	3.819801666799014e-2	4.302109911942503e-4	4.407363392895113e-1	7.082938198134276e-1
χ₀ (principal)	3.336556016630094e-2	9.503389586643664e-4	3.896854007233593e-1	8.170303607657488e-1
χ₁	3.336556016630094e-2	9.503389586643664e-4	3.896854007233593e-1	8.170303607657488e-1
χ₂	3.336556016630094e-2	9.503389586643664e-4	3.896854007233593e-1	8.170303607657488e-1
χ₃	3.336556016630094e-2	9.503389586643664e-4	3.896854007233593e-1	8.170303607657488e-1
Odd sector	3.336556016630094e-2	9.503389586643664e-4	3.896854007233593e-1	8.170303607657488e-1
Dark (even)	3.017137005098095e-2	7.631030578037680e-4	3.595197722636932e-1	7.875566451174892e-1
