channel_a	channel_b	correlation
k≡1(8)	k≡3(8)	9.106803405856667e-1
k≡1(8)	k≡5(8)	9.356444089692625e-1
k≡1(8)	k≡7(8)	9.675606707160166e-1
k≡3(8)	k≡5(8)	9.368468035240277e-1
k≡3(8)	k≡7(8)	9.196872641947241e-1
k≡5(8)	k≡7(8)	9.604520544091926e-1
